L	doping	site	chi_prior	observable	nu	true	Delta	prior_fid	G_crm	G_crm_lo	G_crm_hi	G_beta	G_beta_lo	G_beta_hi	G_shrunk	G_shrunk_lo	G_shrunk_hi	G_split	G_split_lo	G_split_hi	G_exactvar	G_exactvar_lo	G_exactvar_hi	G_splitev	G_splitev_lo	G_splitev_hi	M_crm	M_beta	M_shrunk	M_split	M_exactvar	M_splitev	bias_crm	bias_beta	bias_shrunk	bias_split	bias_exactvar	bias_splitev	beta_median	beta_std	beta_shrunk_median	beta_ev_median	beta_ev_std	G_max
16	0.125	10	4	ZZ onsite	200	-0.41741590149724833	-0.02428574730826699	0.3688295377727657	19.86315067222424	18.49509314734476	21.407782546236007	21.559288488785995	19.99257625815591	23.509774816195982	21.495011662026723	19.947287523513612	23.429991074201904	19.863662724665648	18.48040849523144	21.61710084763253	11.763812852229716	10.971291508185885	12.726949160193783	6.9261152126388215	6.432700538315512	7.652298636841685	19.86457157926441	21.559003795859397	21.494862079384728	19.86480264202964	8.880390484809652	6.926693726359473	-0.0034635012787016498	0.00983554372181183	0.009512681135043438	0.005113018442302236	0.5699176272873996	7.13388066225523e-5	1.0628977156920785	0.046100240367580814	1.0571945069590925	1.0613125107784454	0.18929491046025237	21.849010674049275
16	0.125	10	8	ZZ onsite	200	-0.41741590149724833	0.02203518144897637	0.796642577827444	21.24811694224818	19.75329417664021	23.260335323090086	21.559288488786002	19.992576258155903	23.509774816196	21.49501166202673	19.947287523513598	23.42999107420192	19.863662724665645	18.48040849523143	21.617100847632525	11.76381285222972	10.971291508185889	12.72694916019378	6.926115212638826	6.432700538315519	7.652298636841683	21.249872260425228	21.559003795859404	21.494862079384735	19.864802642029638	8.880390484809656	6.926693726359478	0.0009596462811243341	0.009835543721814895	0.009512681135043438	0.005113018442299296	0.5699176272873996	7.133880662255232e-5	0.9508615613271243	0.041240982915210875	0.9457595069334045	0.9494434470561582	0.16934202741635945	21.849010674049275
16	0.125	10	16	ZZ onsite	200	-0.41741590149724833	0.0010374522478170944	0.9761322308178803	21.87543912245349	20.407558211803952	23.77714224316679	21.559288488785995	19.9925762581559	23.509774816195975	21.495011662026727	19.9472875235136	23.4299910742019	19.86366272466565	18.480408495231448	21.61710084763253	11.763812852229707	10.971291508185876	12.726949160193765	6.926115212638823	6.4327005383155145	7.652298636841683	21.87723919674395	21.559003795859397	21.49486207938473	19.864802642029648	8.880390484809649	6.926693726359474	-0.001115331767659141	0.00983554372181183	0.009512681135043438	0.005113018442302237	0.5699176272873993	7.133880662255231e-5	0.9985752034663204	0.04331042980455471	0.9932171311543068	0.9970859291026666	0.17783950509754035	21.849010674049275
16	0.125	10	32	ZZ onsite	200	-0.41741590149724833	5.0299849628454574e-5	0.9983502060708132	21.85041704938003	20.387214880205736	23.737270320614364	21.559288488785995	19.992576258155903	23.509774816195957	21.495011662026716	19.947287523513612	23.429991074201904	19.863662724665648	18.480408495231437	21.61710084763252	11.763812852229716	10.971291508185889	12.726949160193776	6.926115212638825	6.432700538315515	7.652298636841688	21.852210103438093	21.559003795859397	21.494862079384717	19.86480264202964	8.880390484809652	6.926693726359476	-0.001212848231638197	0.009835543721814893	0.009512681135046495	0.005113018442299296	0.5699176272873996	7.133880662255231e-5	1.0009364626621382	0.043412842872990444	0.9955657205006483	0.9994436667181621	0.17826002942593702	21.849010674049275
16	0.125	10	2	ZZ up-up r=1	200	-0.4601314196528857	0.5398685803470291	0.0043978894182761605	0.7277205388507487	0.7048118216627217	0.7545798168024929	22.8776869018903	21.065249987358214	24.838045296426913	22.897941548106452	21.101571884803427	24.854034788408256	22.671463292783404	20.89325888358784	24.653636079616465	10.815385702499983	10.192006847225365	11.63814786953814	7.344387982286811	6.756271712382423	8.094263366919089	0.7276252721361223	22.96800838438869	22.988751418518778	22.759748357553654	8.151905245946852	7.283639708488853	-0.06420448684748277	-0.006525402490350622	-0.00498135961623584	-0.009812499373974104	0.5762167209618214	0.11119542745212761	0.46000000000003943	0.019995561513071178	0.4576500583125803	0.4537170226131041	0.0844498408326883	24.494971404591364
16	0.125	10	4	ZZ up-up r=1	200	-0.4601314196528857	0.09314223600549415	0.3688295377727657	12.290956484801498	11.520045110046743	13.259709747695545	22.877686901890304	21.06524998735821	24.838045296426905	22.897941548106452	21.10157188480344	24.854034788408256	22.671463292783404	20.893258883587837	24.653636079616465	10.815385702499976	10.192006847225356	11.638147869538123	7.344387982286809	6.756271712382416	8.094263366919087	12.31275036915282	22.968008384388693	22.988751418518778	22.75974835755365	8.15190524594686	7.283639708488851	-0.04704971758064446	-0.006525402490356175	-0.004981359616241395	-0.009812499373976867	0.5762167209618193	0.11119542745212758	0.8314149703235254	0.036140454743458394	0.8271676296749585	0.8200589671546081	0.15263665632549994	24.494971404591364
16	0.125	10	8	ZZ up-up r=1	200	-0.4601314196528857	-0.045123138488687875	0.796642577827444	20.16087457709933	18.784872677348257	21.59280524561811	22.877686901890307	21.06524998735824	24.838045296426934	22.897941548106452	21.10157188480344	24.85403478840827	22.671463292783404	20.893258883587837	24.65363607961645	10.815385702499988	10.192006847225365	11.638147869538143	7.344387982286811	6.756271712382421	8.094263366919089	20.227986483872343	22.9680083843887	22.98875141851878	22.759748357553658	8.15190524594687	7.283639708488853	0.025685598189477906	-0.006525402490353401	-0.00498135961623584	-0.009812499373974104	0.5762167209618196	0.11119542745212761	1.108411617015424	0.04818111449963626	1.1027492199161018	1.0932722145695024	0.20348953181314605	24.494971404591364
16	0.125	10	16	ZZ up-up r=1	200	-0.4601314196528857	-0.00232582920593033	0.9761322308178803	24.495550030057142	22.55991797362224	26.597532571690998	22.877686901890304	21.065249987358214	24.838045296426913	22.897941548106452	21.101571884803448	24.85403478840828	22.671463292783404	20.89325888358784	24.653636079616483	10.815385702499988	10.192006847225365	11.63814786953814	7.344387982286811	6.756271712382422	8.094263366919092	24.5932809114624	22.968008384388693	22.988751418518778	22.759748357553658	8.151905245946867	7.283639708488853	-0.0010104744396773275	-0.0065254024903534	-0.004981359616238617	-0.009812499373974104	0.5762167209618196	0.11119542745212761	1.0047933218790586	0.043676971033813315	0.9996602659782676	0.9910692050966469	0.1844666002226682	24.494971404591364
16	0.125	10	32	ZZ up-up r=1	200	-0.4601314196528857	-0.001040467777035925	0.9983502060708132	24.498885383837088	22.558935425848723	26.571432418665406	22.877686901890296	21.06524998735819	24.838045296426923	22.897941548106438	21.10157188480343	24.854034788408267	22.671463292783407	20.893258883587833	24.653636079616483	10.815385702499984	10.192006847225366	11.638147869538127	7.344387982286807	6.756271712382416	8.094263366919083	24.59656670647559	22.968008384388686	22.988751418518767	22.759748357553658	8.151905245946892	7.283639708488849	-0.0018912812644801024	-0.006525402490358951	-0.004981359616241393	-0.00981249937397687	0.5762167209618158	0.11119542745212758	1.0019801046403463	0.043554684385234375	0.9968614202536104	0.9882944125977076	0.18395013120519646	24.494971404591364
16	0.125	10	2	SzSz r=1	200	-0.09433534186487821	0.1556646581351023	0.0043978894182761605	0.39153186941351803	0.3782028293305829	0.4068202941435711	14.118970803064128	13.059534730476685	15.342694623518085	14.105184436658508	13.034629723692559	15.337271155433784	13.965600212532394	12.866697684576915	15.158271374017815	8.943733575708745	8.350109771421051	9.687103664391836	6.581516683641393	6.041814374752866	7.238854626167809	0.39188477239657277	14.071985490786135	14.057773611156682	13.926826170496255	7.451274038225745	6.546525329357822	-0.004780530904661658	0.06531634275878886	0.06557362385496325	0.06091725971219364	0.4487819242829134	0.07920972203429413	0.37717793946555866	0.015558989250125029	0.37514286810860387	0.3723396670854562	0.06907436119079918	18.943044754595256
