label	U	n_elec	chi_prior	observable	true	Delta	prior_fid	G_emp
U=1 half	1.0	16	8	hop bond(i0)	0.5652632498464708	0.034337995389727705	0.812243007933103	45.77080629680166
U=1 half	1.0	16	16	hop bond(i0)	0.5652632498464708	0.0023518546341394497	0.9635436664851235	54.45659119474547
U=1 half	1.0	16	32	hop bond(i0)	0.5652632498464708	0.0008177580037169729	0.9984571155244222	54.48264558359939
U=4 half	4.0	16	2	ZZ onsite(i0)	-0.5985711760074262	0.40142882399257407	0.09698054629499579	2.042364777050365
U=4 half	4.0	16	4	ZZ onsite(i0)	-0.5985711760074262	0.1417236797502771	0.4016670142122413	11.812383464825292
U=4 half	4.0	16	8	ZZ onsite(i0)	-0.5985711760074262	-0.0023760692966494634	0.9531865780662307	44.173877940819665
U=4 half	4.0	16	16	ZZ onsite(i0)	-0.5985711760074262	0.0015846767653231453	0.9951082079663102	43.877639903962276
U=4 half	4.0	16	32	ZZ onsite(i0)	-0.5985711760074262	-8.634544131469468e-6	0.9998430857870075	44.016753297048126
U=4 half	4.0	16	2	ZZ up-up r=1	-0.39780208635754033	-0.05589421485249524	0.09698054629499579	14.209275381490768
U=4 half	4.0	16	4	ZZ up-up r=1	-0.39780208635754033	-0.3369403102457142	0.4016670142122413	1.3674868434861815
U=4 half	4.0	16	8	ZZ up-up r=1	-0.39780208635754033	-0.004365413937695073	0.9531865780662307	18.99279569763909
U=4 half	4.0	16	16	ZZ up-up r=1	-0.39780208635754033	-0.0024312198713044575	0.9951082079663102	19.007639331015504
U=4 half	4.0	16	32	ZZ up-up r=1	-0.39780208635754033	-0.0001261953314724007	0.9998430857870075	19.00403269353323
U=4 half	4.0	16	2	ZZ up-up r=2	0.1283913253766999	-0.2135165461283452	0.09698054629499579	0.6290709066333704
U=4 half	4.0	16	4	ZZ up-up r=2	0.1283913253766999	0.18083395968495633	0.4016670142122413	0.6753271158861861
U=4 half	4.0	16	8	ZZ up-up r=2	0.1283913253766999	0.021539770002961617	0.9531865780662307	2.038472054154156
U=4 half	4.0	16	16	ZZ up-up r=2	0.1283913253766999	0.0037850323629990135	0.9951082079663102	2.141237892660429
U=4 half	4.0	16	32	ZZ up-up r=2	0.1283913253766999	0.00013984537001876518	0.9998430857870075	2.153592640144717
