L	site	observable	prior	true	Delta	G	G_max
16	7	SzSz r=1	chi2_tavg	-0.10792369064112375	0.07631458629221488	1.9300970345784636	21.915091578539208
16	7	SzSz r=1	chi4_tavg	-0.10792369064112375	0.009985896232994507	17.499961593263805	21.915091578539208
16	7	SzSz r=1	chi8_tavg	-0.10792369064112375	0.0013071215497933997	21.426297749020407	21.915091578539208
16	7	hop up r=1	chi2	0.4879629347381408	0.4879629347381408	1.0	25.15833758681
16	7	hop up r=1	chi4	0.4879629347381408	0.006666524790626738	25.05030473127355	25.15833758681
16	7	hop up r=1	chi8	0.4879629347381408	0.05409945124488197	19.419644032100354	25.15833758681
16	7	hop up r=1	exact	0.4879629347381408	0.0	25.15833758681	25.15833758681
16	7	hop up r=1	chi2_tavg	0.4879629347381408	0.4879629347381408	1.0	25.15833758681
16	7	hop up r=1	chi4_tavg	0.4879629347381408	0.21623795273393215	4.382574313417829	25.15833758681
16	7	hop up r=1	chi8_tavg	0.4879629347381408	0.03360369732687102	22.591206285505343	25.15833758681
16	8	n	chi2	1.000000015401559	1.5401559805283682e-8	1.0000004595317595	1.0000001025146301
16	8	n	chi4	1.000000015401559	3.5244903218156765e-8	1.0000001015379334	1.0000001025146301
16	8	n	chi8	1.000000015401559	6.08641448351932e-9	0.9999999438367515	1.0000001025146301
16	8	n	exact	1.000000015401559	0.0	1.0000001025146301	1.0000001025146301
16	8	n	chi2_tavg	1.000000015401559	1.5401559916305985e-8	1.0000000088409897	1.0000001025146301
16	8	n	chi4_tavg	1.000000015401559	1.4327372621636414e-8	1.000000004767192	1.0000001025146301
16	8	n	chi8_tavg	1.000000015401559	1.2795518422592522e-8	1.0000000072052664	1.0000001025146301
16	8	Sz	chi2	-6.831853215094608e-8	1.8681710740875435e-7	0.9999999366931882	0.9999999662909672
16	8	Sz	chi4	-6.831853215094608e-8	-2.6639368329306468e-8	1.0000000112541947	0.9999999662909672
16	8	Sz	chi8	-6.831853215094608e-8	-9.260164164637263e-8	0.9999999958867953	0.9999999662909672
16	8	Sz	exact	-6.831853215094608e-8	0.0	0.9999999662909672	0.9999999662909672
16	8	Sz	chi2_tavg	-6.831853215094608e-8	-6.341022501431812e-8	0.9999999987824019	0.9999999662909672
16	8	Sz	chi4_tavg	-6.831853215094608e-8	-6.487654093852621e-8	0.9999999979772035	0.9999999662909672
16	8	Sz	chi8_tavg	-6.831853215094608e-8	-6.238874107380073e-8	0.9999999956930639	0.9999999662909672
16	8	DoubleOcc	chi2	0.10000923783278731	0.10000923783278731	2.2218761835012693	36.3621976021767
16	8	DoubleOcc	chi4	0.10000923783278731	0.049747881744291816	7.657345799147374	36.3621976021767
16	8	DoubleOcc	chi8	0.10000923783278731	0.008421652023444665	33.283618680149836	36.3621976021767
16	8	DoubleOcc	exact	0.10000923783278731	0.0	36.3621976021767	36.3621976021767
16	8	DoubleOcc	chi2_tavg	0.10000923783278731	0.10000923783278731	2.221876136727673	36.3621976021767
16	8	DoubleOcc	chi4_tavg	0.10000923783278731	0.04686569091722395	8.415050235267742	36.3621976021767
16	8	DoubleOcc	chi8_tavg	0.10000923783278731	0.009781703691437826	32.231573655617034	36.3621976021767
16	8	ZZ onsite	chi2	-0.599963079471973	0.4000369205280262	2.2184862209391447	60.22330937676646
16	8	ZZ onsite	chi4	-0.599963079471973	0.19899145648735317	8.092283821690536	60.22330937676646
16	8	ZZ onsite	chi8	-0.599963079471973	0.03368659592094214	51.17037355187225	60.22330937676646
16	8	ZZ onsite	exact	-0.599963079471973	0.0	60.22330937676646	60.22330937676646
16	8	ZZ onsite	chi2_tavg	-0.599963079471973	0.400036920528026	2.218486220939147	60.22330937676646
16	8	ZZ onsite	chi4_tavg	-0.599963079471973	0.1874627350141439	8.969478111336642	60.22330937676646
16	8	ZZ onsite	chi8_tavg	-0.599963079471973	0.03912678917470669	48.55103865897263	60.22330937676646
16	8	ZZ up-up r=1	chi2	-0.5185414981468407	-0.08173093818704846	17.496791287248403	31.51052941255543
16	8	ZZ up-up r=1	chi4	-0.5185414981468407	-0.11004705956117933	12.976611416739349	31.51052941255543
16	8	ZZ up-up r=1	chi8	-0.5185414981468407	0.00030345036327084074	31.51617043687285	31.51052941255543
16	8	ZZ up-up r=1	exact	-0.5185414981468407	0.0	31.51052941255543	31.51052941255543
16	8	ZZ up-up r=1	chi2_tavg	-0.5185414981468407	0.21841160958651384	5.06658392480089	31.51052941255543
16	8	ZZ up-up r=1	chi4_tavg	-0.5185414981468407	0.008553853806223977	31.420115813177635	31.51052941255543
16	8	ZZ up-up r=1	chi8_tavg	-0.5185414981468407	0.0003574699556293526	31.517106510813235	31.51052941255543
16	8	SzSz r=1	chi2	-0.10792317545000944	0.0012794645399386156	16.614045596863342	21.84925644158938
16	8	SzSz r=1	chi4	-0.10792317545000944	-0.004118502836324298	13.705377352161328	21.84925644158938
16	8	SzSz r=1	chi8	-0.10792317545000944	0.00010408465365081832	21.846902351888254	21.84925644158938
16	8	SzSz r=1	exact	-0.10792317545000944	0.0	21.84925644158938	21.84925644158938
16	8	SzSz r=1	chi2_tavg	-0.10792317545000944	0.07631510148332919	1.9570914163088136	21.84925644158938
16	8	SzSz r=1	chi4_tavg	-0.10792317545000944	0.009986411424108818	17.705433827355577	21.84925644158938
16	8	SzSz r=1	chi8_tavg	-0.10792317545000944	0.001307636740907711	21.801662507611557	21.84925644158938
16	8	hop up r=1	chi2	0.487959751249187	0.487959751249187	1.0	25.405344103114363
16	8	hop up r=1	chi4	0.487959751249187	0.487959751249187	1.0	25.405344103114363
16	8	hop up r=1	chi8	0.487959751249187	0.048383542325236895	21.237748793267887	25.405344103114363
16	8	hop up r=1	exact	0.487959751249187	0.0	25.405344103114363	25.405344103114363
16	8	hop up r=1	chi2_tavg	0.487959751249187	0.487959751249187	1.0	25.405344103114363
16	8	hop up r=1	chi4_tavg	0.487959751249187	0.21623476924497836	4.479230520479346	25.405344103114363
16	8	hop up r=1	chi8_tavg	0.487959751249187	0.033600513837917234	23.429222586149	25.405344103114363
16	9	n	chi2	0.9999999984477524	-1.552246886582509e-9	1.000000072077373	1.000000034558769
16	9	n	chi4	0.9999999984477524	1.583392394977068e-8	1.0000000532594202	1.000000034558769
16	9	n	chi8	0.9999999984477524	5.3347191331099e-8	0.9999999750445459	1.000000034558769
16	9	n	exact	0.9999999984477524	0.0	1.000000034558769	1.000000034558769
16	9	n	chi2_tavg	0.9999999984477524	-1.5522465535156016e-9	0.9999999960779696	1.000000034558769
16	9	n	chi4_tavg	0.9999999984477524	-2.6264338481851723e-9	0.9999999984355343	1.000000034558769
16	9	n	chi8_tavg	0.9999999984477524	-4.158288047229064e-9	0.9999999981387807	1.000000034558769
16	9	Sz	chi2	4.5394692737427134e-8	-4.481107901915202e-8	0.9999999279232691	0.9999999628903693
16	9	Sz	chi4	4.5394692737427134e-8	-4.52819675124394e-8	0.999999918154515	0.9999999628903693
16	9	Sz	chi8	4.5394692737427134e-8	7.749449033866984e-10	0.9999999346898147	0.9999999628903693
16	9	Sz	exact	4.5394692737427134e-8	0.0	0.9999999628903693	0.9999999628903693
16	9	Sz	chi2_tavg	4.5394692737427134e-8	5.030299987405509e-8	1.0000000039217587	0.9999999628903693
16	9	Sz	chi4_tavg	4.5394692737427134e-8	4.883668394984701e-8	1.0000000033304701	0.9999999628903693
16	9	Sz	chi8_tavg	4.5394692737427134e-8	5.1324483814572476e-8	1.000000006145778	0.9999999628903693
16	9	DoubleOcc	chi2	0.10000926548371605	0.10000926548371605	1.9261574430887518	25.877562801296396
16	9	DoubleOcc	chi4	0.10000926548371605	0.05221189528496223	5.631686471453831	25.877562801296396
16	9	DoubleOcc	chi8	0.10000926548371605	0.011464019365485079	20.7502310128213	25.877562801296396
16	9	DoubleOcc	exact	0.10000926548371605	0.0	25.877562801296396	25.877562801296396
16	9	DoubleOcc	chi2_tavg	0.10000926548371605	0.10000926548371605	1.9261574412008546	25.877562801296396
16	9	DoubleOcc	chi4_tavg	0.10000926548371605	0.04686571856815269	6.574499331872116	25.877562801296396
16	9	DoubleOcc	chi8_tavg	0.10000926548371605	0.009781731342366567	21.714166978023428	25.877562801296396
16	9	ZZ onsite	chi2	-0.5999629349606449	0.40003706503935443	2.0244258459061544	53.71217023260027
16	9	ZZ onsite	chi4	-0.5999629349606449	0.20884754947199347	6.492544517115849	53.71217023260027
16	9	ZZ onsite	chi8	-0.5999629349606449	0.045855970767549104	36.70906991049446	53.71217023260027
16	9	ZZ onsite	exact	-0.5999629349606449	0.0	53.71217023260027	53.71217023260027
16	9	ZZ onsite	chi2_tavg	-0.5999629349606449	0.4000370650393541	2.0244258459061575	53.71217023260027
16	9	ZZ onsite	chi4_tavg	-0.5999629349606449	0.18746287952547203	7.761730600387077	53.71217023260027
16	9	ZZ onsite	chi8_tavg	-0.5999629349606449	0.039126933686034815	39.63178960142109	53.71217023260027
16	9	ZZ up-up r=1	chi2	-0.5185428579784057	0.48145714202152423	1.207261075564355	32.29590926265397
16	9	ZZ up-up r=1	chi4	-0.5185428579784057	0.04365942466146888	27.85936882903958	32.29590926265397
16	9	ZZ up-up r=1	chi8	-0.5185428579784057	-0.027052034519747414	28.859059477072606	32.29590926265397
16	9	ZZ up-up r=1	exact	-0.5185428579784057	0.0	32.29590926265397	32.29590926265397
16	9	ZZ up-up r=1	chi2_tavg	-0.5185428579784057	0.21841024975494883	5.258531281701117	32.29590926265397
16	9	ZZ up-up r=1	chi4_tavg	-0.5185428579784057	0.008552493974658959	32.39261515403444	32.29590926265397
16	9	ZZ up-up r=1	chi8_tavg	-0.5185428579784057	0.00035611012406433495	32.31066184292052	32.29590926265397
16	9	SzSz r=1	chi2	-0.10792369169043275	0.14207630830954973	0.5467752930268126	21.903689897514578
16	9	SzSz r=1	chi4	-0.10792369169043275	0.008728189523615315	17.90328067456475	21.903689897514578
16	9	SzSz r=1	chi8	-0.10792369169043275	-0.005927117479533672	21.374868278396782	21.903689897514578
16	9	SzSz r=1	exact	-0.10792369169043275	0.0	21.903689897514578	21.903689897514578
16	9	SzSz r=1	chi2_tavg	-0.10792369169043275	0.07631458524290588	1.709977237434248	21.903689897514578
16	9	SzSz r=1	chi4_tavg	-0.10792369169043275	0.009985895183685506	16.61105356125398	21.903689897514578
16	9	SzSz r=1	chi8_tavg	-0.10792369169043275	0.0013071205004843989	21.43298978272545	21.903689897514578
16	9	hop up r=1	chi2	0.48796208279098735	0.48796208279098735	1.0	32.49894325618965
16	9	hop up r=1	chi4	0.48796208279098735	0.030349391723479613	28.30626095580301	32.49894325618965
16	9	hop up r=1	chi8	0.48796208279098735	0.0767819360209982	17.66610841946814	32.49894325618965
16	9	hop up r=1	exact	0.48796208279098735	0.0	32.49894325618965	32.49894325618965
16	9	hop up r=1	chi2_tavg	0.48796208279098735	0.48796208279098735	1.0	32.49894325618965
16	9	hop up r=1	chi4_tavg	0.48796208279098735	0.2162371007867787	4.453880289075669	32.49894325618965
16	9	hop up r=1	chi8_tavg	0.48796208279098735	0.03360284537971758	27.582322409567983	32.49894325618965
16	10	n	chi2	1.0000000296237153	2.962371570269795e-8	1.0000001039510915	1.000000096797885
16	10	n	chi4	1.0000000296237153	1.2237537871939708e-8	0.9999999336938173	1.000000096797885
16	10	n	chi8	1.0000000296237153	-7.844744853713337e-10	1.0000000008750305	1.000000096797885
16	10	n	exact	1.0000000296237153	0.0	1.000000096797885	1.000000096797885
16	10	n	chi2_tavg	1.0000000296237153	2.9623716257809463e-8	1.0000000056563458	1.000000096797885
16	10	n	chi4_tavg	1.0000000296237153	2.8549528963139892e-8	1.0000000038489922	1.000000096797885
16	10	n	chi8_tavg	1.0000000296237153	2.7017674764096e-8	1.0000000065482761	1.000000096797885
16	10	Sz	chi2	-8.681203128579895e-8	3.393742120660903e-9	1.0000001727074257	1.0000001752282008
16	10	Sz	chi4	-8.681203128579895e-8	-1.4269721435034022e-7	0.9999998982939053	1.0000001752282008
16	10	Sz	chi8	-8.681203128579895e-8	-8.31646363302907e-8	1.0000000162405382	1.0000001752282008
16	10	Sz	exact	-8.681203128579895e-8	0.0	1.0000001752282008	1.0000001752282008
16	10	Sz	chi2_tavg	-8.681203128579895e-8	-8.1903724149171e-8	1.0000000093974961	1.0000001752282008
16	10	Sz	chi4_tavg	-8.681203128579895e-8	-8.337004007337908e-8	1.00000000691709	1.0000001752282008
16	10	Sz	chi8_tavg	-8.681203128579895e-8	-8.08822402086536e-8	1.0000000121466006	1.0000001752282008
16	10	DoubleOcc	chi2	0.10000992490122393	0.10000992490122393	2.1138580888214067	26.142102669541927
16	10	DoubleOcc	chi4	0.10000992490122393	0.05221253731629533	6.335172419478699	26.142102669541927
16	10	DoubleOcc	chi8	0.10000992490122393	0.012253486118813772	22.101246917716388	26.142102669541927
16	10	DoubleOcc	exact	0.10000992490122393	0.0	26.142102669541927	26.142102669541927
16	10	DoubleOcc	chi2_tavg	0.10000992490122393	0.10000992490122393	2.113857990205256	26.142102669541927
16	10	DoubleOcc	chi4_tavg	0.10000992490122393	0.04686637798566057	7.417329042630791	26.142102669541927
16	10	DoubleOcc	chi8_tavg	0.10000992490122393	0.009782390759874443	23.366943042764465	26.142102669541927
16	10	ZZ onsite	chi2	-0.5999603596425384	0.4000396403574612	2.166168844566525	46.04660807497404
16	10	ZZ onsite	chi4	-0.5999603596425384	0.20885012479009935	7.02388776476421	46.04660807497404
16	10	ZZ onsite	chi8	-0.5999603596425384	0.04901394604419629	34.91231153933905	46.04660807497404
16	10	ZZ onsite	exact	-0.5999603596425384	0.0	46.04660807497404	46.04660807497404
16	10	ZZ onsite	chi2_tavg	-0.5999603596425384	0.40003964035746065	2.1661688445665312	46.04660807497404
16	10	ZZ onsite	chi4_tavg	-0.5999603596425384	0.18746545484357857	8.398293834058844	46.04660807497404
16	10	ZZ onsite	chi8_tavg	-0.5999603596425384	0.03912950900414136	38.18187391698467	46.04660807497404
16	10	ZZ up-up r=1	chi2	-0.5185519311852301	-0.05210799154906487	26.55984178980427	35.07141072951801
16	10	ZZ up-up r=1	chi4	-0.5185519311852301	-0.08437840338697766	18.78900944483435	35.07141072951801
16	10	ZZ up-up r=1	chi8	-0.5185519311852301	-0.010598105000560576	34.7582406184465	35.07141072951801
16	10	ZZ up-up r=1	exact	-0.5185519311852301	0.0	35.07141072951801	35.07141072951801
16	10	ZZ up-up r=1	chi2_tavg	-0.5185519311852301	0.2184011765481244	4.87102851564674	35.07141072951801
16	10	ZZ up-up r=1	chi4_tavg	-0.5185519311852301	0.008543420767834542	34.60027208405451	35.07141072951801
16	10	ZZ up-up r=1	chi8_tavg	-0.5185519311852301	0.0003470369172399179	35.06475062631325	35.07141072951801
16	10	SzSz r=1	chi2	-0.10792549073970428	0.008685494169337032	14.698054145627653	22.195346791207776
16	10	SzSz r=1	chi4	-0.10792549073970428	0.002163454451989802	13.856173798789365	22.195346791207776
16	10	SzSz r=1	chi8	-0.10792549073970428	-0.0020133689701115343	22.23002915425684	22.195346791207776
16	10	SzSz r=1	exact	-0.10792549073970428	0.0	22.195346791207776	22.195346791207776
16	10	SzSz r=1	chi2_tavg	-0.10792549073970428	0.07631278619363435	1.8346725192550737	22.195346791207776
16	10	SzSz r=1	chi4_tavg	-0.10792549073970428	0.009984096134413978	16.865554910361404	22.195346791207776
16	10	SzSz r=1	chi8_tavg	-0.10792549073970428	0.0013053214512128708	21.80912172490895	22.195346791207776
16	10	hop up r=1	chi2	0.4879680489909789	0.4879680489909789	1.0	27.80808115609507
16	10	hop up r=1	chi4	0.4879680489909789	0.4879680489909789	1.0	27.80808115609507
16	10	hop up r=1	chi8	0.4879680489909789	0.05453148997431678	20.698884604328818	27.80808115609507
16	10	hop up r=1	exact	0.4879680489909789	0.0	27.80808115609507	27.80808115609507
16	10	hop up r=1	chi2_tavg	0.4879680489909789	0.4879680489909789	1.0	27.80808115609507
16	10	hop up r=1	chi4_tavg	0.4879680489909789	0.21624306698677026	4.42369766428803	27.80808115609507
16	10	hop up r=1	chi8_tavg	0.4879680489909789	0.03360881157970913	24.548769117930487	27.80808115609507
16	11	n	chi2	1.0000000151010298	1.5101030648168035e-8	1.0000000505046716	1.0000000036009038
16	11	n	chi4	1.0000000151010298	2.6330066460467094e-8	1.0000001246017394	1.0000000036009038
