nm	chi_prior	observable	pure	true	Delta	G_emp	G_theo
30	4	DoubleOcc(i0)	false	0.10006829335763973	0.008497890542016662	8.248423000390856	NaN
30	8	DoubleOcc(i0)	false	0.10006829335763973	-0.0006129284088868814	8.865034048756442	NaN
30	16	DoubleOcc(i0)	false	0.10006829335763973	5.699605882442116e-5	8.835625962454309	NaN
30	32	DoubleOcc(i0)	false	0.10006829335763973	-1.9826746985585064e-6	8.838366264633349	NaN
30	2	SzSz r=1	false	-0.06980119874823958	0.006096195873611612	3.9249102155631124	NaN
30	4	SzSz r=1	false	-0.06980119874823958	-0.06980119867603432	0.9889359497032972	NaN
30	8	SzSz r=1	false	-0.06980119874823958	6.087935122151e-5	3.8530855328259768	NaN
30	16	SzSz r=1	false	-0.06980119874823958	-8.73779323455337e-5	3.8479479892389725	NaN
30	32	SzSz r=1	false	-0.06980119874823958	-8.84396286475464e-6	3.849076107798586	NaN
30	2	hop bond(i0)	false	0.3909624532679199	0.3909624532679199	1.0	NaN
30	4	hop bond(i0)	false	0.3909624532679199	0.133296753963221	3.3589475275514693	NaN
30	8	hop bond(i0)	false	0.3909624532679199	0.0027136918860214965	4.916317186940209	NaN
30	16	hop bond(i0)	false	0.3909624532679199	0.0001433057836214835	4.918500861980671	NaN
30	32	hop bond(i0)	false	0.3909624532679199	1.038959209498369e-5	4.918568979462813	NaN
100	2	ZZ onsite(i0)	true	-0.5997268274511298	0.40027317254887307	2.091148097601749	2.1913207220098703
100	4	ZZ onsite(i0)	true	-0.5997268274511298	0.03399473580764467	45.42269255656087	43.88820588937882
100	8	ZZ onsite(i0)	true	-0.5997268274511298	-0.0024518932464043797	56.96468987561741	50.88644702622542
100	16	ZZ onsite(i0)	true	-0.5997268274511298	0.0002297289568546912	56.72010379012996	50.928540800728044
100	32	ZZ onsite(i0)	true	-0.5997268274511298	-8.051430646860425e-6	56.74692435843135	50.928913453273445
100	2	ZZ up-up r=1	true	-0.343503844785221	-0.03991426629781625	8.926585278802033	11.108085553250808
100	4	ZZ up-up r=1	true	-0.343503844785221	-0.30286557780477985	1.242542378114098	1.2584092795630597
100	8	ZZ up-up r=1	true	-0.343503844785221	-0.001647578875543676	10.689773976157698	12.888054756336482
100	16	ZZ up-up r=1	true	-0.343503844785221	-0.0004028313240243553	10.71838524494523	12.891369719305711
100	32	ZZ up-up r=1	true	-0.343503844785221	-1.0932269503549641e-5	10.726897764277252	12.891580388932788
100	2	ZZ up-up r=2	true	0.12932021266744564	-0.1742693658199591	0.5329253379687179	0.6706361475426379
100	4	ZZ up-up r=2	true	0.12932021266744564	0.16680826017063827	0.7294931009955626	0.7145236201834054
100	8	ZZ up-up r=2	true	0.12932021266744564	0.008863675724236575	1.9183322397781286	2.494122150187567
100	16	ZZ up-up r=2	true	0.12932021266744564	0.005094839072439489	1.908948129804142	2.5059557874347105
100	32	ZZ up-up r=2	true	0.12932021266744564	-6.836534965731778e-5	1.890047771312266	2.5118351178945852
100	2	ZZ up-up r=4	true	0.08748887399599793	0.0006181557299865248	1.6998194209126534	1.6855728255532823
100	4	ZZ up-up r=4	true	0.08748887399599793	0.08906398322193063	0.9854140635756626	0.9854374777567433
100	8	ZZ up-up r=4	true	0.08748887399599793	0.00838348137963972	1.6870575653322966	1.6750849474255807
100	16	ZZ up-up r=4	true	0.08748887399599793	0.008570350207465896	1.6865301799834815	1.6746126908200267
100	32	ZZ up-up r=4	true	0.08748887399599793	3.461405295022979e-5	1.7000443511933907	1.685630338270008
100	2	DoubleOcc(i0)	false	0.10006829335763973	0.10006829335763973	2.091287752288248	NaN
100	4	DoubleOcc(i0)	false	0.10006829335763973	0.008497890542016662	28.151727247261068	NaN
100	8	DoubleOcc(i0)	false	0.10006829335763973	-0.0006129284088868814	31.69224988762313	NaN
100	16	DoubleOcc(i0)	false	0.10006829335763973	5.699605882442116e-5	31.64708063271893	NaN
100	32	DoubleOcc(i0)	false	0.10006829335763973	-1.9826746985585064e-6	31.652885703022545	NaN
100	2	SzSz r=1	false	-0.06980119874823958	0.006096195873611612	4.923181257104736	NaN
100	4	SzSz r=1	false	-0.06980119874823958	-0.06980119867603432	1.0366275503109381	NaN
100	8	SzSz r=1	false	-0.06980119874823958	6.087935122151e-5	6.274607454236043	NaN
100	16	SzSz r=1	false	-0.06980119874823958	-8.73779323455337e-5	6.3055905931805	NaN
100	32	SzSz r=1	false	-0.06980119874823958	-8.84396286475464e-6	6.307297706264962	NaN
100	2	hop bond(i0)	false	0.3909624532679199	0.3909624532679199	1.0	NaN
100	4	hop bond(i0)	false	0.3909624532679199	0.133296753963221	5.36196335701347	NaN
100	8	hop bond(i0)	false	0.3909624532679199	0.0027136918860214965	14.182461130494714	NaN
100	16	hop bond(i0)	false	0.3909624532679199	0.0001433057836214835	14.239604355744774	NaN
100	32	hop bond(i0)	false	0.3909624532679199	1.038959209498369e-5	14.24214584619945	NaN
300	2	ZZ onsite(i0)	true	-0.5997268274511298	0.40027317254887307	2.1879367625273276	2.226502577222577
300	4	ZZ onsite(i0)	true	-0.5997268274511298	0.03399473580764467	93.19550603707381	101.79550805423882
300	8	ZZ onsite(i0)	true	-0.5997268274511298	-0.0024518932464043797	140.50122714434136	150.4101708486888
300	16	ZZ onsite(i0)	true	-0.5997268274511298	0.0002297289568546912	140.2226947447347	150.78342774229523
