W	LX	geometry	U	Hvar	prior	kind	start	l	true	prior_val
1	32	cylinder	2.0	2.251e-11	chi4	P	10	4	0.200442762210	0.181491456822
1	32	cylinder	2.0	2.251e-11	chi4	P	10	5	-0.218099567791	-0.426034592084
1	32	cylinder	2.0	2.251e-11	chi4	P	10	6	0.181921193043	0.181502140237
1	32	cylinder	2.0	2.251e-11	chi4	P	10	7	-0.210518992997	-0.426034592084
1	32	cylinder	2.0	2.251e-11	chi4	P	10	8	0.173703632924	0.181514502144
1	32	cylinder	2.0	2.251e-11	chi4	P	10	9	-0.207449647679	-0.426034592084
1	32	cylinder	2.0	2.251e-11	chi4	P	10	10	0.169463197229	0.181526332190
1	32	cylinder	2.0	2.251e-11	chi4	P	10	11	-0.206958884502	-0.426034592084
1	32	cylinder	2.0	2.251e-11	chi4	P	10	12	0.167138327641	0.181538253964
1	32	cylinder	2.0	2.251e-11	chi4	P	10	13	-0.208514319318	-0.426034592084
1	32	cylinder	2.0	2.251e-11	chi4	P	10	14	0.165944040560	0.181555967292
1	32	cylinder	2.0	2.251e-11	chi4	P	10	15	-0.212331934907	-0.426034592084
1	32	cylinder	2.0	2.251e-11	chi4	P	10	16	0.165647860974	0.181600307704
1	32	cylinder	2.0	2.251e-11	chi8	P	10	1	-0.299489582168	-0.319394878193
1	32	cylinder	2.0	2.251e-11	chi8	P	10	2	0.259070987785	0.229759227000
1	32	cylinder	2.0	2.251e-11	chi8	P	10	3	-0.236714076845	-0.255671725507
1	32	cylinder	2.0	2.251e-11	chi8	P	10	4	0.200442762210	0.208309428353
1	32	cylinder	2.0	2.251e-11	chi8	P	10	5	-0.218099567791	-0.256763115562
1	32	cylinder	2.0	2.251e-11	chi8	P	10	6	0.181921193043	0.205880201811
1	32	cylinder	2.0	2.251e-11	chi8	P	10	7	-0.210518992997	-0.256995876047
1	32	cylinder	2.0	2.251e-11	chi8	P	10	8	0.173703632924	0.205384538403
1	32	cylinder	2.0	2.251e-11	chi8	P	10	9	-0.207449647679	-0.257047649352
1	32	cylinder	2.0	2.251e-11	chi8	P	10	10	0.169463197229	0.204999427713
1	32	cylinder	2.0	2.251e-11	chi8	P	10	11	-0.206958884502	-0.257405655488
1	32	cylinder	2.0	2.251e-11	chi8	P	10	12	0.167138327641	0.204301856001
1	32	cylinder	2.0	2.251e-11	chi8	P	10	13	-0.208514319318	-0.258342455443
1	32	cylinder	2.0	2.251e-11	chi8	P	10	14	0.165944040560	0.203124057638
1	32	cylinder	2.0	2.251e-11	chi8	P	10	15	-0.212331934907	-0.260300835942
1	32	cylinder	2.0	2.251e-11	chi8	P	10	16	0.165647860974	0.201357053622
1	32	cylinder	2.0	2.251e-11	chi16	P	10	1	-0.299489582168	-0.304486681370
1	32	cylinder	2.0	2.251e-11	chi16	P	10	2	0.259070987785	0.247951863867
1	32	cylinder	2.0	2.251e-11	chi16	P	10	3	-0.236714076845	-0.232049353577
1	32	cylinder	2.0	2.251e-11	chi16	P	10	4	0.200442762210	0.193294552000
1	32	cylinder	2.0	2.251e-11	chi16	P	10	5	-0.218099567791	-0.219057681275
1	32	cylinder	2.0	2.251e-11	chi16	P	10	6	0.181921193043	0.177226161084
1	32	cylinder	2.0	2.251e-11	chi16	P	10	7	-0.210518992997	-0.216114115075
1	32	cylinder	2.0	2.251e-11	chi16	P	10	8	0.173703632924	0.172068727115
1	32	cylinder	2.0	2.251e-11	chi16	P	10	9	-0.207449647679	-0.215797166315
1	32	cylinder	2.0	2.251e-11	chi16	P	10	10	0.169463197229	0.170231349767
1	32	cylinder	2.0	2.251e-11	chi16	P	10	11	-0.206958884502	-0.216631613287
1	32	cylinder	2.0	2.251e-11	chi16	P	10	12	0.167138327641	0.169448624864
1	32	cylinder	2.0	2.251e-11	chi16	P	10	13	-0.208514319318	-0.218542008147
1	32	cylinder	2.0	2.251e-11	chi16	P	10	14	0.165944040560	0.169068147162
1	32	cylinder	2.0	2.251e-11	chi16	P	10	15	-0.212331934907	-0.222025468696
1	32	cylinder	2.0	2.251e-11	chi16	P	10	16	0.165647860974	0.169037085977
1	32	cylinder	2.0	2.251e-11	chi32	P	10	1	-0.299489582168	-0.299875923021
1	32	cylinder	2.0	2.251e-11	chi32	P	10	2	0.259070987785	0.257023128631
1	32	cylinder	2.0	2.251e-11	chi32	P	10	3	-0.236714076845	-0.239461350546
1	32	cylinder	2.0	2.251e-11	chi32	P	10	4	0.200442762210	0.200273893951
1	32	cylinder	2.0	2.251e-11	chi32	P	10	5	-0.218099567791	-0.218258202599
1	32	cylinder	2.0	2.251e-11	chi32	P	10	6	0.181921193043	0.180289215915
1	32	cylinder	2.0	2.251e-11	chi32	P	10	7	-0.210518992997	-0.209625480886
1	32	cylinder	2.0	2.251e-11	chi32	P	10	8	0.173703632924	0.171756626310
1	32	cylinder	2.0	2.251e-11	chi32	P	10	9	-0.207449647679	-0.206711809041
1	32	cylinder	2.0	2.251e-11	chi32	P	10	10	0.169463197229	0.167897483473
1	32	cylinder	2.0	2.251e-11	chi32	P	10	11	-0.206958884502	-0.206737153039
1	32	cylinder	2.0	2.251e-11	chi32	P	10	12	0.167138327641	0.166133640611
1	32	cylinder	2.0	2.251e-11	chi32	P	10	13	-0.208514319318	-0.208777366544
1	32	cylinder	2.0	2.251e-11	chi32	P	10	14	0.165944040560	0.165447045875
1	32	cylinder	2.0	2.251e-11	chi32	P	10	15	-0.212331934907	-0.212932649411
1	32	cylinder	2.0	2.251e-11	chi32	P	10	16	0.165647860974	0.165537044955
1	32	cylinder	2.0	2.251e-11	chi64	P	10	1	-0.299489582168	-0.299503140573
1	32	cylinder	2.0	2.251e-11	chi64	P	10	2	0.259070987785	0.258907101201
1	32	cylinder	2.0	2.251e-11	chi64	P	10	3	-0.236714076845	-0.236925204982
1	32	cylinder	2.0	2.251e-11	chi64	P	10	4	0.200442762210	0.199993309050
1	32	cylinder	2.0	2.251e-11	chi64	P	10	5	-0.218099567791	-0.218191137679
1	32	cylinder	2.0	2.251e-11	chi64	P	10	6	0.181921193043	0.181326608178
1	32	cylinder	2.0	2.251e-11	chi64	P	10	7	-0.210518992997	-0.210368288028
1	32	cylinder	2.0	2.251e-11	chi64	P	10	8	0.173703632924	0.173039914889
1	32	cylinder	2.0	2.251e-11	chi64	P	10	9	-0.207449647679	-0.207140961597
1	32	cylinder	2.0	2.251e-11	chi64	P	10	10	0.169463197229	0.168783515603
1	32	cylinder	2.0	2.251e-11	chi64	P	10	11	-0.206958884502	-0.206613180496
1	32	cylinder	2.0	2.251e-11	chi64	P	10	12	0.167138327641	0.166514110192
1	32	cylinder	2.0	2.251e-11	chi64	P	10	13	-0.208514319318	-0.208216171099
1	32	cylinder	2.0	2.251e-11	chi64	P	10	14	0.165944040560	0.165429134759
1	32	cylinder	2.0	2.251e-11	chi64	P	10	15	-0.212331934907	-0.212122193629
1	32	cylinder	2.0	2.251e-11	chi64	P	10	16	0.165647860974	0.165270927094
1	32	cylinder	2.0	2.251e-11	chi128	P	10	1	-0.299489582168	-0.299489986996
