U	prior	observable	pure	true	Delta	prior_fid	G_emp	G_theo
8.0	chi=16	DoubleOcc	false	0.041882892419611684	0.007622796051427128	0.15717608920309523	35.46433005635744	NaN
8.0	chi=32	DoubleOcc	false	0.041882892419611684	0.007529380511817535	0.4699939317839428	71.31104585265186	NaN
8.0	chi=64	DoubleOcc	false	0.041882892419611684	0.0030714022504647887	0.7600532072807437	70.84774048210369	NaN
8.0	chi=128	DoubleOcc	false	0.041882892419611684	0.001185886619365556	0.9081650838298118	64.11871930711665	NaN
8.0	UHF	SzSz y-bond	false	-0.08281105206599562	0.1077463432625731	NaN	0.686750770520861	NaN
8.0	UHF-sym	SzSz y-bond	false	-0.08281105206599562	-0.015300442220580315	NaN	10.515309037008072	NaN
8.0	chi=8	SzSz y-bond	false	-0.08281105206599562	0.06224248347278036	0.025843151680491883	2.1201293439413	NaN
8.0	chi=16	SzSz y-bond	false	-0.08281105206599562	0.03034559339609655	0.15717608920309523	7.935646823499883	NaN
8.0	chi=32	SzSz y-bond	false	-0.08281105206599562	0.014382381613605985	0.4699939317839428	19.34960701042643	NaN
8.0	chi=64	SzSz y-bond	false	-0.08281105206599562	0.0060516949084322424	0.7600532072807437	25.269274850111874	NaN
8.0	chi=128	SzSz y-bond	false	-0.08281105206599562	0.0024670339463082475	0.9081650838298118	25.54536704555095	NaN
8.0	UHF	SzSz x-bond	false	-0.06133981505660273	0.08058126795203756	NaN	0.3457380825623871	NaN
8.0	UHF-sym	SzSz x-bond	false	-0.06133981505660273	-0.009287085926338187	NaN	5.382949373446042	NaN
8.0	chi=8	SzSz x-bond	false	-0.06133981505660273	0.0016142729951010432	0.025843151680491883	4.66063874345963	NaN
8.0	chi=16	SzSz x-bond	false	-0.06133981505660273	0.00019480218081475986	0.15717608920309523	4.924767662411044	NaN
8.0	chi=32	SzSz x-bond	false	-0.06133981505660273	-0.0005115344929945836	0.4699939317839428	5.090619785907031	NaN
8.0	chi=64	SzSz x-bond	false	-0.06133981505660273	-0.0006573284560403569	0.7600532072807437	5.049165584749603	NaN
8.0	chi=128	SzSz x-bond	false	-0.06133981505660273	-0.0004765394630873443	0.9081650838298118	5.04027976503147	NaN
8.0	UHF	hop y-bond	false	0.2911063061683499	0.07183943875498539	NaN	5.822971993784124	NaN
8.0	UHF-sym	hop y-bond	false	0.2911063061683499	0.07183943875426224	NaN	5.822971993818256	NaN
8.0	chi=8	hop y-bond	false	0.2911063061683499	0.020096880990934818	0.025843151680491883	7.761928512099964	NaN
8.0	chi=16	hop y-bond	false	0.2911063061683499	-0.006014790420773741	0.15717608920309523	7.7338931363759915	NaN
8.0	chi=32	hop y-bond	false	0.2911063061683499	0.001746630145503747	0.4699939317839428	7.836209260975604	NaN
8.0	chi=64	hop y-bond	false	0.2911063061683499	0.0033010535416659326	0.7600532072807437	7.847313710496393	NaN
8.0	chi=128	hop y-bond	false	0.2911063061683499	-0.0004161743325716283	0.9081650838298118	7.815464771607097	NaN
8.0	UHF	n(site 14)	false	0.8980576340373662	-0.06751083255539447	NaN	0.05433546761220538	NaN
8.0	UHF-sym	n(site 14)	false	0.8980576340373662	-0.06751083255539447	NaN	1.1710393522075213	NaN
8.0	chi=8	n(site 14)	false	0.8980576340373662	-0.06564330947960317	0.025843151680491883	0.6806406650057395	NaN
8.0	chi=16	n(site 14)	false	0.8980576340373662	-0.0219728767556584	0.15717608920309523	2.351437827660917	NaN
8.0	chi=32	n(site 14)	false	0.8980576340373662	-0.01033081095007804	0.4699939317839428	6.98213491751397	NaN
8.0	chi=64	n(site 14)	false	0.8980576340373662	-0.005216380796486009	0.7600532072807437	8.140316979671029	NaN
8.0	chi=128	n(site 14)	false	0.8980576340373662	-0.0023903990539198006	0.9081650838298118	8.020943812454647	NaN
8.0	UHF	n(site 18)	false	0.8978846357843742	0.1439732932018647	NaN	0.07798793190571188	NaN
8.0	UHF-sym	n(site 18)	false	0.8978846357843742	0.1439732932018647	NaN	0.9217343550966519	NaN
8.0	chi=8	n(site 18)	false	0.8978846357843742	-0.051401172654284566	0.025843151680491883	0.554100796750503	NaN
8.0	chi=16	n(site 18)	false	0.8978846357843742	-0.023718463117684663	0.15717608920309523	1.9577201604591388	NaN
8.0	chi=32	n(site 18)	false	0.8978846357843742	-0.01319461557101953	0.4699939317839428	4.607004956159654	NaN
8.0	chi=64	n(site 18)	false	0.8978846357843742	-0.005918722581089941	0.7600532072807437	5.061648884980853	NaN
8.0	chi=128	n(site 18)	false	0.8978846357843742	-0.001914736535332029	0.9081650838298118	4.895007293837155	NaN
