L	bc	chi_prior	observable	true	Delta	prior_fid	G	G_max	S_center
32	OBC	16	n	0.9999999999899619	-5.73564529204873e-11	0.9811890639606509	0.9999999999918714	1.0000000000350269	1.0815476118420217
32	OBC	32	n	0.9999999999899619	-5.3851700876350606e-11	0.9985420115269688	0.9999999999960321	1.0000000000350269	1.0815476118420217
32	OBC	2	Sz	-7.316619879405017e-11	3.7569183399671635e-8	0.006921728930695332	1.0000000039985124	1.000000000017672	1.0815476118420217
32	OBC	4	Sz	-7.316619879405017e-11	-2.024693863955651e-9	0.1445742459156264	0.9999999998040526	1.000000000017672	1.0815476118420217
32	OBC	8	Sz	-7.316619879405017e-11	5.148222299855565e-10	0.8418402990752022	0.9999999996083132	1.000000000017672	1.0815476118420217
32	OBC	16	Sz	-7.316619879405017e-11	-1.239257065022148e-10	0.9811890639606509	0.9999999999479635	1.000000000017672	1.0815476118420217
32	OBC	32	Sz	-7.316619879405017e-11	-1.1349894982193298e-10	0.9985420115269688	0.9999999999525275	1.000000000017672	1.0815476118420217
32	OBC	2	DoubleOcc	0.10027732899994138	0.10027732899994138	0.006921728930695332	2.236378058307513	26.49580132357176	1.0815476118420217
32	OBC	4	DoubleOcc	0.10027732899994138	0.04168051772458148	0.1445742459156264	9.50203504627491	26.49580132357176	1.0815476118420217
32	OBC	8	DoubleOcc	0.10027732899994138	0.00016470838654500386	0.8418402990752022	26.5103606736965	26.49580132357176	1.0815476118420217
32	OBC	16	DoubleOcc	0.10027732899994138	0.0005251236633442291	0.9811890639606509	26.536671328217963	26.49580132357176	1.0815476118420217
32	OBC	32	DoubleOcc	0.10027732899994138	2.593579713069949e-5	0.9985420115269688	26.49819909389764	26.49580132357176	1.0815476118420217
32	OBC	2	ZZ onsite	-0.5988906839801532	0.40110931601984656	0.006921728930695332	2.2618495453522436	47.598877326159155	1.0815476118420217
32	OBC	4	ZZ onsite	-0.5988906839801532	0.16672207089533897	0.1445742459156264	10.97233420556411	47.598877326159155	1.0815476118420217
32	OBC	8	ZZ onsite	-0.5988906839801532	0.0006588344877386243	0.8418402990752022	47.63647081260007	47.598877326159155	1.0815476118420217
32	OBC	16	ZZ onsite	-0.5988906839801532	0.002100494768097372	0.9811890639606509	47.7004362829142	47.598877326159155	1.0815476118420217
32	OBC	32	ZZ onsite	-0.5988906839801532	0.00010374329623219491	0.9985420115269688	47.605143389721846	47.598877326159155	1.0815476118420217
32	OBC	2	ZZ up-up r=1	-0.43615472272860323	-0.071710708776555	0.006921728930695332	13.133584989342324	20.35911124594855	1.0815476118420217
32	OBC	4	ZZ up-up r=1	-0.43615472272860323	-0.1353723266863861	0.1445742459156264	7.004108687295367	20.35911124594855	1.0815476118420217
32	OBC	8	ZZ up-up r=1	-0.43615472272860323	-0.009747013582495967	0.8418402990752022	20.07930384404536	20.35911124594855	1.0815476118420217
32	OBC	16	ZZ up-up r=1	-0.43615472272860323	-0.005569258689929968	0.9811890639606509	20.24536571502454	20.35911124594855	1.0815476118420217
32	OBC	32	ZZ up-up r=1	-0.43615472272860323	-0.0004756591796718501	0.9985420115269688	20.354312148820426	20.35911124594855	1.0815476118420217
32	OBC	2	SzSz r=1	-0.08988796930867929	0.0012230341793327687	0.006921728930695332	13.136673485553152	16.775494151115673	1.0815476118420217
32	OBC	4	SzSz r=1	-0.08988796930867929	-0.013452739834897351	0.1445742459156264	9.0023760533526	16.775494151115673	1.0815476118420217
32	OBC	8	SzSz r=1	-0.08988796930867929	-0.002202748221888734	0.8418402990752022	16.417313515508795	16.775494151115673	1.0815476118420217
32	OBC	16	SzSz r=1	-0.08988796930867929	-0.0005931591653187129	0.9811890639606509	16.70099135232752	16.775494151115673	1.0815476118420217
32	OBC	32	SzSz r=1	-0.08988796930867929	-9.112793339594027e-5	0.9985420115269688	16.7706572707296	16.775494151115673	1.0815476118420217
32	OBC	2	hop up r=1	0.44408845128313273	0.44408845128313273	0.006921728930695332	1.0	19.52793518141048	1.0815476118420217
32	OBC	4	hop up r=1	0.44408845128313273	0.44408845128313273	0.1445742459156264	1.0	19.52793518141048	1.0815476118420217
32	OBC	8	hop up r=1	0.44408845128313273	0.01088213984129971	0.8418402990752022	19.180944306970627	19.52793518141048	1.0815476118420217
32	OBC	16	hop up r=1	0.44408845128313273	0.0034166832012395565	0.9811890639606509	19.463293450508953	19.52793518141048	1.0815476118420217
32	OBC	32	hop up r=1	0.44408845128313273	0.00036247567562658345	0.9985420115269688	19.523054903317927	19.52793518141048	1.0815476118420217
32	PBC	2	n	1.0000000535389135	5.353891308068626e-8	0.0029154563861998645	1.0000077707976238	1.0000001355936812	2.2788447660247044
32	PBC	4	n	1.0000000535389135	-1.1721887926974262e-7	0.06364034082384058	1.00000371606693	1.0000001355936812	2.2788447660247044
32	PBC	8	n	1.0000000535389135	5.4874524257897406e-8	0.3965458087468787	1.000001184589578	1.0000001355936812	2.2788447660247044
32	PBC	16	n	1.0000000535389135	1.2846952328615657e-6	0.633755695406946	1.0000004610974969	1.0000001355936812	2.2788447660247044
32	PBC	32	n	1.0000000535389135	2.7401451330177906e-8	0.8255151076843539	1.0000006478232977	1.0000001355936812	2.2788447660247044
32	PBC	2	Sz	-2.1588488412910278e-7	1.4650111221752027e-5	0.0029154563861998645	1.0000016328136254	0.9999999715409208	2.2788447660247044
32	PBC	4	Sz	-2.1588488412910278e-7	6.727093213802771e-6	0.06364034082384058	1.0000006063077935	0.9999999715409208	2.2788447660247044
32	PBC	8	Sz	-2.1588488412910278e-7	2.0340573625293734e-6	0.3965458087468787	1.0000002548491205	0.9999999715409208	2.2788447660247044
32	PBC	16	Sz	-2.1588488412910278e-7	1.6082328688285519e-6	0.633755695406946	1.0000014217883157	0.9999999715409208	2.2788447660247044
32	PBC	32	Sz	-2.1588488412910278e-7	9.93083375061543e-7	0.8255151076843539	1.0000001106954581	0.9999999715409208	2.2788447660247044
32	PBC	2	DoubleOcc	0.10030280714297102	0.10030280714297102	0.0029154563861998645	2.2327674833414264	26.437659639963474	2.2788447660247044
32	PBC	4	DoubleOcc	0.10030280714297102	0.047453419288707444	0.06364034082384058	7.915581091121913	26.437659639963474	2.2788447660247044
32	PBC	8	DoubleOcc	0.10030280714297102	0.008743893908312067	0.3965458087468787	25.064735309473093	26.437659639963474	2.2788447660247044
