set	observable	true	err_shadow	err_crm	err_derand	bias_derand
SetB(random)	rnd71	0.0	0.04839227638573227	0.04839227638573227	0.041219505322694236	0.008761904761904766
SetB(random)	rnd72	0.0	0.04049533306444088	0.04049533306444088	0.046149294074237436	0.005555555555555554
SetB(random)	rnd73	0.0	0.03529903779093017	0.03529903779093017	0.03603839795468871	0.0026666666666666666
SetB(random)	rnd74	0.009573632168669789	0.03734873491833423	0.03663612924546954	0.029649368584697793	0.0007069655020031217
SetB(random)	rnd75	-0.19536810781686348	0.20810194849043878	0.07044862636230935	0.0531707291353204	0.008965225516469832
SetB(random)	rnd76	0.0	0.06915955764601953	0.06915955764601953	0.05134288610920688	0.004666666666666668
SetB(random)	rnd77	0.0	0.04751877741373983	0.04751877741373983	0.03487342556995796	0.0027777777777777788
SetB(random)	rnd78	0.0	0.04455194875570578	0.04455194875570578	0.03242663493746354	0.001515151515151515
SetB(random)	rnd79	-6.300122816650029e-7	0.07133527637272044	0.07133528996416087	0.05437392884398767	0.012399369987718335
SetB(random)	rnd80	0.0	0.05802014870001982	0.05802014870001982	0.052138465073589234	0.007166666666666665
SetB(random)	rnd81	-0.004853662394699396	0.034613794340128165	0.03482095579557214	0.04344032768022724	0.010053662394699396
SetB(random)	rnd82	0.0	0.056059884237212365	0.056059884237212365	0.03240661206832838	0.013866666666666666
SetB(random)	rnd83	0.16851702436456645	0.08426049264447519	0.04085987943203167	0.04734728627114103	0.006117024364566459
SetB(random)	rnd84	-0.00961996333302055	0.060984203720703546	0.05854673398533094	0.04469894184764166	0.008686629999687218
SetB(random)	rnd85	0.0	0.06920316117953988	0.06920316117953988	0.05074597543636841	0.005866666666666668
SetB(random)	rnd86	0.0	0.03624413769482423	0.03624413769482423	0.04886711462162635	0.00111111111111111
SetB(random)	rnd87	0.0	0.06605102729629984	0.06605102729629984	0.039477914675504794	0.006333333333333333
SetB(random)	rnd88	0.0	0.062263458038375526	0.062263458038375526	0.04418248469725292	0.0006666666666666671
SetB(random)	rnd89	0.0	0.06195369572344414	0.06195369572344414	0.03562570295119894	0.0005714285714285709
SetB(random)	rnd90	0.0	0.06144850156698357	0.06144850156698357	0.05058167402455595	0.006333333333333333
SetB(random)	rnd91	0.0	0.08742504020686753	0.08742504020686753	0.05695859556902191	0.0061666666666666675
SetB(random)	rnd92	0.0	0.056790518878442706	0.056790518878442706	0.04961460667386469	0.0073333333333333315
SetB(random)	rnd93	0.0	0.0621772682710906	0.0621772682710906	0.04995998398718719	0.004000000000000002
SetB(random)	rnd94	0.0	0.03844833165296709	0.03844833165296709	0.026464984456803495	0.0014666666666666658
SetB(random)	rnd95	0.0	0.044433426373737414	0.044433426373737414	0.03715293030011303	0.005066666666666666
SetB(random)	rnd96	0.0	0.06250522957431585	0.06250522957431585	0.0479171539205611	0.0036666666666666657
SetB(random)	rnd97	0.011953732384883568	0.06459692316789256	0.06162433175970496	0.061341328814182486	0.012953732384883567
SetB(random)	rnd98	0.0	0.05691785732754368	0.05691785732754368	0.031189488028401793	0.001222222222222224
SetB(random)	rnd99	0.0	0.064456676709351	0.064456676709351	0.04188826132440458	0.006166666666666668
SetB(random)	rnd100	0.0	0.05202613136518595	0.05202613136518595	0.046898337102593585	0.0021666666666666657
SetB(random)	rnd101	0.0	0.09345258949199116	0.09345258949199116	0.04633368477498403	0.0015000000000000005
SetB(random)	rnd102	0.0	0.03784401378435358	0.03784401378435358	0.034686149844859196	0.009444444444444445
SetB(random)	rnd103	0.0	0.08998833027791377	0.08998833027791377	0.04773586328619354	0.008666666666666666
SetB(random)	rnd104	1.4802691627089014e-9	0.05872297558936332	0.058722973210978996	0.03998019944149685	0.004222223702491385
SetB(random)	rnd105	-1.4148426919548452e-9	0.043731897929906074	0.04373189789785757	0.026749068089901018	0.006266668081509358
SetB(random)	rnd106	9.3864419336024e-8	0.07708743624992466	0.07708743494748975	0.045461869838309577	0.0026667605310860044
SetB(random)	rnd107	0.0	0.05886321724835962	0.05886321724835962	0.04638241288221755	0.0034444444444444444
SetB(random)	rnd108	0.0	0.031969321501110703	0.031969321501110703	0.04098344057081727	0.0031111111111111114
SetB(random)	rnd109	0.0	0.060957816957924765	0.060957816957924765	0.04435521454655884	0.0008333333333333346
SetB(random)	rnd110	0.0	0.06454709267204675	0.06454709267204675	0.04493346294193252	0.007466666666666666
SetB(random)	rnd111	0.0	0.04208208726959151	0.04208208726959151	0.03739988290975146	0.004814814814814814
SetB(random)	rnd112	0.0	0.0706060933191541	0.0706060933191541	0.057105468063563064	0.0010000000000000013
SetB(random)	rnd113	0.0	0.027427919327223656	0.027427919327223656	0.03814270441884191	0.005333333333333334
SetB(random)	rnd114	0.0	0.07543933667021054	0.07543933667021054	0.04395792136321635	0.012333333333333337
