U	nhole	site	x	y	observable	prior	true	Delta	relerr	G	dens	Sz
8.0	4	4	1	4	SzSz nb	chi8	0.02761624715654867	-0.007000334574256351	0.2534860922475614	1.9366248275961297	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	SzSz nb	chi32	0.02761624715654867	-0.003402643117929434	0.12321164054771148	2.0384842107341696	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	SzSz nb	exact	0.02761624715654867	0.0	0.0	2.0713219154021143	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	SzSz nb	UHF	0.02761624715654867	-0.17694821960965315	6.407395567058185	0.047121196023271826	0.933764695688586	-0.011934980242051653
8.0	4	5	2	1	n	chi8	0.8789291834544802	0.01896635525859769	0.02157893447576025	2.4351387256712806	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	n	chi32	0.8789291834544802	-0.0005696994344412953	0.0006481744435907675	2.5483769394989433	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	n	exact	0.8789291834544802	0.0	0.0	2.5437673059285206	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	n	UHF	0.8789291834544802	-0.12078352262056324	0.13742122220341388	0.038767231040456186	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	Sz	chi8	-0.03365563094428842	-0.004770016335614333	0.14173011177565925	2.1595439451913743	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	Sz	chi32	-0.03365563094428842	-0.0018058426482239973	0.05365647879884601	2.2036340326787793	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	Sz	exact	-0.03365563094428842	0.0	0.0	2.208376936991885	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	Sz	UHF	-0.03365563094428842	0.41298906879077274	12.27102440820114	0.0572961107083872	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	DoubleOcc	chi8	0.04375294048479006	0.020524414034305632	0.46909793506200076	28.97083670650414	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	DoubleOcc	chi32	0.04375294048479006	0.008412761247315798	0.1922787623894752	32.82787330883385	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	DoubleOcc	exact	0.04375294048479006	0.0	0.0	36.01406118909693	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	DoubleOcc	UHF	0.04375294048479006	-0.006611945385758544	0.15112002330579521	0.9906590410446809	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	ZZ onsite	chi8	-0.5828466049697996	0.044164945620027596	0.0757745609967412	30.339090312084473	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	ZZ onsite	chi32	-0.5828466049697996	0.03479044385814711	0.05969056619957458	32.36375906737804	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	ZZ onsite	exact	-0.5828466049697996	0.0	0.0	36.192178421581595	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	ZZ onsite	UHF	-0.5828466049697996	0.21511926369809298	0.3690838410377967	6.308224274971981	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	ZZ up-up nb	chi8	-0.15852663181163437	-0.015896926363935943	0.10027921606777782	3.294476127756035	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	ZZ up-up nb	chi32	-0.15852663181163437	0.0030133737376375758	0.01900862778197513	3.367611499265959	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	ZZ up-up nb	exact	-0.15852663181163437	0.0	0.0	3.370951237568883	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	ZZ up-up nb	UHF	-0.15852663181163437	0.685172811445815	4.322130632662125	0.07416564210362374	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	SzSz nb	chi8	-0.05229671749591143	-0.0032875605447172523	0.06286361175487304	4.636190001761118	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	SzSz nb	chi32	-0.05229671749591143	0.0008254828751980553	0.01578460206919472	4.725664747210364	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	SzSz nb	exact	-0.05229671749591143	0.0	0.0	4.7576425408981615	0.8789291834544802	-0.03365563094428842
8.0	4	5	2	1	SzSz nb	UHF	-0.05229671749591143	0.15291146712920622	2.9239209352128244	0.13857282204287255	0.8789291834544802	-0.03365563094428842
8.0	4	6	2	2	n	chi8	0.8800487924070733	0.025062862941400366	0.02847894702843629	2.749905667129634	0.8800487924070733	-0.037082282683128236
