L	doping	site	chi_prior	observable	pure	true	Delta	prior_fid	G_emp	G_lo	G_hi	G_max	G_theo	S_bond
128	0.0	88	16	ZZ onsite	true	-0.5991048339331491	0.0018384323419918802	0.816004607335271	49.52145642136761	46.20145222415556	52.468937071488526	49.61124232690246	50.74366749250368	1.4709399305370214
128	0.0	88	32	ZZ onsite	true	-0.5991048339331491	0.0005984039175831457	0.9628431765118518	49.58700714494412	46.27192372579827	52.51331696515782	49.61124232690246	50.76492723502107	1.4709399305370214
128	0.0	88	2	ZZ up-up r=1	true	-0.47554483731335856	-0.09105599624293209	4.672955945625278e-10	13.633203077022598	13.130151275813573	14.16193295381106	25.867441584309162	13.817002051743003	1.4709399305370214
128	0.0	88	4	ZZ up-up r=1	true	-0.47554483731335856	-0.14840546807210675	0.00013463626946936353	7.603676545883471	7.418982645246094	7.801736766618501	25.867441584309162	7.64231071947003	1.4709399305370214
128	0.0	88	8	ZZ up-up r=1	true	-0.47554483731335856	-0.01991767359500196	0.3183756021105906	24.874782416479395	23.490602163078314	26.62506402854937	25.867441584309162	25.80016975717673	1.4709399305370214
128	0.0	88	16	ZZ up-up r=1	true	-0.47554483731335856	-0.01048294878907402	0.816004607335271	25.609124819184476	24.119251729918474	27.40227241195886	25.867441584309162	26.63957813874579	1.4709399305370214
128	0.0	88	32	ZZ up-up r=1	true	-0.47554483731335856	-0.0018470794727379891	0.9628431765118518	25.867009063819356	24.264035374537407	27.718533244764906	25.867441584309162	26.965275334041745	1.4709399305370214
128	0.0	88	2	SzSz r=1	false	-0.0984540328279647	-0.0023318225603580767	4.672955945625278e-10	14.45351510095001	13.67199507934663	15.407940568317446	18.251830295306277	NaN	1.4709399305370214
128	0.0	88	4	SzSz r=1	false	-0.0984540328279647	-0.015459405676196719	0.00013463626946936353	10.011589881364332	9.56720041708837	10.53633887326703	18.251830295306277	NaN	1.4709399305370214
128	0.0	88	8	SzSz r=1	false	-0.0984540328279647	-0.004984138096285354	0.3183756021105906	17.716809801938737	16.79391670779548	18.856796184357542	18.251830295306277	NaN	1.4709399305370214
128	0.0	88	16	SzSz r=1	false	-0.0984540328279647	-0.0017891633567703735	0.816004607335271	18.280884931031984	17.24808081816711	19.52911440419096	18.251830295306277	NaN	1.4709399305370214
128	0.0	88	32	SzSz r=1	false	-0.0984540328279647	-0.0004060335337139481	0.9628431765118518	18.280306457659094	17.21880547206061	19.540355632808378	18.251830295306277	NaN	1.4709399305370214
128	0.0	88	2	hop up r=1	false	0.4659489314797895	0.4659489314797895	4.672955945625278e-10	1.0	1.0	1.0	25.04137142164741	NaN	1.4709399305370214
128	0.0	88	4	hop up r=1	false	0.4659489314797895	0.4659489314797895	0.00013463626946936353	1.0	1.0	1.0	25.04137142164741	NaN	1.4709399305370214
128	0.0	88	8	hop up r=1	false	0.4659489314797895	0.017747432145481357	0.3183756021105906	24.486376933088586	23.21307420678727	25.939359973648735	25.04137142164741	NaN	1.4709399305370214
128	0.0	88	16	hop up r=1	false	0.4659489314797895	0.00603745644140169	0.816004607335271	25.047052035557346	23.67731598779506	26.630873503568225	25.04137142164741	NaN	1.4709399305370214
128	0.0	88	32	hop up r=1	false	0.4659489314797895	0.0010753074145569697	0.9628431765118518	25.057394296287587	23.666091647412948	26.623913108849536	25.04137142164741	NaN	1.4709399305370214
128	0.0	89	2	n	false	0.9999999987000221	-1.299983232172508e-9	4.672955945625278e-10	1.0000155645190352	1.0000016168629202	1.000029174712093	1.000003981804533	NaN	1.4679455002257278
128	0.0	89	4	n	false	0.9999999987000221	-1.9110724558402126e-8	0.00013463626946936353	1.0000116321428019	1.0000011981304888	1.000021811140513	1.000003981804533	NaN	1.4679455002257278
128	0.0	89	8	n	false	0.9999999987000221	-1.302452354856598e-7	0.3183756021105906	1.0000072162205678	1.0000006377208839	1.000013670278188	1.000003981804533	NaN	1.4679455002257278
128	0.0	89	16	n	false	0.9999999987000221	2.31207963885538e-8	0.816004607335271	1.0000047419666034	1.0000005228593856	1.000008861282059	1.000003981804533	NaN	1.4679455002257278
128	0.0	89	32	n	false	0.9999999987000221	4.636381656375477e-8	0.9628431765118518	1.0000042344228421	1.0000004920103747	1.0000079145388037	1.000003981804533	NaN	1.4679455002257278
128	0.0	89	2	Sz	false	2.873561800890989e-6	-8.383709890991454e-6	4.672955945625278e-10	1.0000003009491323	0.9999903672777477	1.0000123782447898	1.0000000821217756	NaN	1.4679455002257278
128	0.0	89	4	Sz	false	2.873561800890989e-6	-5.543268300434168e-6	0.00013463626946936353	1.000000243016687	0.9999928165303351	1.0000092574817505	1.0000000821217756	NaN	1.4679455002257278
128	0.0	89	8	Sz	false	2.873561800890989e-6	-2.4057595675655574e-6	0.3183756021105906	1.0000002352431758	0.9999955690107991	1.0000059013000382	1.0000000821217756	NaN	1.4679455002257278
128	0.0	89	16	Sz	false	2.873561800890989e-6	-5.370699905082876e-7	0.816004607335271	1.0000000817376458	0.999997075204718	1.0000037581826033	1.0000000821217756	NaN	1.4679455002257278
128	0.0	89	32	Sz	false	2.873561800890989e-6	-1.582446068695842e-7	0.9628431765118518	1.0000000556355786	0.999997395750789	1.0000033217435522	1.0000000821217756	NaN	1.4679455002257278
128	0.0	89	2	DoubleOcc	false	0.10026321226326992	0.10026321226326992	4.672955945625278e-10	2.101457931169366	2.0379514119207798	2.1631911320615087	27.281607772242825	NaN	1.4679455002257278
128	0.0	89	4	DoubleOcc	false	0.10026321226326992	0.04410425396977008	0.00013463626946936353	8.148981372872157	7.770803602909371	8.525269399772366	27.281607772242825	NaN	1.4679455002257278
