geometry	rho	U	site	observable	prior	true	Delta	relerr	G	G_max	F_supp	infid_supp	D_supp	nsupp
torus	ED	8.0	9	SxSx nb	chi4	-0.12175392858827283	0.04074037693734184	0.3346124220361781	5.896603171298527	22.248993169565328	0.8590158938292211	0.14098410617077894	0.15914259664490524	4
torus	ED	8.0	9	SxSx nb	chi8	-0.12175392858827283	0.02954626360250981	0.2426719527254389	8.762223350425087	22.248993169565328	0.9195180946030334	0.08048190539696665	0.12327084750928581	4
torus	ED	8.0	9	SxSx nb	chi32	-0.12175392858827283	0.010138483932340125	0.08327028170585578	18.01983413583005	22.248993169565328	0.9962769546944062	0.003723045305593753	0.041935302737717485	4
torus	ED	8.0	9	SxSx nb	chi128	-0.12175392858827283	0.0029230084992678818	0.024007508695283463	21.47533812083879	22.248993169565328	0.999654910280812	0.00034508971918800757	0.011894273807048569	4
torus	ED	8.0	9	SxSx nb	exact	-0.12175392858827283	4.9939339601179356e-5	0.00041016614560385894	22.248993169565328	22.248993169565328	0.9999999556829833	4.431701672302779e-8	0.00017938564799041464	4
torus	ED	8.0	9	SxSx nb	UHF	-0.12175392858827283	-0.11547119658595215	0.9483981167986244	1.1267527249760958	22.248993169565328	0.456534236161198	0.5434657638388021	0.6403905987056874	4
torus	ED	8.0	9	SxSx nb	UHFsym	-0.12175392858827283	-0.04549503060091886	0.37366375876680236	6.035476409983598	22.248993169565328	0.9706090862989362	0.029390913701063837	0.16045448239546173	4
torus	DMRG	8.0	9	n	chi4	1.0000239870317544	0.0002691323884776997	0.0002691259329454002	1.0008335563947783	0.9999575568215456	0.9747423159609804	0.025257684039019623	0.07285367150242704	2
torus	DMRG	8.0	9	n	chi8	1.0000239870317544	0.0004002123359214682	0.0004002027362457257	1.010557708400626	0.9999575568215456	0.9802318353084014	0.01976816469159859	0.06672991953377963	2
torus	DMRG	8.0	9	n	chi32	1.0000239870317544	0.0006213379799150376	0.0006213230762186785	0.9996118188679094	0.9999575568215456	0.9989856037433685	0.0010143962566314668	0.018075492198341456	2
torus	DMRG	8.0	9	n	chi128	1.0000239870317544	8.94948798413342e-5	8.949273317630171e-5	1.0001468594036647	0.9999575568215456	0.9999031207742591	9.68792257408646e-5	0.005766093453853181	2
torus	DMRG	8.0	9	n	exact	1.0000239870317544	0.0	0.0	0.9999575568215456	0.9999575568215456	1.0000000000000098	-9.769962616701378e-15	0.0	2
torus	DMRG	8.0	9	n	UHF	1.0000239870317544	-0.0063730404400452745	0.0063728875733886844	0.010054508053647125	0.9999575568215456	0.5778030492000854	0.4221969507999146	0.46673691755265345	2
torus	DMRG	8.0	9	n	UHFsym	1.0000239870317544	-0.006373040440039945	0.006372887573383355	0.9847416986599404	0.9999575568215456	0.9989319011218546	0.001068098878145407	0.017338591717212287	2
torus	DMRG	8.0	9	Sz	chi4	-1.0673935468483164e-7	-9.780845400262847e-5	NaN	1.000307067412495	0.999986017304708	0.9747423159609804	0.025257684039019623	0.07285367150242704	2
torus	DMRG	8.0	9	Sz	chi8	-1.0673935468483164e-7	-0.004589930358884182	NaN	1.0042014357387974	0.999986017304708	0.9802318353084014	0.01976816469159859	0.06672991953377963	2
torus	DMRG	8.0	9	Sz	chi32	-1.0673935468483164e-7	0.00031781903483571114	NaN	0.9997481441916501	0.999986017304708	0.9989856037433685	0.0010143962566314668	0.018075492198341456	2
torus	DMRG	8.0	9	Sz	chi128	-1.0673935468483164e-7	-7.822997389651115e-6	NaN	1.000050898648678	0.999986017304708	0.9999031207742591	9.68792257408646e-5	0.005766093453853181	2
torus	DMRG	8.0	9	Sz	exact	-1.0673935468483164e-7	0.0	NaN	0.999986017304708	0.999986017304708	1.0000000000000098	-9.769962616701378e-15	0.0	2
torus	DMRG	8.0	9	Sz	UHF	-1.0673935468483164e-7	0.4580676216940455	NaN	0.023618675470377142	0.999986017304708	0.5778030492000854	0.4221969507999146	0.46673691755265345	2
torus	DMRG	8.0	9	Sz	UHFsym	-1.0673935468483164e-7	-1.0673935471952611e-7	NaN	0.9942094834921167	0.999986017304708	0.9989319011218546	0.001068098878145407	0.017338591717212287	2
torus	DMRG	8.0	9	DoubleOcc	chi4	0.048865476032466104	0.03656140194545135	0.7482051729355924	22.25519146396996	92.07096254181094	0.9747423159609804	0.025257684039019623	0.07285367150242704	2
torus	DMRG	8.0	9	DoubleOcc	chi8	0.048865476032466104	0.03356506593484895	0.6868871166331911	25.297654933424052	92.07096254181094	0.9802318353084014	0.01976816469159859	0.06672991953377963	2
torus	DMRG	8.0	9	DoubleOcc	chi32	0.048865476032466104	0.009348415089127149	0.19130919921697037	75.5085349160816	92.07096254181094	0.9989856037433685	0.0010143962566314668	0.018075492198341456	2
torus	DMRG	8.0	9	DoubleOcc	chi128	0.048865476032466104	0.0029277941668464647	0.05991539230890221	89.5051887270922	92.07096254181094	0.9999031207742591	9.68792257408646e-5	0.005766093453853181	2
torus	DMRG	8.0	9	DoubleOcc	exact	0.048865476032466104	0.0	0.0	92.07096254181094	92.07096254181094	1.0000000000000098	-9.769962616701378e-15	0.0	2
torus	DMRG	8.0	9	DoubleOcc	UHF	0.048865476032466104	0.0054827756385827375	0.11220141670041227	1.654150408836946	92.07096254181094	0.5778030492000854	0.4221969507999146	0.46673691755265345	2
torus	DMRG	8.0	9	DoubleOcc	UHFsym	0.048865476032466104	0.005482775638582016	0.1122014167003975	78.4153260216627	92.07096254181094	0.9989319011218546	0.001068098878145407	0.017338591717212287	2
torus	DMRG	8.0	9	ZZ onsite	chi4	-0.8045860699336393	0.145707343004854	0.1810960299335926	24.332035489585877	173.3840472776476	0.9747423159609804	0.025257684039019623	0.07285367150242704	2
torus	DMRG	8.0	9	ZZ onsite	chi8	-0.8045860699336393	0.1334598390675591	0.16587391213293887	28.101087499998297	173.3840472776476	0.9802318353084014	0.01976816469159859	0.06672991953377963	2
torus	DMRG	8.0	9	ZZ onsite	chi32	-0.8045860699336393	0.03615098439668285	0.04493115870085162	119.43695638650148	173.3840472776476	0.9989856037433685	0.0010143962566314668	0.018075492198341456	2
torus	DMRG	8.0	9	ZZ onsite	chi128	-0.8045860699336393	0.011532186907706299	0.014333068068972969	162.41825076395176	173.3840472776476	0.9999031207742591	9.68792257408646e-5	0.005766093453853181	2
torus	DMRG	8.0	9	ZZ onsite	exact	-0.8045860699336393	0.0	0.0	173.3840472776476	173.3840472776476	1.0000000000000098	-9.769962616701378e-15	0.0	2
torus	DMRG	8.0	9	ZZ onsite	UHF	-0.8045860699336393	0.03467718343442683	0.04309940816808689	122.14610258634387	173.3840472776476	0.5778030492000854	0.4221969507999146	0.46673691755265345	2
torus	DMRG	8.0	9	ZZ onsite	UHFsym	-0.8045860699336393	0.034677183434418835	0.04309940816807696	122.14610258635857	173.3840472776476	0.9989319011218546	0.001068098878145407	0.017338591717212287	2
torus	DMRG	8.0	9	ZZ up-up nb	chi4	-0.5134159448254147	0.14064566556884694	0.27394097707010834	9.09927920170121	27.269690217106728	0.9924680211780238	0.007531978821976204	0.07032283278442336	2
torus	DMRG	8.0	9	ZZ up-up nb	chi8	-0.5134159448254147	0.11746587721920576	0.22879281098125928	11.382830210135246	27.269690217106728	0.9947296770552171	0.0052703229447829125	0.05873293860960276	2
torus	DMRG	8.0	9	ZZ up-up nb	chi32	-0.5134159448254147	0.047150219490566525	0.09183629757856428	22.190465477188408	27.269690217106728	0.9992182865277943	0.0007817134722056807	0.023575109745283193	2
torus	DMRG	8.0	9	ZZ up-up nb	chi128	-0.5134159448254147	0.012204766527983968	0.023771693596571403	26.8237350193525	27.269690217106728	0.9999489909201171	5.1009079882868846e-5	0.006102383263991887	2
torus	DMRG	8.0	9	ZZ up-up nb	exact	-0.5134159448254147	0.0	0.0	27.269690217106728	27.269690217106728	1.0000000000000098	-9.769962616701378e-15	0.0	2
torus	DMRG	8.0	9	ZZ up-up nb	UHF	-0.5134159448254147	0.37610916456121435	0.7325622983702014	1.7951895295260556	27.269690217106728	0.5553617044237867	0.44463829557621326	0.5635731915295411	2
torus	DMRG	8.0	9	ZZ up-up nb	UHFsym	-0.5134159448254147	-0.18370016331905042	0.35779987974763233	6.274297286644309	27.269690217106728	0.9896033812041034	0.010396618795896595	0.09225989815138527	2
torus	DMRG	8.0	9	SzSz nb	chi4	-0.12180387253997028	0.03549820667590668	0.29143742260130395	9.363678756975526	21.873404134967938	0.8591087885986495	0.14089121140135052	0.1589835042418495	4
torus	DMRG	8.0	9	SzSz nb	chi8	-0.12180387253997028	0.027780550592992045	0.22807608669318605	12.330960610879407	21.873404134967938	0.9195871929331664	0.08041280706683362	0.1231381987947137	4
torus	DMRG	8.0	9	SzSz nb	chi32	-0.12180387253997028	0.011590809892527462	0.09515961726688045	20.397300063105305	21.873404134967938	0.9962958620764963	0.0037041379235036587	0.04179552307606224	4
torus	DMRG	8.0	9	SzSz nb	chi128	-0.12180387253997028	0.0028839091820636736	0.02367666250608995	22.2081186116722	21.873404134967938	0.9996611752385056	0.0003388247614943829	0.01171553228465905	4
torus	DMRG	8.0	9	SzSz nb	exact	-0.12180387253997028	0.0	0.0	21.873404134967938	21.873404134967938	1.0000000000000049	-4.884981308350689e-15	0.0	4
torus	DMRG	8.0	9	SzSz nb	UHF	-0.12180387253997028	0.0943049032944853	0.7742356735295004	1.8438980042119135	21.873404134967938	0.45658165403458395	0.543418345965416	0.6404000612714769	4
torus	DMRG	8.0	9	SzSz nb	UHFsym	-0.12180387253997028	-0.04564742867558122	0.3747617191777042	5.247280034622254	21.873404134967938	0.9705759036577384	0.02942409634226162	0.1605523175381725	4
torus	DMRG	8.0	9	SxSx nb	chi4	-0.12180386792787401	0.04069043759774066	0.33406523364131135	5.910262511266686	22.35169392579529	0.8591087885986495	0.14089121140135052	0.1589835042418495	4
torus	DMRG	8.0	9	SxSx nb	chi8	-0.12180386792787401	0.02949632426290863	0.24216245973711473	8.789508720264898	22.35169392579529	0.9195871929331664	0.08041280706683362	0.1231381987947137	4
torus	DMRG	8.0	9	SxSx nb	chi32	-0.12180386792787401	0.010088544592738946	0.0828261430803894	18.100750140278393	22.35169392579529	0.9962958620764963	0.0037041379235036587	0.04179552307606224	4
torus	DMRG	8.0	9	SxSx nb	chi128	-0.12180386792787401	0.0028730691596667024	0.023587667686940667	21.5770720769659	22.35169392579529	0.9996611752385056	0.0003388247614943829	0.01171553228465905	4
torus	DMRG	8.0	9	SxSx nb	exact	-0.12180386792787401	0.0	0.0	22.35169392579529	22.35169392579529	1.0000000000000049	-4.884981308350689e-15	0.0	4
torus	DMRG	8.0	9	SxSx nb	UHF	-0.12180386792787401	-0.11552113592555333	0.9484192734664141	1.1268163744335373	22.35169392579529	0.45658165403458395	0.543418345965416	0.6404000612714769	4
torus	DMRG	8.0	9	SxSx nb	UHFsym	-0.12180386792787401	-0.04554496994052004	0.3739205553594524	6.037999411930907	22.35169392579529	0.9705759036577384	0.02942409634226162	0.1605523175381725	4
torus	ED	8.0	10	n	chi4	0.9999999998770134	-0.00024514547971221656	0.00024514547974236617	0.9997964120499616	0.9999701859629667	0.9747235890705339	0.025276410929466087	0.07288922676009553	2
torus	ED	8.0	10	n	chi8	0.9999999998770134	0.00010530398245955919	0.00010530398247251017	0.9861279117661798	0.9999701859629667	0.9916641810399192	0.008335818960080843	0.04723785769918994	2
torus	ED	8.0	10	n	chi32	0.9999999998770134	-0.0009943511364799429	0.0009943511366022348	0.9987560567930693	0.9999701859629667	0.9984311236671518	0.0015688763328481903	0.022219587496140076	2
torus	ED	8.0	10	n	chi128	0.9999999998770134	-8.818221138173765e-5	8.818221139258289e-5	0.9998676347952667	0.9999701859629667	0.9999083915654291	9.160843457090007e-5	0.005610036514840922	2
torus	ED	8.0	10	n	exact	0.9999999998770134	-2.3731776277347016e-5	2.373177628026571e-5	0.9999701859629667	0.9999701859629667	0.9999999950285217	4.971478340110025e-9	3.528433694405253e-5	2
torus	ED	8.0	10	n	UHF	0.9999999998770134	-0.006397027594785221	0.00639702759557197	0.014284805154274714	0.9999701859629667	0.5778066423715266	0.42219335762847343	0.4667548134731997	2
torus	ED	8.0	10	n	UHFsym	0.9999999998770134	-0.0063970275947796695	0.006397027595566419	0.9892334713404707	0.9999701859629667	0.9989273608497328	0.0010726391502672294	0.017374146974880263	2
torus	ED	8.0	10	Sz	chi4	-1.1552360176109167e-8	7.158877143199557e-5	NaN	0.9999803511560058	0.9999785896393727	0.9747235890705339	0.025276410929466087	0.07288922676009553	2
torus	ED	8.0	10	Sz	chi8	-1.1552360176109167e-8	-0.004751967261718667	NaN	0.9833515666359585	0.9999785896393727	0.9916641810399192	0.008335818960080843	0.04723785769918994	2
torus	ED	8.0	10	Sz	chi32	-1.1552360176109167e-8	3.188930408732499e-5	NaN	0.9991957558257742	0.9999785896393727	0.9984311236671518	0.0015688763328481903	0.022219587496140076	2
torus	ED	8.0	10	Sz	chi128	-1.1552360176109167e-8	-1.6638802239919703e-5	NaN	0.9998808382134494	0.9999785896393727	0.9999083915654291	9.160843457090007e-5	0.005610036514840922	2
torus	ED	8.0	10	Sz	exact	-1.1552360176109167e-8	-5.288609325436455e-7	NaN	0.9999785896393727	0.9999785896393727	0.9999999950285217	4.971478340110025e-9	3.528433694405253e-5	2
torus	ED	8.0	10	Sz	UHF	-1.1552360176109167e-8	-0.45806773998575967	NaN	0.023649118383349613	0.9999785896393727	0.5778066423715266	0.42219335762847343	0.4667548134731997	2
torus	ED	8.0	10	Sz	UHFsym	-1.1552360176109167e-8	-1.1552360194974284e-8	NaN	0.9925334367001587	0.9999785896393727	0.9989273608497328	0.0010726391502672294	0.017374146974880263	2
torus	ED	8.0	10	DoubleOcc	chi4	0.048871260083931445	0.03632204064019234	0.7432188279535439	22.859745649490716	75.41583840628324	0.9747235890705339	0.025276410929466087	0.07288922676009553	2
torus	ED	8.0	10	DoubleOcc	chi8	0.048871260083931445	0.023671580840824852	0.4843660834644187	38.31302930110169	75.41583840628324	0.9916641810399192	0.008335818960080843	0.04723785769918994	2
torus	ED	8.0	10	DoubleOcc	chi32	0.048871260083931445	0.010612618179830474	0.2171545845473265	63.617788259077585	75.41583840628324	0.9984311236671518	0.0015688763328481903	0.022219587496140076	2
torus	ED	8.0	10	DoubleOcc	chi128	0.048871260083931445	0.0027609271517305967	0.056493881004684214	75.02079536169876	75.41583840628324	0.9999083915654291	9.160843457090007e-5	0.005610036514840922	2
torus	ED	8.0	10	DoubleOcc	exact	0.048871260083931445	5.776280334740536e-6	0.00011819380807493726	75.41583840628324	75.41583840628324	0.9999999950285217	4.971478340110025e-9	3.528433694405253e-5	2
torus	ED	8.0	10	DoubleOcc	UHF	0.048871260083931445	0.005488559690047995	0.11230649016665314	1.5371150359011059	75.41583840628324	0.5778066423715266	0.42219335762847343	0.4667548134731997	2
torus	ED	8.0	10	DoubleOcc	UHFsym	0.048871260083931445	0.005488559690047801	0.11230649016664916	68.78979510948018	75.41583840628324	0.9989273608497328	0.0010726391502672294	0.017374146974880263	2
torus	ED	8.0	10	ZZ onsite	chi4	-0.804514959418302	0.14577845352019125	0.18120042618672397	27.930933280209896	202.05521136504126	0.9747235890705339	0.025276410929466087	0.07288922676009553	2
torus	ED	8.0	10	ZZ onsite	chi8	-0.804514959418302	0.09447571539838018	0.11743189395345748	56.957159857511286	202.05521136504126	0.9916641810399192	0.008335818960080843	0.04723785769918994	2
torus	ED	8.0	10	ZZ onsite	chi32	-0.804514959418302	0.04443917499228034	0.05523722644562349	133.4983018689016	202.05521136504126	0.9984311236671518	0.0015688763328481903	0.022219587496140076	2
torus	ED	8.0	10	ZZ onsite	chi128	-0.804514959418302	0.011220073029681976	0.013946382100582144	199.07299332159582	202.05521136504126	0.9999083915654291	9.160843457090007e-5	0.005610036514840922	2
torus	ED	8.0	10	ZZ onsite	exact	-0.804514959418302	7.056867388821608e-5	8.771580075930494e-5	202.05521136504126	202.05521136504126	0.9999999950285217	4.971478340110025e-9	3.528433694405253e-5	2
torus	ED	8.0	10	ZZ onsite	UHF	-0.804514959418302	0.03474829394976142	0.0431916069962029	155.68146380884514	202.05521136504126	0.5778066423715266	0.42219335762847343	0.4667548134731997	2
torus	ED	8.0	10	ZZ onsite	UHFsym	-0.804514959418302	0.03474829394975554	0.043191606996195585	155.68146380885855	202.05521136504126	0.9989273608497328	0.0010726391502672294	0.017374146974880263	2
torus	ED	8.0	10	ZZ up-up nb	chi4	-0.5132034566319507	0.08791638045770023	0.1713090185219668	19.13784277796277	42.72264836362438	0.9971941662702181	0.002805833729781937	0.043958190228850114	2
torus	ED	8.0	10	ZZ up-up nb	chi8	-0.5132034566319507	0.07796143445518688	0.151911358833847	21.689325272554917	42.72264836362438	0.9977333653717864	0.0022666346282136374	0.03898071722759352	2
torus	ED	8.0	10	ZZ up-up nb	chi32	-0.5132034566319507	0.05265645398999941	0.10260346712310348	29.592633537464852	42.72264836362438	0.9990215746958817	0.000978425304118291	0.026328226994999746	2
torus	ED	8.0	10	ZZ up-up nb	chi128	-0.5132034566319507	0.012247852770376544	0.023865491574738596	41.69308250104988	42.72264836362438	0.9999486299868878	5.137001311217304e-5	0.006123926385188265	2
torus	ED	8.0	10	ZZ up-up nb	exact	-0.5132034566319507	0.00032239786953747185	0.0006282067382267904	42.72264836362438	42.72264836362438	0.9999999641538003	3.584619967522684e-8	0.00016119893476877062	2
torus	ED	8.0	10	ZZ up-up nb	UHF	-0.5132034566319507	0.37632165275467844	0.7332796533063134	1.8191652458139749	42.72264836362438	0.5577307217349934	0.4422692782650066	0.5634104040410871	2
torus	ED	8.0	10	ZZ up-up nb	UHFsym	-0.5132034566319507	-0.18348767512558628	0.35753398141504805	6.75536151503338	42.72264836362438	0.9896281678429303	0.010371832157069716	0.09215365405465298	2
torus	ED	8.0	10	SzSz nb	chi4	-0.12175392508748356	0.027575678289639416	0.22648697583938693	12.608259419921406	30.36584976598436	0.9405293097524937	0.059470690247506286	0.19091083938388498	4
torus	ED	8.0	10	SzSz nb	chi8	-0.12175392508748356	0.02340161191372439	0.19220416834126444	14.800973522900941	30.36584976598436	0.9795568649523521	0.020443135047647942	0.1106446482023606	4
torus	ED	8.0	10	SzSz nb	chi32	-0.12175392508748356	0.012653097393376112	0.10392352759292574	23.2788138650493	30.36584976598436	0.994981220203298	0.005018779796701955	0.0474322282287832	4
torus	ED	8.0	10	SzSz nb	chi128	-0.12175392508748356	0.0028683921019725805	0.023558929208331983	29.95088802521302	30.36584976598436	0.9996913942719461	0.0003086057280539123	0.01146206791373681	4
torus	ED	8.0	10	SzSz nb	exact	-0.12175392508748356	7.589969092880455e-5	0.0006233859883717796	30.36584976598436	30.36584976598436	0.999999917015312	8.298468801015702e-8	0.0002643522016461165	4
torus	ED	8.0	10	SzSz nb	UHF	-0.12175392508748356	0.0943548507469722	0.774963523181496	1.6372336241736998	30.36584976598436	0.456534230979279	0.543465769020721	0.6403906006930199	4
