geometry	U	site	x	y	observable	prior	true	Delta	relerr	G	G_max	prior_fid	S_center
torus	8.0	6	2	2	DoubleOcc	chi32	0.05109780552878462	0.006150177685169678	0.1203608965497576	107.44863742627713	110.04931939658908	0.8676193558453152	1.5690815497844373
torus	8.0	6	2	2	DoubleOcc	exact	0.05109780552878462	0.0	0.0	110.04931939658908	110.04931939658908	1.0000000000000027	1.5690815497844373
torus	8.0	6	2	2	DoubleOcc	UHF	0.05109780552878462	0.0012816064836697894	0.02508143882906732	25.240483445300185	110.04931939658908	1.0000000000000027	1.5690815497844373
torus	8.0	6	2	2	DoubleOcc	UHFsym	0.05109780552878462	0.0012816064836699836	0.025081438829071122	3.243350152235729	110.04931939658908	1.0000000000000027	1.5690815497844373
torus	8.0	6	2	2	ZZ onsite	chi4	-0.7953599892647311	0.10802820346054909	0.1358230297206873	41.10953563985145	165.74334175429684	0.3829123702363809	1.5690815497844373
torus	8.0	6	2	2	ZZ onsite	chi8	-0.7953599892647311	0.06993303133932027	0.08792626267757034	73.04572974233285	165.74334175429684	0.5879253494917182	1.5690815497844373
torus	8.0	6	2	2	ZZ onsite	chi32	-0.7953599892647311	0.023820093513401197	0.02994882045226041	144.59234101509335	165.74334175429684	0.8676193558453152	1.5690815497844373
torus	8.0	6	2	2	ZZ onsite	exact	-0.7953599892647311	0.0	0.0	165.74334175429684	165.74334175429684	1.0000000000000027	1.5690815497844373
torus	8.0	6	2	2	ZZ onsite	UHF	-0.7953599892647311	0.005375214554809271	0.006758215936633143	164.55897551676304	165.74334175429684	1.0000000000000027	1.5690815497844373
torus	8.0	6	2	2	ZZ onsite	UHFsym	-0.7953599892647311	0.005375214554810159	0.00675821593663426	164.55897551676256	165.74334175429684	1.0000000000000027	1.5690815497844373
torus	8.0	6	2	2	ZZ up-up nb	chi4	-0.590744005808297	0.1904227174679909	0.32234388431490096	9.570513819302796	38.87956619963681	0.3829123702363809	1.5690815497844373
torus	8.0	6	2	2	ZZ up-up nb	chi8	-0.590744005808297	0.13974750253844903	0.23656186294643275	15.426182322274936	38.87956619963681	0.5879253494917182	1.5690815497844373
torus	8.0	6	2	2	ZZ up-up nb	chi32	-0.590744005808297	0.035714576728869574	0.060456943071309555	38.60647114056205	38.87956619963681	0.8676193558453152	1.5690815497844373
torus	8.0	6	2	2	ZZ up-up nb	exact	-0.590744005808297	0.0	0.0	38.87956619963681	38.87956619963681	1.0000000000000027	1.5690815497844373
torus	8.0	6	2	2	ZZ up-up nb	UHF	-0.590744005808297	0.2562571867710385	0.4337871975872351	5.67308480299438	38.87956619963681	1.0000000000000027	1.5690815497844373
torus	8.0	6	2	2	ZZ up-up nb	UHFsym	-0.590744005808297	-0.27763144643969534	0.4699691299614978	3.9363954367595566	38.87956619963681	1.0000000000000027	1.5690815497844373
torus	8.0	6	2	2	SzSz nb	chi4	-0.14170808413567285	0.05124611236418242	0.36163153765538764	5.72335287993007	44.480697670932166	0.3829123702363809	1.5690815497844373
