L	rho	site	prior	observable	true	Delta	G	G_max
4	DMRG	1	chi8	SzSz r=1	-0.18413237307250122	4.513375055523183e-5	116.85589275852702	116.87901021119542
4	DMRG	1	chi16	SzSz r=1	-0.18413237307250122	-2.7755575615628914e-17	116.87901021119545	116.87901021119542
4	DMRG	1	chi32	SzSz r=1	-0.18413237307250122	-2.7755575615628914e-17	116.87901021119545	116.87901021119542
4	DMRG	1	exact	SzSz r=1	-0.18413237307250122	0.0	116.87901021119542	116.87901021119542
4	DMRG	1	UHF	SzSz r=1	-0.18413237307250122	0.01052178859572378	81.14945898419855	116.87901021119542
4	DMRG	1	UHFsym	SzSz r=1	-0.18413237307250122	-0.10102678904226912	3.293866873492729	116.87901021119542
4	DMRG	1	chi2	hop up r=1	0.6566802317489997	0.6566802317489997	1.0	61.174974437812594
4	DMRG	1	chi4	hop up r=1	0.6566802317489997	-0.029691989182177303	50.65091244268152	61.174974437812594
4	DMRG	1	chi8	hop up r=1	0.6566802317489997	-0.00021210359839662907	61.1391648590937	61.174974437812594
4	DMRG	1	chi16	hop up r=1	0.6566802317489997	1.1102230246251565e-16	61.174974437812615	61.174974437812594
4	DMRG	1	chi32	hop up r=1	0.6566802317489997	1.1102230246251565e-16	61.174974437812615	61.174974437812594
4	DMRG	1	exact	hop up r=1	0.6566802317489997	0.0	61.174974437812594	61.174974437812594
4	DMRG	1	UHF	hop up r=1	0.6566802317489997	0.1889049192509431	10.900515519805404	61.174974437812594
4	DMRG	1	UHFsym	hop up r=1	0.6566802317489997	0.18890491925094388	10.900515519805323	61.174974437812594
4	ED	2	chi2	n	0.9999999999999998	-1.1102230246251565e-15	1.0000000000000009	1.0000000000000004
4	ED	2	chi4	n	0.9999999999999998	-1.1102230246251565e-16	1.0000000000000004	1.0000000000000004
4	ED	2	chi8	n	0.9999999999999998	3.3306690738754696e-16	1.000000000000001	1.0000000000000004
4	ED	2	chi16	n	0.9999999999999998	-6.661338147750939e-16	0.9999999999999998	1.0000000000000004
