geometry	rho	U	site	observable	prior	true	Delta	relerr	G	G_max
cylinder	DMRG	4.0	7	SzSz nb	UHF	-0.06393343686345287	0.08539569917409426	1.3356969899253162	0.6405779065830193	7.0897520217856185
cylinder	DMRG	4.0	7	SzSz nb	UHFsym	-0.06393343686345287	-0.005122340299415218	0.08011989579655102	6.683756442676115	7.0897520217856185
cylinder	DMRG	4.0	7	SxSx nb	chi4	-0.06393343686412228	0.07923449250531375	1.2393279071436563	0.7382404128688858	6.977917241256683
cylinder	DMRG	4.0	7	SxSx nb	chi8	-0.06393343686412228	0.04655543986467546	0.728186097106272	1.8112748456854388	6.977917241256683
cylinder	DMRG	4.0	7	SxSx nb	chi32	-0.06393343686412228	0.0007629343793736088	0.011933260853707474	6.995091587222537	6.977917241256683
cylinder	DMRG	4.0	7	SxSx nb	chi128	-0.06393343686412228	1.6492170731657874e-5	0.0002579584571170275	6.978404662554474	6.977917241256683
cylinder	DMRG	4.0	7	SxSx nb	exact	-0.06393343686412228	0.0	0.0	6.977917241256683	6.977917241256683
cylinder	DMRG	4.0	7	SxSx nb	UHF	-0.06393343686412228	-0.05031509500062173	0.7869918694900822	1.466206084614726	6.977917241256683
cylinder	DMRG	4.0	7	SxSx nb	UHFsym	-0.06393343686412228	-0.005056075263866991	0.07908342663656055	6.521076610143199	6.977917241256683
cylinder	ED	4.0	9	n	chi4	0.9999999999999991	-6.017408793468348e-13	6.017408793468353e-13	1.0000000000210716	1.0000000000125286
cylinder	ED	4.0	9	n	chi8	0.9999999999999991	2.3562263251619697e-12	2.3562263251619717e-12	1.0000000000166507	1.0000000000125286
cylinder	ED	4.0	9	n	chi32	0.9999999999999991	-2.134292742539401e-12	2.134292742539403e-12	1.0000000000198015	1.0000000000125286
cylinder	ED	4.0	9	n	chi128	0.9999999999999991	2.540190280342358e-13	2.54019028034236e-13	1.0000000000124423	1.0000000000125286
cylinder	ED	4.0	9	n	exact	0.9999999999999991	6.432632204678157e-13	6.432632204678163e-13	1.0000000000125286	1.0000000000125286
cylinder	ED	4.0	9	n	UHF	0.9999999999999991	3.3306690738754696e-16	3.3306690738754726e-16	0.019011183169862077	1.0000000000125286
cylinder	ED	4.0	9	n	UHFsym	0.9999999999999991	5.551115123125783e-15	5.5511151231257874e-15	1.0000000000000298	1.0000000000125286
cylinder	ED	4.0	9	Sz	chi4	7.494005416219807e-16	-9.596101691045078e-12	NaN	0.9999999999703126	0.9999999999815713
cylinder	ED	4.0	9	Sz	chi8	7.494005416219807e-16	-8.884643021289662e-12	NaN	0.9999999999742919	0.9999999999815713
cylinder	ED	4.0	9	Sz	chi32	7.494005416219807e-16	-8.294906428396587e-12	NaN	0.9999999999733534	0.9999999999815713
cylinder	ED	4.0	9	Sz	chi128	7.494005416219807e-16	-5.9420107723084925e-12	NaN	0.999999999982	0.9999999999815713
cylinder	ED	4.0	9	Sz	exact	7.494005416219807e-16	-6.158878962381209e-12	NaN	0.9999999999815713	0.9999999999815713
cylinder	ED	4.0	9	Sz	UHF	7.494005416219807e-16	-0.3723459500423999	NaN	0.03296513617119218	0.9999999999815713
cylinder	ED	4.0	9	Sz	UHFsym	7.494005416219807e-16	7.509184246634604e-16	NaN	1.0000000000000004	0.9999999999815713
