L	n_u	n_m	n_repeat	observable	absA	prior	true	Delta	G	G_theory	CI_relwidth
16	200	100	300	ZZZZ |A|=4	4	chi8	0.5437227893572482	-0.003358510723449948	35.54359082004	42.386531746891016	0.1257664742845905
16	200	100	300	ZZZZ |A|=4	4	chi32	0.5437227893572482	-1.5389805756993447e-5	35.69268186305875	42.386531746891016	0.1257664742845905
16	200	100	300	ZZZZ |A|=4	4	exact	0.5437227893572482	0.0	35.69315168962344	42.386531746891016	0.1257664742845905
16	200	100	300	SxSx |A|=4	4	chi2	-0.08155407393587649	-0.08155407393587649	1.0	NaN	0.10505162485245959
16	200	100	300	SxSx |A|=4	4	chi4	-0.08155407393587649	-0.00868633917037781	7.623990683076167	NaN	0.10505162485245959
16	200	100	300	SxSx |A|=4	4	chi8	-0.08155407393587649	0.0014228968707603318	14.214696802631572	NaN	0.10505162485245959
16	200	100	300	SxSx |A|=4	4	chi32	-0.08155407393587649	-2.62097423203711e-5	14.34487125082107	NaN	0.10505162485245959
16	200	100	300	SxSx |A|=4	4	exact	-0.08155407393587649	0.0	14.34426237740296	NaN	0.10505162485245959
16	400	100	300	Sz  |A|=1	1	chi2	6.825333007109968e-11	-8.293536743822494e-8	1.0000000322860583	NaN	9.578122728679204e-10
16	400	100	300	Sz  |A|=1	1	chi4	6.825333007109968e-11	-8.397395851594824e-9	0.9999999905890926	NaN	9.578122728679204e-10
16	400	100	300	Sz  |A|=1	1	chi8	6.825333007109968e-11	3.612213861359237e-10	1.000000001117661	NaN	9.578122728679204e-10
16	400	100	300	Sz  |A|=1	1	chi32	6.825333007109968e-11	6.841992250539164e-13	1.0000000000546216	NaN	9.578122728679204e-10
16	400	100	300	Sz  |A|=1	1	exact	6.825333007109968e-11	0.0	1.000000000038288	NaN	9.578122728679204e-10
16	400	100	300	ZZ onsite |A|=2	2	chi2	-0.5985704920183841	0.40142950798161536	2.160044303273514	50.58961184532023	0.11251399246153543
16	400	100	300	ZZ onsite |A|=2	2	chi4	-0.5985704920183841	0.14172611448061567	13.351515986857471	50.58961184532023	0.11251399246153543
16	400	100	300	ZZ onsite |A|=2	2	chi8	-0.5985704920183841	-0.002375888552378913	51.975058715084955	50.58961184532023	0.11251399246153543
16	400	100	300	ZZ onsite |A|=2	2	chi32	-0.5985704920183841	-8.800334999614634e-6	51.99208559737387	50.58961184532023	0.11251399246153543
16	400	100	300	ZZ onsite |A|=2	2	exact	-0.5985704920183841	0.0	51.99199383833729	50.58961184532023	0.11251399246153543
16	400	100	300	ZZ up-up |A|=2	2	chi2	-0.3978048604828066	-0.05588934129602918	11.599546043312436	17.675482778502886	0.09711016221679687
16	400	100	300	ZZ up-up |A|=2	2	chi4	-0.3978048604828066	-0.33694326491432003	1.352155736332	17.675482778502886	0.09711016221679687
16	400	100	300	ZZ up-up |A|=2	2	chi8	-0.3978048604828066	-0.004365509915066401	15.529647461632218	17.675482778502886	0.09711016221679687
16	400	100	300	ZZ up-up |A|=2	2	chi32	-0.3978048604828066	-0.00014386712555558567	15.637053891882159	17.675482778502886	0.09711016221679687
16	400	100	300	ZZ up-up |A|=2	2	exact	-0.3978048604828066	0.0	15.639862066067383	17.675482778502886	0.09711016221679687
16	400	100	300	DoubleOcc |A|=2	2	chi2	0.10035737699017858	0.10035737699017855	2.093395091619948	NaN	0.09039619640770978
16	400	100	300	DoubleOcc |A|=2	2	chi4	0.10035737699017858	0.0354315229591369	10.945422817749952	NaN	0.09039619640770978
16	400	100	300	DoubleOcc |A|=2	2	chi8	0.10035737699017858	-0.0005939715950023794	28.58689443550488	NaN	0.09039619640770978
16	400	100	300	DoubleOcc |A|=2	2	chi32	0.10035737699017858	-2.2000763591489836e-6	28.574418367017806	NaN	0.09039619640770978
16	400	100	300	DoubleOcc |A|=2	2	exact	0.10035737699017858	0.0	28.574325654659873	NaN	0.09039619640770978
16	400	100	300	SzSz |A|=2	2	chi2	-0.08155407383732062	0.003924805959373737	10.24527839453288	NaN	0.10694422913185053
16	400	100	300	SzSz |A|=2	2	chi4	-0.08155407383732062	-0.06633867494519897	1.4376340463413346	NaN	0.10694422913185053
16	400	100	300	SzSz |A|=2	2	chi8	-0.08155407383732062	-0.0007873035619198054	11.465171188789629	NaN	0.10694422913185053
16	400	100	300	SzSz |A|=2	2	chi32	-0.08155407383732062	-4.321406686590146e-5	11.546559986498927	NaN	0.10694422913185053
16	400	100	300	SzSz |A|=2	2	exact	-0.08155407383732062	0.0	11.54909440718069	NaN	0.10694422913185053
16	400	100	300	hop |A|=3	3	chi2	0.4227169615035098	0.4227169615035098	1.0	NaN	0.11110310300175856
16	400	100	300	hop |A|=3	3	chi4	0.4227169615035098	0.4227169615035098	1.0	NaN	0.11110310300175856
16	400	100	300	hop |A|=3	3	chi8	0.4227169615035098	0.005699855880129889	20.758694300182235	NaN	0.11110310300175856
16	400	100	300	hop |A|=3	3	chi32	0.4227169615035098	0.00010409997357258005	20.783601089197408	NaN	0.11110310300175856
16	400	100	300	hop |A|=3	3	exact	0.4227169615035098	0.0	20.782687032429795	NaN	0.11110310300175856
16	400	100	300	ZZZZ |A|=4	4	chi2	0.5437227893572482	-0.4562772106427513	1.5223381847201232	42.386531746891016	0.11993645999482298
16	400	100	300	ZZZZ |A|=4	4	chi4	0.5437227893572482	-0.009609589043273581	47.661438874820085	42.386531746891016	0.11993645999482298
16	400	100	300	ZZZZ |A|=4	4	chi8	0.5437227893572482	-0.003358510723449948	47.344101442578	42.386531746891016	0.11993645999482298
16	400	100	300	ZZZZ |A|=4	4	chi32	0.5437227893572482	-1.5389805756993447e-5	46.94928171035823	42.386531746891016	0.11993645999482298
16	400	100	300	ZZZZ |A|=4	4	exact	0.5437227893572482	0.0	46.94711566904881	42.386531746891016	0.11993645999482298
16	400	100	300	SxSx |A|=4	4	chi2	-0.08155407393587649	-0.08155407393587649	1.0	NaN	0.12644263295775776
16	400	100	300	SxSx |A|=4	4	chi4	-0.08155407393587649	-0.00868633917037781	7.634722306795738	NaN	0.12644263295775776
16	400	100	300	SxSx |A|=4	4	chi8	-0.08155407393587649	0.0014228968707603318	14.10147909714277	NaN	0.12644263295775776
16	400	100	300	SxSx |A|=4	4	chi32	-0.08155407393587649	-2.62097423203711e-5	14.301944714407233	NaN	0.12644263295775776
16	400	100	300	SxSx |A|=4	4	exact	-0.08155407393587649	0.0	14.301497474469896	NaN	0.12644263295775776
16	800	100	300	Sz  |A|=1	1	chi2	6.825333007109968e-11	-8.293536743822494e-8	0.9999999703010188	NaN	1.0004032043138804e-9
16	800	100	300	Sz  |A|=1	1	chi4	6.825333007109968e-11	-8.397395851594824e-9	0.9999999938586133	NaN	1.0004032043138804e-9
16	800	100	300	Sz  |A|=1	1	chi8	6.825333007109968e-11	3.612213861359237e-10	1.0000000004065681	NaN	1.0004032043138804e-9
16	800	100	300	Sz  |A|=1	1	chi32	6.825333007109968e-11	6.841992250539164e-13	0.9999999999827679	NaN	1.0004032043138804e-9
16	800	100	300	Sz  |A|=1	1	exact	6.825333007109968e-11	0.0	0.9999999999784558	NaN	1.0004032043138804e-9
16	800	100	300	ZZ onsite |A|=2	2	chi2	-0.5985704920183841	0.40142950798161536	2.1020730588974974	50.58961184532023	0.11338965605690074
