L	bc	seed	rho	site	prior	observable	true	Delta	G	G_lo	G_hi	G_max
12	OBC	1	DMRG	2	exact	ZZ onsite	-0.6032059582793358	0.0	54.54415170885628	50.09381905188038	59.041507307612385	54.54415170885628
12	OBC	1	DMRG	2	UHF	ZZ onsite	-0.6032059582793358	-0.02197114975746628	51.19562426844615	47.31861439147284	55.25708752523597	54.54415170885628
12	OBC	1	DMRG	2	UHFsym	ZZ onsite	-0.6032059582793358	-0.021971149757465835	51.19562426844631	47.31861439147304	55.25708752523614	54.54415170885628
12	OBC	1	DMRG	2	chi2	ZZ up-up r=1	-0.3216286103212462	-0.3216286103212462	1.0	1.0	1.0	10.248574418381626
12	OBC	1	DMRG	2	chi4	ZZ up-up r=1	-0.3216286103212462	-0.2839071239175322	1.2425152950666793	1.2380536200648795	1.2468676648900734	10.248574418381626
12	OBC	1	DMRG	2	chi8	ZZ up-up r=1	-0.3216286103212462	-0.005471956446573278	10.152752166972789	9.268966397460352	10.950341410690195	10.248574418381626
12	OBC	1	DMRG	2	chi16	ZZ up-up r=1	-0.3216286103212462	1.0609066050437654e-5	10.248710988681765	9.341966513810407	11.055592586873388	10.248574418381626
12	OBC	1	DMRG	2	chi32	ZZ up-up r=1	-0.3216286103212462	1.007520174178822e-6	10.248587396489182	9.341881144483796	11.055488909742312	10.248574418381626
12	OBC	1	DMRG	2	exact	ZZ up-up r=1	-0.3216286103212462	0.0	10.248574418381626	9.341872178748336	11.055478019612671	10.248574418381626
12	OBC	1	DMRG	2	UHF	ZZ up-up r=1	-0.3216286103212462	0.45533796899310736	0.5645320432744481	0.5364464161819772	0.5944135562427018	10.248574418381626
12	OBC	1	DMRG	2	UHFsym	ZZ up-up r=1	-0.3216286103212462	0.06336682223113965	8.110273804722839	7.39083206369024	8.817999412269325	10.248574418381626
12	OBC	1	DMRG	2	chi2	SzSz r=1	-0.0651473622916342	-0.0651473622916342	1.0	1.0	1.0	8.711115710779817
12	OBC	1	DMRG	2	chi4	SzSz r=1	-0.0651473622916342	-0.0651473622916342	1.0075205566562282	1.0010595761198833	1.0138357940169096	8.711115710779817
12	OBC	1	DMRG	2	chi8	SzSz r=1	-0.0651473622916342	-0.0004201254330205295	8.67149824488511	7.921293710240542	9.427807704642781	8.711115710779817
12	OBC	1	DMRG	2	chi16	SzSz r=1	-0.0651473622916342	-6.237833470174037e-6	8.710739183506005	7.950039993618553	9.475468973670157	8.711115710779817
12	OBC	1	DMRG	2	chi32	SzSz r=1	-0.0651473622916342	1.9583694350899794e-7	8.711129561616776	7.9505362532966934	9.47612608072406	8.711115710779817
12	OBC	1	DMRG	2	exact	SzSz r=1	-0.0651473622916342	0.0	8.711115710779817	7.950523648767088	9.476103559007885	8.711115710779817
12	OBC	1	DMRG	2	UHF	SzSz r=1	-0.0651473622916342	0.10545907972797869	0.4673924845755778	0.445447531498951	0.48906961075093486	8.711115710779817
12	OBC	1	DMRG	2	UHFsym	SzSz r=1	-0.0651473622916342	0.007466293037487387	8.131163491739906	7.3208365841764795	8.977396745765729	8.711115710779817
12	OBC	1	DMRG	2	chi2	hop up r=1	0.3748447387455797	0.3748447387455797	1.0	1.0	1.0	16.421878361600502
12	OBC	1	DMRG	2	chi4	hop up r=1	0.3748447387455797	0.12618496811014548	6.314625041943675	6.088711790231875	6.557872686885518	16.421878361600502
12	OBC	1	DMRG	2	chi8	hop up r=1	0.3748447387455797	0.0031348212638029893	16.494143572314716	14.649100345226774	18.53389666548526	16.421878361600502
12	OBC	1	DMRG	2	chi16	hop up r=1	0.3748447387455797	-1.3537931699447725e-5	16.421487553067344	14.587042102029214	18.475319351700826	16.421878361600502
12	OBC	1	DMRG	2	chi32	hop up r=1	0.3748447387455797	2.171024291786061e-6	16.421940971646602	14.587656799895116	18.476107028768222	16.421878361600502
12	OBC	1	DMRG	2	exact	hop up r=1	0.3748447387455797	0.0	16.421878361600502	14.587571888232906	18.475998236719416	16.421878361600502
