L	rho	site	prior	observable	true	Delta	G	G_max
14	DMRG	2	UHF	Sz	5.679227921273622e-12	-0.3811937833822981	0.023978688729286986	1.0000000000107894
14	DMRG	2	UHFsym	Sz	5.679227921273622e-12	5.679246569550989e-12	0.9999999999999998	1.0000000000107894
14	DMRG	2	chi2	DoubleOcc	0.09922776382788615	0.09922776382788615	2.2958345161315177	27.997171130469972
14	DMRG	2	chi4	DoubleOcc	0.09922776382788615	0.009003168450660515	26.23057793345243	27.997171130469972
14	DMRG	2	chi8	DoubleOcc	0.09922776382788615	0.0005350008886967073	28.033258168665352	27.997171130469972
14	DMRG	2	chi16	DoubleOcc	0.09922776382788615	3.362502318068894e-5	27.99998762635847	27.997171130469972
14	DMRG	2	chi32	DoubleOcc	0.09922776382788615	1.6388862862926068e-6	27.99731011066595	27.997171130469972
14	DMRG	2	exact	DoubleOcc	0.09922776382788615	0.0	27.997171130469972	27.997171130469972
14	DMRG	2	UHF	DoubleOcc	0.09922776382788615	-0.005463535678473158	1.3469374783831076	27.997171130469972
14	DMRG	2	UHFsym	DoubleOcc	0.09922776382788615	-0.005463535678473297	26.62823329694495	27.997171130469972
14	DMRG	2	chi2	ZZ onsite	-0.603088944700832	0.39691105529916804	2.3682592876673336	46.368833604543305
14	DMRG	2	chi4	ZZ onsite	-0.603088944700832	0.03601268944686087	42.16742576378006	46.368833604543305
14	DMRG	2	chi8	ZZ onsite	-0.603088944700832	0.0021400059852217934	46.5048808766598	46.368833604543305
14	DMRG	2	chi16	ZZ onsite	-0.603088944700832	0.0001345001259837053	46.3788877760552	46.368833604543305
14	DMRG	2	chi32	ZZ onsite	-0.603088944700832	6.555595442270246e-6	46.36932829460558	46.368833604543305
14	DMRG	2	exact	ZZ onsite	-0.603088944700832	0.0	46.368833604543305	46.368833604543305
14	DMRG	2	UHF	ZZ onsite	-0.603088944700832	-0.021854142726271175	42.38979071953231	46.368833604543305
14	DMRG	2	UHFsym	ZZ onsite	-0.603088944700832	-0.02185414272627173	42.38979071953216	46.368833604543305
14	DMRG	2	chi2	ZZ up-up r=1	-0.3234255278661824	-0.3234255278661821	1.0000000000000018	11.36049769532172
14	DMRG	2	chi4	ZZ up-up r=1	-0.3234255278661824	-0.2856634209031915	1.2530114097579674	11.36049769532172
14	DMRG	2	chi8	ZZ up-up r=1	-0.3234255278661824	-0.005908544439048813	11.352561146809123	11.36049769532172
14	DMRG	2	chi16	ZZ up-up r=1	-0.3234255278661824	-4.7340143076335384e-5	11.360750912114652	11.36049769532172
14	DMRG	2	chi32	ZZ up-up r=1	-0.3234255278661824	-2.107428883013629e-6	11.360509076319937	11.36049769532172
14	DMRG	2	exact	ZZ up-up r=1	-0.3234255278661824	0.0	11.36049769532172	11.36049769532172
14	DMRG	2	UHF	ZZ up-up r=1	-0.3234255278661824	0.45354104909133375	0.5189421642760095	11.36049769532172
14	DMRG	2	UHFsym	ZZ up-up r=1	-0.3234255278661824	0.06156990629155723	8.055261047692936	11.36049769532172
14	DMRG	2	chi2	SzSz r=1	-0.06553632897527055	-0.06553632897527048	1.0000000000000022	8.78384373698834
14	DMRG	2	chi4	SzSz r=1	-0.06553632897527055	-0.06553632897527056	1.0027438052812596	8.78384373698834
14	DMRG	2	chi8	SzSz r=1	-0.06553632897527055	-0.0005235025336809279	8.807125278962744	8.78384373698834
14	DMRG	2	chi16	SzSz r=1	-0.06553632897527055	-1.8503001219208337e-5	8.784821942702006	8.78384373698834
14	DMRG	2	chi32	SzSz r=1	-0.06553632897527055	-4.549238474399475e-7	8.783865141748448	8.78384373698834
14	DMRG	2	exact	SzSz r=1	-0.06553632897527055	0.0	8.78384373698834	8.78384373698834
14	DMRG	2	UHF	SzSz r=1	-0.06553632897527055	0.10507011200691678	0.3890802000468366	8.78384373698834
14	DMRG	2	UHFsym	SzSz r=1	-0.06553632897527055	0.00707732630697383	7.486179515543736	8.78384373698834
