L	doping	site	observable	pure	absA	prior	true	Delta	absDelta	F_window	infid	D_trace	G_theory	G_max
32	0.125	10	DoubleOcc	false	0	chi8	0.07629396235645025	0.0020219932525243622	0.0020219932525243622	0.9968789186974184	0.0031210813025815964	0.044484378883118375	NaN	NaN
32	0.125	10	ZZ onsite	true	2	chi8	-0.43100884198503575	0.0215503012441024	0.0215503012441024	0.9968789186974184	0.0031210813025815964	0.044484378883118375	20.25334827116078	21.280189184418273
32	0.125	10	ZZ up-up r=1	true	2	chi8	-0.45337572518558755	-0.025752937743012905	0.025752937743012905	0.9968789186974184	0.0031210813025815964	0.044484378883118375	22.340589496098566	23.99837693882843
32	0.125	10	SzSz r=1	false	0	chi8	-0.09305187913088293	-0.0004346533236573996	0.0004346533236573996	0.9968789186974184	0.0031210813025815964	0.044484378883118375	NaN	NaN
32	0.125	10	hop up r=1	false	0	chi8	0.5404844889953633	0.03419443174175307	0.03419443174175307	0.9968789186974184	0.0031210813025815964	0.044484378883118375	NaN	NaN
32	0.125	10	n	false	0	chi16	0.8680923457054198	0.00010943148044229023	0.00010943148044229023	0.9992553957792456	0.0007446042207543968	0.013264120512379544	NaN	NaN
32	0.125	10	Sz	false	0	chi16	-1.7049851992051446e-7	0.0010109549385433694	0.0010109549385433694	0.9992553957792456	0.0007446042207543968	0.013264120512379544	NaN	NaN
32	0.125	10	DoubleOcc	false	0	chi16	0.07629396235645025	0.0005174613275732431	0.0005174613275732431	0.9992553957792456	0.0007446042207543968	0.013264120512379544	NaN	NaN
32	0.125	10	ZZ onsite	true	2	chi16	-0.43100884198503575	0.0018509823494121669	0.0018509823494121669	0.9992553957792456	0.0007446042207543968	0.013264120512379544	21.272232772226065	21.280189184418273
32	0.125	10	ZZ up-up r=1	true	2	chi16	-0.45337572518558755	-0.005801873548764103	0.005801873548764103	0.9992553957792456	0.0007446042207543968	0.013264120512379544	23.908330523071246	23.99837693882843
32	0.125	10	SzSz r=1	false	0	chi16	-0.09305187913088293	-0.001839517055754622	0.001839517055754622	0.9992553957792456	0.0007446042207543968	0.013264120512379544	NaN	NaN
32	0.125	10	hop up r=1	false	0	chi16	0.5404844889953633	0.010607440925052503	0.010607440925052503	0.9992553957792456	0.0007446042207543968	0.013264120512379544	NaN	NaN
32	0.125	10	n	false	0	chi32	0.8680923457054198	5.082133669231936e-5	5.082133669231936e-5	0.9999843414256259	1.5658574374133316e-5	0.0019869575725852432	NaN	NaN
32	0.125	10	Sz	false	0	chi32	-1.7049851992051446e-7	-3.10613170369442e-5	3.10613170369442e-5	0.9999843414256259	1.5658574374133316e-5	0.0019869575725852432	NaN	NaN
32	0.125	10	DoubleOcc	false	0	chi32	0.07629396235645025	7.802335275915173e-5	7.802335275915173e-5	0.9999843414256259	1.5658574374133316e-5	0.0019869575725852432	NaN	NaN
32	0.125	10	ZZ onsite	true	2	chi32	-0.43100884198503575	0.0002104507376564091	0.0002104507376564091	0.9999843414256259	1.5658574374133316e-5	0.0019869575725852432	21.280086294237044	21.280189184418273
32	0.125	10	ZZ up-up r=1	true	2	chi32	-0.45337572518558755	-0.0016289218484741852	0.0016289218484741852	0.9999843414256259	1.5658574374133316e-5	0.0019869575725852432	23.991254411663505	23.99837693882843
32	0.125	10	SzSz r=1	false	0	chi32	-0.09305187913088293	-0.0001246439881359418	0.0001246439881359418	0.9999843414256259	1.5658574374133316e-5	0.0019869575725852432	NaN	NaN
