L	n_u	n_m	n_repeat	observable	nterms	prior	true	Delta	sd_std	sd_crm	G
8	50	100	300	全エネルギー	84	chi2	-27.42078817670401	-11.420788176704013	1.8521428218989238	2.076964697835807	0.7952262653899705
8	50	100	300	全エネルギー	84	chi4	-27.42078817670401	-1.746749302948988	1.8521428218989238	0.8201990243634127	5.0992986613121145
8	50	100	300	全エネルギー	84	chi8	-27.42078817670401	-0.062093583695979504	1.8521428218989238	0.3600201389100658	26.466429462552604
8	50	100	300	全エネルギー	84	chi32	-27.42078817670401	-5.645310469759579e-5	1.8521428218989238	0.35925346655088175	26.579512469998967
8	50	100	300	全エネルギー	84	exact	-27.42078817670401	0.0	1.8521428218989238	0.3592513781777514	26.579821490948476
8	50	100	300	構造因子 S(π)	248	chi2	1.1789191437712991	-0.24023506330364142	0.07939130726717723	0.0345146595073469	5.291011671882335
8	50	100	300	構造因子 S(π)	248	chi4	1.1789191437712991	0.14086020357030038	0.07939130726717723	0.02195512374243507	13.075976394806588
8	50	100	300	構造因子 S(π)	248	chi8	1.1789191437712991	0.011085571348784296	0.07939130726717723	0.013915719096358461	32.54877134167189
8	50	100	300	構造因子 S(π)	248	chi32	1.1789191437712991	7.989320554813162e-5	0.07939130726717723	0.013718084843855347	33.493376945532816
8	50	100	300	構造因子 S(π)	248	exact	1.1789191437712991	0.0	0.07939130726717723	0.01371753216837292	33.496075877226225
8	100	100	300	ZZ onsite	1	chi2	-0.599724290633531	0.40027570936646895	0.1752747641366087	0.11724252712742116	2.234953238070787
8	100	100	300	ZZ onsite	1	chi4	-0.599724290633531	0.03399666828282255	0.1752747641366087	0.0246201196884217	50.68255063799996
8	100	100	300	ZZ onsite	1	chi8	-0.599724290633531	-0.0024502346616934734	0.1752747641366087	0.022863731101952063	58.768495830095084
8	100	100	300	ZZ onsite	1	chi32	-0.599724290633531	-7.736944911851396e-6	0.1752747641366087	0.02283446728312608	58.91922346509638
8	100	100	300	ZZ onsite	1	exact	-0.599724290633531	0.0	0.1752747641366087	0.022834409143821805	58.91952349712261
8	100	100	300	DoubleOcc	4	chi2	0.10006892733917228	0.10006892733917228	0.04451543791813666	0.029488738834692028	2.2788141202029433
8	100	100	300	DoubleOcc	4	chi4	0.10006892733917228	0.008499167078370423	0.04451543791813666	0.008189279095086788	29.548126895466943
8	100	100	300	DoubleOcc	4	chi8	0.10006892733917228	-0.000612558647755751	0.04451543791813666	0.00798205947215694	31.102219471165586
8	100	100	300	DoubleOcc	4	chi32	0.10006892733917228	-1.9342364396268685e-6	0.04451543791813666	0.007968998929114382	31.204251044742453
8	100	100	300	DoubleOcc	4	exact	0.10006892733917228	0.0	0.04451543791813666	0.007968963723636726	31.20452675511777
8	100	100	300	SzSz r=1	4	chi2	-0.06980259492960687	0.006095784422398456	0.01148671876039606	0.004716318285584494	5.9317899450918805
8	100	100	300	SzSz r=1	4	chi4	-0.06980259492960687	-0.06980259492960687	0.01148671876039606	0.011391280951772517	1.016826484211936
8	100	100	300	SzSz r=1	4	chi8	-0.06980259492960687	6.105015250831847e-5	0.01148671876039606	0.004309853966239205	7.103409735056808
8	100	100	300	SzSz r=1	4	chi32	-0.06980259492960687	-9.515011272664964e-6	0.01148671876039606	0.0043109259679216215	7.099877352248225
8	100	100	300	SzSz r=1	4	exact	-0.06980259492960687	0.0	0.01148671876039606	0.00431106277852942	7.099426733376199
8	100	100	300	hop r=1	2	chi2	0.39097164277893914	0.39097164277893914	0.1522319757227156	0.1522319757227156	1.0
8	100	100	300	hop r=1	2	chi4	0.39097164277893914	0.13330368337695203	0.1522319757227156	0.06202756867746815	6.023407580445989
8	100	100	300	hop r=1	2	chi8	0.39097164277893914	0.002717423348741199	0.1522319757227156	0.03348229768831218	20.67194119958997
8	100	100	300	hop r=1	2	chi32	0.39097164277893914	1.466707797659339e-5	0.1522319757227156	0.03338955163153575	20.78694147336883
8	100	100	300	hop r=1	2	exact	0.39097164277893914	0.0	0.1522319757227156	0.03338913083534173	20.787465423574016
8	100	100	300	全エネルギー	84	chi2	-27.42078817670401	-11.420788176704013	1.3287306244753783	1.4655845851963702	0.8219627044417009
8	100	100	300	全エネルギー	84	chi4	-27.42078817670401	-1.746749302948988	1.3287306244753783	0.5445973380384715	5.952821512552313
8	100	100	300	全エネルギー	84	chi8	-27.42078817670401	-0.062093583695979504	1.3287306244753783	0.2584157417013961	26.43844803552167
8	100	100	300	全エネルギー	84	chi32	-27.42078817670401	-5.645310469759579e-5	1.3287306244753783	0.2575329829059006	26.620007477133672
8	100	100	300	全エネルギー	84	exact	-27.42078817670401	0.0	1.3287306244753783	0.2575323901211606	26.6201300244557
8	100	100	300	構造因子 S(π)	248	chi2	1.1789191437712991	-0.24023506330364142	0.05493655986770068	0.025701030101520566	4.569007386967805
8	100	100	300	構造因子 S(π)	248	chi4	1.1789191437712991	0.14086020357030038	0.05493655986770068	0.015619665653369136	12.370277837957858
8	100	100	300	構造因子 S(π)	248	chi8	1.1789191437712991	0.011085571348784296	0.05493655986770068	0.011188325819666424	24.109750187065515
8	100	100	300	構造因子 S(π)	248	chi32	1.1789191437712991	7.989320554813162e-5	0.05493655986770068	0.01118989249831128	24.10299952586975
8	100	100	300	構造因子 S(π)	248	exact	1.1789191437712991	0.0	0.05493655986770068	0.011190476585859624	24.100483476730112
8	200	100	300	ZZ onsite	1	chi2	-0.599724290633531	0.40027570936646895	0.11440871238341413	0.07616437090695471	2.256391614579689
8	200	100	300	ZZ onsite	1	chi4	-0.599724290633531	0.03399666828282255	0.11440871238341413	0.01810820130359532	39.917889180253866
8	200	100	300	ZZ onsite	1	chi8	-0.599724290633531	-0.0024502346616934734	0.11440871238341413	0.017268641811480648	43.8936638014904
8	200	100	300	ZZ onsite	1	chi32	-0.599724290633531	-7.736944911851396e-6	0.11440871238341413	0.017241891794249717	44.02996753222658
8	200	100	300	ZZ onsite	1	exact	-0.599724290633531	0.0	0.11440871238341413	0.017241826279036927	44.03030214158011
8	200	100	300	DoubleOcc	4	chi2	0.10006892733917228	0.10006892733917228	0.028847790141884943	0.01932536511613365	2.228279600485358
8	200	100	300	DoubleOcc	4	chi4	0.10006892733917228	0.008499167078370423	0.028847790141884943	0.005707383222228834	25.547654346240932
8	200	100	300	DoubleOcc	4	chi8	0.10006892733917228	-0.000612558647755751	0.028847790141884943	0.005552898743433255	26.988925321727322
8	200	100	300	DoubleOcc	4	chi32	0.10006892733917228	-1.9342364396268685e-6	0.028847790141884943	0.005546995732116603	27.046398126771866
8	200	100	300	DoubleOcc	4	exact	0.10006892733917228	0.0	0.028847790141884943	0.005546980770054566	27.046544033328676
8	200	100	300	SzSz r=1	4	chi2	-0.06980259492960687	0.006095784422398456	0.008968991436858427	0.003363146115237008	7.112065481646521
8	200	100	300	SzSz r=1	4	chi4	-0.06980259492960687	-0.06980259492960687	0.008968991436858427	0.008972271145186077	0.9992690571104774
8	200	100	300	SzSz r=1	4	chi8	-0.06980259492960687	6.105015250831847e-5	0.008968991436858427	0.003059999841701074	8.591013682485666
8	200	100	300	SzSz r=1	4	chi32	-0.06980259492960687	-9.515011272664964e-6	0.008968991436858427	0.0030612323027983507	8.58409754041955
8	200	100	300	SzSz r=1	4	exact	-0.06980259492960687	0.0	0.008968991436858427	0.0030613388677942863	8.583499927128393
8	200	100	300	hop r=1	2	chi2	0.39097164277893914	0.39097164277893914	0.10140656884384897	0.10140656884384897	1.0
8	200	100	300	hop r=1	2	chi4	0.39097164277893914	0.13330368337695203	0.10140656884384897	0.042428722707877606	5.712316485453801
8	200	100	300	hop r=1	2	chi8	0.39097164277893914	0.002717423348741199	0.10140656884384897	0.024226792021966207	17.520252243787223
8	200	100	300	hop r=1	2	chi32	0.39097164277893914	1.466707797659339e-5	0.10140656884384897	0.02416099286038737	17.615810210793036
8	200	100	300	hop r=1	2	exact	0.39097164277893914	0.0	0.10140656884384897	0.02416068550281512	17.61625840892864
8	200	100	300	全エネルギー	84	chi2	-27.42078817670401	-11.420788176704013	0.9370057329329226	1.0290612540657624	0.8290906987411508
8	200	100	300	全エネルギー	84	chi4	-27.42078817670401	-1.746749302948988	0.9370057329329226	0.38585633011485154	5.897028644116707
8	200	100	300	全エネルギー	84	chi8	-27.42078817670401	-0.062093583695979504	0.9370057329329226	0.17518504431202572	28.60819394990725
8	200	100	300	全エネルギー	84	chi32	-27.42078817670401	-5.645310469759579e-5	0.9370057329329226	0.17538351365983362	28.543482770815668
8	200	100	300	全エネルギー	84	exact	-27.42078817670401	0.0	0.9370057329329226	0.17538368245781785	28.543427827505447
8	200	100	300	構造因子 S(π)	248	chi2	1.1789191437712991	-0.24023506330364142	0.038005112190660814	0.018474420610404992	4.231968083446119
8	200	100	300	構造因子 S(π)	248	chi4	1.1789191437712991	0.14086020357030038	0.038005112190660814	0.010471890686129956	13.171457585102818
8	200	100	300	構造因子 S(π)	248	chi8	1.1789191437712991	0.011085571348784296	0.038005112190660814	0.007477865660441018	25.830256581051827
8	200	100	300	構造因子 S(π)	248	chi32	1.1789191437712991	7.989320554813162e-5	0.038005112190660814	0.007515523581055666	25.572050546499284
8	200	100	300	構造因子 S(π)	248	exact	1.1789191437712991	0.0	0.038005112190660814	0.00751602401618114	25.568645361453683
8	400	100	300	ZZ onsite	1	chi2	-0.599724290633531	0.40027570936646895	0.08575320311353259	0.05646424332262545	2.306501158645948
8	400	100	300	ZZ onsite	1	chi4	-0.599724290633531	0.03399666828282255	0.08575320311353259	0.01307107639208723	43.04056824657863
8	400	100	300	ZZ onsite	1	chi8	-0.599724290633531	-0.0024502346616934734	0.08575320311353259	0.012565437983215586	46.574203892078465
8	400	100	300	ZZ onsite	1	chi32	-0.599724290633531	-7.736944911851396e-6	0.08575320311353259	0.01253528463266799	46.79853982478494
8	400	100	300	ZZ onsite	1	exact	-0.599724290633531	0.0	0.08575320311353259	0.012535203802309776	46.79914336581924
8	400	100	300	DoubleOcc	4	chi2	0.10006892733917228	0.10006892733917228	0.021578554671306188	0.01450435906267695	2.2133373861147794
8	400	100	300	DoubleOcc	4	chi4	0.10006892733917228	0.008499167078370423	0.021578554671306188	0.004464401887701108	23.362436742983764
8	400	100	300	DoubleOcc	4	chi8	0.10006892733917228	-0.000612558647755751	0.021578554671306188	0.004351500820517836	24.59045503164094
8	400	100	300	DoubleOcc	4	chi32	0.10006892733917228	-1.9342364396268685e-6	0.021578554671306188	0.004347489251593593	24.635856784972344
8	400	100	300	DoubleOcc	4	exact	0.10006892733917228	0.0	0.021578554671306188	0.004347479205551399	24.63597064090171
8	400	100	300	SzSz r=1	4	chi2	-0.06980259492960687	0.006095784422398456	0.006272606515823512	0.002182133862798825	8.262915510495587
8	400	100	300	SzSz r=1	4	chi4	-0.06980259492960687	-0.06980259492960687	0.006272606515823512	0.006208669652870932	1.020702043228211
8	400	100	300	SzSz r=1	4	chi8	-0.06980259492960687	6.105015250831847e-5	0.006272606515823512	0.00200540550492597	9.783442213726559
8	400	100	300	SzSz r=1	4	chi32	-0.06980259492960687	-9.515011272664964e-6	0.006272606515823512	0.002006994145174285	9.767960136902348
8	400	100	300	SzSz r=1	4	exact	-0.06980259492960687	0.0	0.006272606515823512	0.002007008802240282	9.767817467758656
8	400	100	300	hop r=1	2	chi2	0.39097164277893914	0.39097164277893914	0.0684741243373184	0.0684741243373184	1.0
8	400	100	300	hop r=1	2	chi4	0.39097164277893914	0.13330368337695203	0.0684741243373184	0.027668701638139438	6.124567335220623
8	400	100	300	hop r=1	2	chi8	0.39097164277893914	0.002717423348741199	0.0684741243373184	0.015575868064973486	19.326288330056883
8	400	100	300	hop r=1	2	chi32	0.39097164277893914	1.466707797659339e-5	0.0684741243373184	0.015562637442297807	19.359162901751564
8	400	100	300	hop r=1	2	exact	0.39097164277893914	0.0	0.0684741243373184	0.015562602621505835	19.359249532780407
8	400	100	300	全エネルギー	84	chi2	-27.42078817670401	-11.420788176704013	0.651789423694596	0.7158723431436126	0.8289788483756414
8	400	100	300	全エネルギー	84	chi4	-27.42078817670401	-1.746749302948988	0.651789423694596	0.26894802428470405	5.873242078733032
8	400	100	300	全エネルギー	84	chi8	-27.42078817670401	-0.062093583695979504	0.651789423694596	0.11943099340964672	29.783828927884898
8	400	100	300	全エネルギー	84	chi32	-27.42078817670401	-5.645310469759579e-5	0.651789423694596	0.11926241888083139	29.868085869187105
8	400	100	300	全エネルギー	84	exact	-27.42078817670401	0.0	0.651789423694596	0.11926296134492734	29.867814161572806
8	400	100	300	構造因子 S(π)	248	chi2	1.1789191437712991	-0.24023506330364142	0.025963935510170868	0.012563888849901643	4.270639102907723
8	400	100	300	構造因子 S(π)	248	chi4	1.1789191437712991	0.14086020357030038	0.025963935510170868	0.007249325692401274	12.827612134327374
8	400	100	300	構造因子 S(π)	248	chi8	1.1789191437712991	0.011085571348784296	0.025963935510170868	0.005114619398338048	25.769998933677886
8	400	100	300	構造因子 S(π)	248	chi32	1.1789191437712991	7.989320554813162e-5	0.025963935510170868	0.005085288494603441	26.068128400305476
8	400	100	300	構造因子 S(π)	248	exact	1.1789191437712991	0.0	0.025963935510170868	0.0050851626267120805	26.06941889235134
8	800	100	300	ZZ onsite	1	chi2	-0.599724290633531	0.40027570936646895	0.05856763368595956	0.03960119443936315	2.1872518106004337
8	800	100	300	ZZ onsite	1	chi4	-0.599724290633531	0.03399666828282255	0.05856763368595956	0.00927792856302199	39.84862189192557
8	800	100	300	ZZ onsite	1	chi8	-0.599724290633531	-0.0024502346616934734	0.05856763368595956	0.008685968186610337	45.46517701622642
8	800	100	300	ZZ onsite	1	chi32	-0.599724290633531	-7.736944911851396e-6	0.05856763368595956	0.008682413808872108	45.50240940213419
