L	site	observable	prior	true	prior_val	Delta	relerr	G	G_max
8	2	ZZ onsite	chi8	-0.6038964620108481	-0.6056700566651372	0.0017735946542890568	0.002936918438606777	59.05079273621731	58.890656214143256
8	2	ZZ onsite	chi32	-0.6038964620108481	-0.6038977145035846	1.2524927365253902e-6	2.0740190004671546e-6	58.890789355256835	58.890656214143256
8	2	ZZ onsite	exact	-0.6038964620108481	-0.6038964620108481	0.0	0.0	58.890656214143256	58.890656214143256
8	2	ZZ onsite	UHF	-0.6038964620108481	-0.5812383574251249	-0.02265810458572326	0.037519849860150764	52.54042520029409	58.890656214143256
8	2	ZZ onsite	UHFsym	-0.6038964620108481	-0.581238357425122	-0.022658104585726146	0.037519849860155545	52.5404252002929	58.890656214143256
8	2	SzSz r=1	chi2	-0.06340708048414356	1.3877787807814457e-17	-0.06340708048414358	1.0000000000000002	1.0	8.254454819919392
8	2	SzSz r=1	chi4	-0.06340708048414356	6.071532165918825e-18	-0.06340708048414356	1.0	1.0247056716659997	8.254454819919392
8	2	SzSz r=1	chi8	-0.06340708048414356	-0.06323616404935259	-0.00017091643479097418	0.0026955417831249283	8.231952596372563	8.254454819919392
8	2	SzSz r=1	chi32	-0.06340708048414356	-0.06340748879170323	4.083075596655883e-7	6.439463172692445e-6	8.25446271912682	8.254454819919392
8	2	SzSz r=1	exact	-0.06340708048414356	-0.06340708048414356	0.0	0.0	8.254454819919392	8.254454819919392
8	2	SzSz r=1	UHF	-0.06340708048414356	-0.1706063622376301	0.10719928175348653	1.6906515949791165	0.4123214063265383	8.254454819919392
8	2	SzSz r=1	UHFsym	-0.06340708048414356	-0.07260412315823238	0.009197042674088815	0.14504756572712338	7.157716689431435	8.254454819919392
8	2	SxSx r=1	chi2	-0.06340708050202445	4.235164736271502e-22	-0.06340708050202445	1.0	1.0	5.127803468480109
8	2	SxSx r=1	chi4	-0.06340708050202445	1.6543612251060553e-24	-0.06340708050202445	1.0	1.0	5.127803468480109
8	2	SxSx r=1	chi8	-0.06340708050202445	-0.06343759365992027	3.0513157895817322e-5	0.00048122634971094593	5.087463328876971	5.127803468480109
8	2	SxSx r=1	chi32	-0.06340708050202445	-0.06340740690905353	3.264070290720511e-7	5.147800947271648e-6	5.127812788211213	5.127803468480109
8	2	SxSx r=1	exact	-0.06340708050202445	-0.06340708050202445	0.0	0.0	5.127803468480109	5.127803468480109
8	2	SxSx r=1	UHF	-0.06340708050202445	-0.023634898467441903	-0.03977218203458255	0.6272514318540925	1.98766384147602	5.127803468480109
8	2	SxSx r=1	UHFsym	-0.06340708050202445	-0.07263601800714074	0.009228937505116289	0.14555058255397246	4.958754434661187	5.127803468480109
