W	LX	geometry	bipartite	U	prior	global_fid	observable	nA	true	prior_val	Delta	eps	G	G_max
4	4	torus	true	8.0	chi4	2.3723360898e-01	SzSz nb	4	-0.0860308970	-0.0661657518	-1.986515e-02	2.309071e-01	1.670838	1.736445
4	4	torus	true	8.0	chi8	3.9903722404e-01	SzSz nb	4	-0.0860308970	-0.0731542160	-1.287668e-02	1.496751e-01	1.708261	1.736445
4	4	torus	true	8.0	chi16	5.6568051931e-01	SzSz nb	4	-0.0860308970	-0.0729440253	-1.308687e-02	1.521183e-01	1.707349	1.736445
4	4	torus	true	8.0	chi32	7.1788330601e-01	SzSz nb	4	-0.0860308970	-0.0665982609	-1.943264e-02	2.258797e-01	1.673561	1.736445
4	4	torus	true	8.0	chi64	8.4717605154e-01	SzSz nb	4	-0.0860308970	-0.0792342302	-6.796667e-03	7.900263e-02	1.728500	1.736445
4	4	torus	true	8.0	chi128	9.2983054259e-01	SzSz nb	4	-0.0860308970	-0.0812509559	-4.779941e-03	5.556075e-02	1.732506	1.736445
4	4	torus	true	8.0	UHF	1.1580397265e-01	SzSz nb	4	-0.0860308970	-0.2059938803	1.199630e-01	1.394417e+00	0.714015	1.736445
4	4	torus	true	8.0	chi2	3.9066629281e-02	DoubleOcc	2	0.0524598074	0.0000000000	5.245981e-02	1.000000e+00	1.000000	1.245300
4	4	torus	true	8.0	chi4	2.3723360898e-01	DoubleOcc	2	0.0524598074	0.0000000000	5.245981e-02	1.000000e+00	1.000000	1.245300
4	4	torus	true	8.0	chi8	3.9903722404e-01	DoubleOcc	2	0.0524598074	0.0191867638	3.327304e-02	6.342578e-01	1.133451	1.245300
4	4	torus	true	8.0	chi16	5.6568051931e-01	DoubleOcc	2	0.0524598074	0.0295851814	2.287463e-02	4.360410e-01	1.189808	1.245300
4	4	torus	true	8.0	chi32	7.1788330601e-01	DoubleOcc	2	0.0524598074	0.0409119213	1.154789e-02	2.201283e-01	1.230672	1.245300
4	4	torus	true	8.0	chi64	8.4717605154e-01	DoubleOcc	2	0.0524598074	0.0441164718	8.343336e-03	1.590424e-01	1.237621	1.245300
4	4	torus	true	8.0	chi128	9.2983054259e-01	DoubleOcc	2	0.0524598074	0.0482772029	4.182605e-03	7.972970e-02	1.243361	1.245300
4	4	torus	true	8.0	UHF	1.1580397265e-01	DoubleOcc	2	0.0524598074	0.0498024759	2.657331e-03	5.065462e-02	1.244517	1.245300
4	4	torus	true	8.0	chi2	3.9066629281e-02	Sz	2	0.0047619855	0.0764297546	-7.166777e-02	1.504998e+01	0.687929	1.002016
4	4	torus	true	8.0	chi4	2.3723360898e-01	Sz	2	0.0047619855	0.0219582401	-1.719625e-02	3.611152e+00	0.976351	1.002016
4	4	torus	true	8.0	chi8	3.9903722404e-01	Sz	2	0.0047619855	0.0069123855	-2.150400e-03	4.515763e-01	1.001604	1.002016
4	4	torus	true	8.0	chi16	5.6568051931e-01	Sz	2	0.0047619855	0.0059637295	-1.201744e-03	2.523620e-01	1.001887	1.002016
4	4	torus	true	8.0	chi32	7.1788330601e-01	Sz	2	0.0047619855	0.0068600202	-2.098035e-03	4.405798e-01	1.001624	1.002016
4	4	torus	true	8.0	chi64	8.4717605154e-01	Sz	2	0.0047619855	0.0058969139	-1.134928e-03	2.383309e-01	1.001901	1.002016
4	4	torus	true	8.0	chi128	9.2983054259e-01	Sz	2	0.0047619855	0.0050158429	-2.538574e-04	5.330916e-02	1.002010	1.002016
4	4	torus	true	8.0	UHF	1.1580397265e-01	Sz	2	0.0047619855	-0.4474457829	4.522078e-01	9.496202e+01	0.052250	1.002016
