U	prior	observable	pure	true	Delta	prior_fid	G_emp	G_theo
4.0	chi=8	DoubleOcc	false	0.12802566984810784	0.030300441702657138	0.055028511981752154	5.322528202308488	NaN
4.0	chi=16	DoubleOcc	false	0.12802566984810784	0.029186765317909424	0.2114841122386346	10.499734262089769	NaN
4.0	chi=32	DoubleOcc	false	0.12802566984810784	0.009047133167525867	0.5737642017221771	25.892013519625134	NaN
4.0	chi=64	DoubleOcc	false	0.12802566984810784	0.002283162109844472	0.8696158111952457	34.21760495293798	NaN
4.0	UHF	SzSz y-bond	false	-0.08467320204244339	0.04485029803200466	NaN	3.8956739313230977	NaN
4.0	chi=8	SzSz y-bond	false	-0.08467320204244339	0.05560675617670252	0.055028511981752154	2.613578310303263	NaN
4.0	chi=16	SzSz y-bond	false	-0.08467320204244339	0.027971760032925938	0.2114841122386346	7.551968688645383	NaN
4.0	chi=32	SzSz y-bond	false	-0.08467320204244339	0.009251222289417355	0.5737642017221771	15.94703477601348	NaN
4.0	chi=64	SzSz y-bond	false	-0.08467320204244339	0.002501345448215786	0.8696158111952457	16.832152652997976	NaN
4.0	UHF	SzSz x-bond	false	-0.0629147652344446	0.06743951230939783	NaN	0.8149203093551736	NaN
4.0	chi=8	SzSz x-bond	false	-0.0629147652344446	0.04727125657503055	0.055028511981752154	1.4373038205476707	NaN
4.0	chi=16	SzSz x-bond	false	-0.0629147652344446	0.02058905902100165	0.2114841122386346	3.8720029987579614	NaN
4.0	chi=32	SzSz x-bond	false	-0.0629147652344446	0.007318750150986153	0.5737642017221771	6.176357390621081	NaN
4.0	chi=64	SzSz x-bond	false	-0.0629147652344446	0.0002908196945859004	0.8696158111952457	6.934783990738072	NaN
4.0	UHF	hop y-bond	false	0.37919101706318636	0.05135484964723369	NaN	11.787129558492758	NaN
4.0	chi=8	hop y-bond	false	0.37919101706318636	0.032219505125473835	0.055028511981752154	13.600829732034578	NaN
4.0	chi=16	hop y-bond	false	0.37919101706318636	-0.0034466266537866996	0.2114841122386346	15.424305560864196	NaN
4.0	chi=32	hop y-bond	false	0.37919101706318636	-0.01003362004981495	0.5737642017221771	15.386419918943501	NaN
4.0	chi=64	hop y-bond	false	0.37919101706318636	-0.0013602476652325723	0.8696158111952457	15.409049166694546	NaN
8.0	UHF	ZZ onsite	true	-0.786776839250233	0.011575790353186344	NaN	241.05431499159099	141.01741463053136
8.0	chi=8	ZZ onsite	true	-0.786776839250233	0.09947522895477845	0.27486946267564777	56.970196807207074	43.952298073176564
8.0	chi=16	ZZ onsite	true	-0.786776839250233	0.05453143636421287	0.5388603373396742	130.72449699053504	85.85774831803276
8.0	chi=32	ZZ onsite	true	-0.786776839250233	0.02507494504558383	0.7934701624476432	216.42009027631488	126.82174350765796
8.0	chi=64	ZZ onsite	true	-0.786776839250233	0.008047699513954787	0.9391488534064095	242.72318485459283	143.26139011256848
8.0	UHF	ZZ up-up y1	true	-0.5079127433696533	0.33632698855550625	NaN	2.1029966115221947	2.1926164481508352
8.0	chi=8	ZZ up-up y1	true	-0.5079127433696533	0.15984479013771136	0.27486946267564777	7.685334977929706	7.856572005645833
8.0	chi=16	ZZ up-up y1	true	-0.5079127433696533	0.08615493460472567	0.5388603373396742	17.518846016249043	16.887478283255014
8.0	chi=32	ZZ up-up y1	true	-0.5079127433696533	0.03319846424884232	0.7934701624476432	32.79698564344846	28.182594665828653
8.0	chi=64	ZZ up-up y1	true	-0.5079127433696533	0.009338207341578864	0.9391488534064095	39.08254066332034	31.573655408845653
8.0	UHF	ZZ up-up y2	true	0.355693428617463	-0.44109332276046065	NaN	0.7019747161650453	0.6670800614904986
8.0	chi=8	ZZ up-up y2	true	0.355693428617463	-0.09125725163524268	0.27486946267564777	10.907983044803686	7.510206007170524
8.0	chi=16	ZZ up-up y2	true	0.355693428617463	-0.06936519875676184	0.5388603373396742	14.719613205687603	9.31428998434632
8.0	chi=32	ZZ up-up y2	true	0.355693428617463	-0.023905173563915083	0.7934701624476432	24.33645564755397	13.112402402551737
8.0	chi=64	ZZ up-up y2	true	0.355693428617463	-0.008564717021044443	0.9391488534064095	25.72654992081381	13.772130398016953
8.0	UHF	ZZ up-up x1	true	-0.4705701774083426	0.3759424038949183	NaN	1.1434946809439441	1.533698332912787
8.0	chi=8	ZZ up-up x1	true	-0.4705701774083426	-0.0007281915888153745	0.27486946267564777	18.34726261120105	26.279867337688458
8.0	chi=16	ZZ up-up x1	true	-0.4705701774083426	0.020646068567745257	0.5388603373396742	15.759896916596308	25.061794305146094
8.0	chi=32	ZZ up-up x1	true	-0.4705701774083426	-0.007288885808242163	0.7934701624476432	18.988131633126333	26.123005950036575
8.0	chi=64	ZZ up-up x1	true	-0.4705701774083426	-0.004735898619518952	0.9391488534064095	18.751285276786078	26.214331381160385
8.0	UHF	DoubleOcc	false	0.05323870246939655	0.0028268598702532177	NaN	15.93695376683624	NaN
8.0	chi=8	DoubleOcc	false	0.05323870246939655	0.02634260647301795	0.27486946267564777	37.72422167476337	NaN
8.0	chi=16	DoubleOcc	false	0.05323870246939655	0.013574817332940137	0.5388603373396742	74.05796485185505	NaN
8.0	chi=32	DoubleOcc	false	0.05323870246939655	0.0063416687178289854	0.7934701624476432	106.04372102080433	NaN
8.0	chi=64	DoubleOcc	false	0.05323870246939655	0.0019348241330427174	0.9391488534064095	108.29536912756288	NaN
8.0	UHF	SzSz y-bond	false	-0.1210348258206666	0.08428921937040687	NaN	1.8246111696519975	NaN
8.0	chi=8	SzSz y-bond	false	-0.1210348258206666	0.0380723108554131	0.27486946267564777	6.768830523811987	NaN
8.0	chi=16	SzSz y-bond	false	-0.1210348258206666	0.0223845107472381	0.5388603373396742	12.55732582690309	NaN
8.0	chi=32	SzSz y-bond	false	-0.1210348258206666	0.00820559321136674	0.7934701624476432	22.12869248263527	NaN
8.0	chi=64	SzSz y-bond	false	-0.1210348258206666	0.002287244228570365	0.9391488534064095	25.57153606646915	NaN
8.0	UHF	SzSz x-bond	false	-0.11201107440019813	0.09359707696313986	NaN	1.015916033087257	NaN
8.0	chi=8	SzSz x-bond	false	-0.11201107440019813	0.006633172457591291	0.27486946267564777	10.902056023414591	NaN
8.0	chi=16	SzSz x-bond	false	-0.11201107440019813	0.00754750372217651	0.5388603373396742	10.763684174806286	NaN
8.0	chi=32	SzSz x-bond	false	-0.11201107440019813	-0.0007188151362731154	0.7934701624476432	13.179480485936596	NaN
8.0	chi=64	SzSz x-bond	false	-0.11201107440019813	-0.0009255419803669424	0.9391488534064095	13.21895340940008	NaN
8.0	UHF	hop y-bond	false	0.2432715133068744	0.029058763168749197	NaN	9.282098808202132	NaN
8.0	chi=8	hop y-bond	false	0.2432715133068744	0.008485527277528493	0.27486946267564777	10.54171925153198	NaN
8.0	chi=16	hop y-bond	false	0.2432715133068744	0.004245748522592574	0.5388603373396742	10.661630467080068	NaN
8.0	chi=32	hop y-bond	false	0.2432715133068744	-0.0005091821300877153	0.7934701624476432	10.724719461581502	NaN
8.0	chi=64	hop y-bond	false	0.2432715133068744	0.00011788768104220582	0.9391488534064095	10.720840035926338	NaN
