L	doping	site	prior	observable	true	Delta	prior_fid	G	G_max
16	0.0	1	chi8	ZZ onsite	-0.715218654923342	-4.37750456920849e-5	0.9531835469652283	98.73855195036525	98.7384580126365
16	0.0	1	chi16	ZZ onsite	-0.715218654923342	-4.257203238045015e-6	0.9951061220758266	98.73847032283352	98.7384580126365
16	0.0	1	chi32	ZZ onsite	-0.715218654923342	-6.257162928902105e-7	0.9998374729774914	98.73845986484524	98.7384580126365
16	0.0	1	exact	ZZ onsite	-0.715218654923342	0.0	NaN	98.7384580126365	98.7384580126365
16	0.0	1	UHF	ZZ onsite	-0.715218654923342	0.0514427599186249	NaN	65.5071067006441	98.7384580126365
16	0.0	1	UHFsym	ZZ onsite	-0.715218654923342	0.05144275991862557	NaN	65.50710670064352	98.7384580126365
16	0.0	1	chi2	ZZ up-up r=1	-0.8262748807780136	0.17372511922198686	0.09698363280829767	19.610231196528147	157.27385922125455
16	0.0	1	chi4	ZZ up-up r=1	-0.8262748807780136	0.0981598974128961	0.4016684908724763	48.18581689895223	157.27385922125455
16	0.0	1	chi8	ZZ up-up r=1	-0.8262748807780136	0.008062866416410852	0.9531835469652283	154.30945224323196	157.27385922125455
16	0.0	1	chi16	ZZ up-up r=1	-0.8262748807780136	0.0006529437941248384	0.9951061220758266	157.2038799642642	157.27385922125455
16	0.0	1	chi32	ZZ up-up r=1	-0.8262748807780136	3.64701450719096e-5	0.9998374729774914	157.2707604979254	157.27385922125455
16	0.0	1	exact	ZZ up-up r=1	-0.8262748807780136	0.0	NaN	157.27385922125455	157.27385922125455
16	0.0	1	UHF	ZZ up-up r=1	-0.8262748807780136	0.05958927835765815	NaN	85.16199505332385	157.27385922125455
16	0.0	1	UHFsym	ZZ up-up r=1	-0.8262748807780136	-0.3854920343696558	NaN	4.505712993341288	157.27385922125455
16	0.0	1	chi2	SzSz r=1	-0.17517400917987783	0.07482599082012228	0.09698363280829767	5.083945141174555	94.17024025471424
16	0.0	1	chi4	SzSz r=1	-0.17517400917987783	0.029709824287432157	0.4016684908724763	24.428246489352677	94.17024025471424
16	0.0	1	chi8	SzSz r=1	-0.17517400917987783	0.00173744912958676	0.9531835469652283	93.51428957608199	94.17024025471424
16	0.0	1	chi16	SzSz r=1	-0.17517400917987783	0.00014015725085192443	0.9951061220758266	94.17924172655941	94.17024025471424
16	0.0	1	chi32	SzSz r=1	-0.17517400917987783	8.088969353503561e-6	0.9998374729774914	94.17116313795862	94.17024025471424
16	0.0	1	exact	SzSz r=1	-0.17517400917987783	0.0	NaN	94.17024025471424	94.17024025471424
16	0.0	1	UHF	SzSz r=1	-0.17517400917987783	0.019001570989044037	NaN	45.88595234754747	94.17024025471424
16	0.0	1	UHFsym	SzSz r=1	-0.17517400917987783	-0.09226875719278474	NaN	3.529063271137171	94.17024025471424
16	0.0	1	chi2	hop up r=1	0.6366345352834233	0.6366345352834233	0.09698363280829767	1.0	68.0449343418644
16	0.0	1	chi4	hop up r=1	0.6366345352834233	-0.04727477381235268	0.4016684908724763	53.637126818887324	68.0449343418644
16	0.0	1	chi8	hop up r=1	0.6366345352834233	-0.0037015811688569933	0.9531835469652283	68.39674548040092	68.0449343418644
16	0.0	1	chi16	hop up r=1	0.6366345352834233	-0.00035748008033709144	0.9951061220758266	68.09196980587552	68.0449343418644
16	0.0	1	chi32	hop up r=1	0.6366345352834233	-1.6023318482494275e-5	0.9998374729774914	68.04710164404031	68.0449343418644
16	0.0	1	exact	hop up r=1	0.6366345352834233	0.0	NaN	68.0449343418644	68.0449343418644
16	0.0	1	UHF	hop up r=1	0.6366345352834233	0.16938334275421196	NaN	11.353265762677172	68.0449343418644
16	0.0	1	UHFsym	hop up r=1	0.6366345352834233	0.16938334275421152	NaN	11.353265762677221	68.0449343418644
16	0.0	2	chi2	n	1.0000000000004123	4.1233683134578314e-13	0.09698363280829767	1.000000003693449	0.9999999999287755
16	0.0	2	chi4	n	1.0000000000004123	6.839650845691381e-9	0.4016684908724763	1.0000000539638731	0.9999999999287755
16	0.0	2	chi8	n	1.0000000000004123	1.044417108353457e-9	0.9531835469652283	0.9999999916439788	0.9999999999287755
16	0.0	2	chi16	n	1.0000000000004123	-2.1667556637794405e-11	0.9951061220758266	0.999999995895087	0.9999999999287755
16	0.0	2	chi32	n	1.0000000000004123	1.985567266160615e-11	0.9998374729774914	1.0000000000701728	0.9999999999287755
16	0.0	2	exact	n	1.0000000000004123	0.0	NaN	0.9999999999287755	0.9999999999287755
16	0.0	2	UHF	n	1.0000000000004123	4.1444625509257094e-13	NaN	0.020078337155803965	0.9999999999287755
16	0.0	2	UHFsym	n	1.0000000000004123	4.1444625509257094e-13	NaN	0.9999999999999977	0.9999999999287755
16	0.0	2	chi2	Sz	1.5856201768249534e-11	8.32094306651987e-10	0.09698363280829767	1.0000000005423124	0.9999999999900308
16	0.0	2	chi4	Sz	1.5856201768249534e-11	1.3864458196094498e-8	0.4016684908724763	0.9999999997975246	0.9999999999900308
16	0.0	2	chi8	Sz	1.5856201768249534e-11	-1.5372820481862615e-9	0.9531835469652283	0.9999999975326483	0.9999999999900308
16	0.0	2	chi16	Sz	1.5856201768249534e-11	-8.975213107442759e-10	0.9951061220758266	0.9999999994235049	0.9999999999900308
16	0.0	2	chi32	Sz	1.5856201768249534e-11	3.683030616596916e-11	0.9998374729774914	0.9999999999872017	0.9999999999900308
16	0.0	2	exact	Sz	1.5856201768249534e-11	0.0	NaN	0.9999999999900308	0.9999999999900308
16	0.0	2	UHF	Sz	1.5856201768249534e-11	-0.38119378326928194	NaN	0.027142678428374013	0.9999999999900308
16	0.0	2	UHFsym	Sz	1.5856201768249534e-11	1.5856193961993892e-11	NaN	0.9999999999999972	0.9999999999900308
16	0.0	2	chi2	DoubleOcc	0.09924590305558903	0.09924590305558903	0.09698363280829767	2.11978719613595	30.455488097335007
16	0.0	2	chi4	DoubleOcc	0.09924590305558903	0.009013573409828057	0.4016684908724763	26.71071089594262	30.455488097335007
16	0.0	2	chi8	DoubleOcc	0.09924590305558903	0.0005442486836430283	0.9531835469652283	30.383192795101834	30.455488097335007
16	0.0	2	chi16	DoubleOcc	0.09924590305558903	3.408702816568021e-5	0.9951061220758266	30.451649056002527	30.455488097335007
16	0.0	2	chi32	DoubleOcc	0.09924590305558903	1.8250737891245539e-6	0.9998374729774914	30.455284898154634	30.455488097335007
16	0.0	2	exact	DoubleOcc	0.09924590305558903	0.0	NaN	30.455488097335007	30.455488097335007
16	0.0	2	UHF	DoubleOcc	0.09924590305558903	-0.005445396529173058	NaN	1.2807802075428185	30.455488097335007
16	0.0	2	UHFsym	DoubleOcc	0.09924590305558903	-0.00544539652917303	NaN	29.880123163538187	30.455488097335007
16	0.0	2	chi2	ZZ onsite	-0.6030163877784674	0.39698361222153256	0.09698363280829767	2.280097309600135	57.244821128377474
16	0.0	2	chi4	ZZ onsite	-0.6030163877784674	0.03605427996001187	0.4016684908724763	48.29199039408925	57.244821128377474
16	0.0	2	chi8	ZZ onsite	-0.6030163877784674	0.0021769926457388955	0.9531835469652283	57.25417107312913	57.244821128377474
16	0.0	2	chi16	ZZ onsite	-0.6030163877784674	0.0001363481559982782	0.9951061220758266	57.24785959732562	57.244821128377474
16	0.0	2	chi32	ZZ onsite	-0.6030163877784674	7.300255446152093e-6	0.9998374729774914	57.244992108696856	57.244821128377474
16	0.0	2	exact	ZZ onsite	-0.6030163877784674	0.0	NaN	57.244821128377474	57.244821128377474
16	0.0	2	UHF	ZZ onsite	-0.6030163877784674	-0.021781586117520013	NaN	52.90660053537277	57.244821128377474
16	0.0	2	UHFsym	ZZ onsite	-0.6030163877784674	-0.021781586117519902	NaN	52.906600535372796	57.244821128377474
16	0.0	2	chi2	ZZ up-up r=1	-0.3246202548466486	-0.32462025484664875	0.09698363280829767	0.9999999999999994	9.423264657416125
16	0.0	2	chi4	ZZ up-up r=1	-0.3246202548466486	-0.2868376439421034	0.4016684908724763	1.2486091274302031	9.423264657416125
16	0.0	2	chi8	ZZ up-up r=1	-0.3246202548466486	-0.006279721857524179	0.9531835469652283	9.445048622061009	9.423264657416125
16	0.0	2	chi16	ZZ up-up r=1	-0.3246202548466486	-3.0197857231517578e-5	0.9951061220758266	9.423516185150804	9.423264657416125
16	0.0	2	chi32	ZZ up-up r=1	-0.3246202548466486	-6.362418673633297e-6	0.9998374729774914	9.423317769077986	9.423264657416125
