W	LX	geometry	U	Hvar	state	kind	i	j	name	value
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	Zbd	-0.939509704376
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	Zc	-0.938535770251
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	Zcd	-0.880849392040
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	Zd	0.938535770251
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	hopD	0.242198910685
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	hopD_Za	0.227312341194
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	hopD_Zc	-0.227312341193
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	hopU	0.242198910685
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	hopU_Zb	-0.227312341194
1	32	cylinder	8.0	5.629e-11	UHF	bond	17	18	hopU_Zd	0.227312341194
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	17	FF	0.882678484593
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	17	hopU	0.242198910685
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	18	FF	0.774385389352
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	18	hopU	-0.029286405476
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	19	FF	0.775993065722
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	19	hopU	-0.007436065904
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	20	FF	0.775892339161
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	20	hopU	0.001370350108
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	21	FF	0.775895861015
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	21	hopU	0.000346047264
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	22	FF	0.775895643107
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	22	hopU	-0.000071239170
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	23	FF	0.775895651931
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	23	hopU	-0.000017940397
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	24	FF	0.775895651439
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	24	hopU	0.000003892241
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	25	FF	0.775895651460
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	25	hopU	0.000000963785
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	26	FF	0.775895651676
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	26	hopU	-0.000000215257
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	27	FF	0.775895651116
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	27	hopU	-0.000000052448
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	28	FF	0.775895745178
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	28	hopU	0.000000011920
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	29	FF	0.775895026353
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	29	hopU	0.000000002870
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	30	FF	0.775948412069
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	30	hopU	-0.000000000659
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	31	FF	0.775106286150
1	32	cylinder	8.0	5.629e-11	UHF	dist	16	31	hopU	-0.000000000157
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	Za	0.000000000005
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	Zab	-1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	Zabc	-0.000000000001
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	Zabcd	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	Zabd	0.000000000001
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	Zac	-0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	Zacd	-0.000000000005
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	Zad	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	Zb	-0.000000000005
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	Zbc	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	Zbcd	0.000000000005
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	Zbd	-0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	Zc	0.000000000001
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	Zcd	-1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	Zd	-0.000000000001
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	hopD	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	hopD_Za	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	hopD_Zc	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	hopU_Zb	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	16	17	hopU_Zd	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	Za	0.000000000001
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	Zab	-1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	Zabc	0.000000000001
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	Zabcd	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	Zabd	-0.000000000001
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	Zac	-1.000000000000
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	Zacd	-0.000000000001
1	32	cylinder	8.0	5.629e-11	chi2	bond	17	18	Zad	1.000000000000
