geometry	rho	U	site	observable	prior	true	Delta	relerr	G	G_max
cylinder	DMRG	8.0	6	ZZ onsite	chi8	-0.7828823135766421	0.12510041986678455	0.1597946686204421	37.91215395787933	195.00294582852356
cylinder	DMRG	8.0	6	ZZ onsite	chi32	-0.7828823135766421	0.03868450909514476	0.0494129301739011	156.37816075909743	195.00294582852356
cylinder	DMRG	8.0	6	ZZ onsite	chi128	-0.7828823135766421	0.0031872799798431384	0.0040712121407901905	197.9031630356304	195.00294582852356
cylinder	DMRG	8.0	6	ZZ onsite	exact	-0.7828823135766421	0.0	0.0	195.00294582852356	195.00294582852356
cylinder	DMRG	8.0	6	ZZ onsite	UHF	-0.7828823135766421	0.015164898007201555	0.019370597271408344	197.67703588707658	195.00294582852356
cylinder	DMRG	8.0	6	ZZ onsite	UHFsym	-0.7828823135766421	0.015164898007208327	0.019370597271416996	197.67703588707127	195.00294582852356
cylinder	DMRG	8.0	6	ZZ up-up nb	chi4	-0.3955181153221453	0.23679398143897767	0.5986931375977849	2.3523110058540286	16.303268348533614
cylinder	DMRG	8.0	6	ZZ up-up nb	chi8	-0.3955181153221453	0.11182679254481864	0.2827349449057141	6.8153112529909565	16.303268348533614
cylinder	DMRG	8.0	6	ZZ up-up nb	chi32	-0.3955181153221453	0.031077142307975425	0.07857324634211361	14.377689063464869	16.303268348533614
cylinder	DMRG	8.0	6	ZZ up-up nb	chi128	-0.3955181153221453	0.0024655689860094143	0.006233770061331412	16.246169766632264	16.303268348533614
cylinder	DMRG	8.0	6	ZZ up-up nb	exact	-0.3955181153221453	0.0	0.0	16.303268348533614	16.303268348533614
cylinder	DMRG	8.0	6	ZZ up-up nb	UHF	-0.3955181153221453	0.44817092449743934	1.1331236348868847	0.7487466174761996	16.303268348533614
cylinder	DMRG	8.0	6	ZZ up-up nb	UHFsym	-0.3955181153221453	-0.08412033088514032	0.21268388886973028	10.099360841762843	16.303268348533614
cylinder	DMRG	8.0	6	SzSz nb	chi4	-0.09309710133162113	0.06468305718672973	0.6947913120981313	1.8887646549799024	13.458061627882088
cylinder	DMRG	8.0	6	SzSz nb	chi8	-0.09309710133162113	0.02970234472302208	0.31904693377315124	5.816349713631818	13.458061627882088
cylinder	DMRG	8.0	6	SzSz nb	chi32	-0.09309710133162113	0.00850296326686642	0.0913343503207261	12.096513579054648	13.458061627882088
cylinder	DMRG	8.0	6	SzSz nb	chi128	-0.09309710133162113	0.0005684302178818601	0.006105777835735778	13.441222326781215	13.458061627882088
cylinder	DMRG	8.0	6	SzSz nb	exact	-0.09309710133162113	0.0	0.0	13.458061627882088	13.458061627882088
cylinder	DMRG	8.0	6	SzSz nb	UHF	-0.09309710133162113	0.11211993009380697	1.20433320146483	0.6971907700532911	13.458061627882088
cylinder	DMRG	8.0	6	SzSz nb	UHFsym	-0.09309710133162113	-0.020952883751838014	0.2250648350178139	8.368567286860829	13.458061627882088
cylinder	DMRG	8.0	6	SxSx nb	chi4	-0.09309710663596502	0.06981209857100848	0.7498847288991779	1.6042965803026605	14.385671822246307
cylinder	DMRG	8.0	6	SxSx nb	chi8	-0.09309710663596502	0.030427232867991066	0.3268332815859661	5.680451592206518	14.385671822246307
cylinder	DMRG	8.0	6	SxSx nb	chi32	-0.09309710663596502	0.007893215845160895	0.08478476002509416	12.894151803094474	14.385671822246307
cylinder	DMRG	8.0	6	SxSx nb	chi128	-0.09309710663596502	0.0007585163803253969	0.008147582752398547	14.345999453236706	14.385671822246307
cylinder	DMRG	8.0	6	SxSx nb	exact	-0.09309710663596502	0.0	0.0	14.385671822246307	14.385671822246307
cylinder	DMRG	8.0	6	SxSx nb	UHF	-0.09309710663596502	-0.0873918781064969	0.93871744530389	1.1206947583209852	14.385671822246307
cylinder	DMRG	8.0	6	SxSx nb	UHFsym	-0.09309710663596502	-0.020855471183674312	0.22401846778358936	8.794638972452871	14.385671822246307
cylinder	ED	8.0	7	n	chi4	0.9999999999999996	-2.2061685811536336e-11	2.2061685811536345e-11	1.000000009771912	1.0000000067548311
cylinder	ED	8.0	7	n	chi8	0.9999999999999996	6.106271044359346e-11	6.106271044359349e-11	1.0000000058460232	1.0000000067548311
cylinder	ED	8.0	7	n	chi32	0.9999999999999996	-7.077982644432268e-11	7.07798264443227e-11	1.0000000067534365	1.0000000067548311
cylinder	ED	8.0	7	n	chi128	0.9999999999999996	-2.207662941344779e-10	2.20766294134478e-10	1.0000000063286139	1.0000000067548311
cylinder	ED	8.0	7	n	exact	0.9999999999999996	-8.854650346279413e-11	8.854650346279417e-11	1.0000000067548311	1.0000000067548311
cylinder	ED	8.0	7	n	UHF	0.9999999999999996	-2.220446049250313e-16	2.220446049250314e-16	0.014887572633485138	1.0000000067548311
cylinder	ED	8.0	7	n	UHFsym	0.9999999999999996	5.440092820663267e-15	5.4400928206632694e-15	1.0000000000000346	1.0000000067548311
cylinder	ED	8.0	7	Sz	chi4	-9.0278479136785e-14	-1.6685231425672686e-9	NaN	0.999999998682263	0.9999999990523974
cylinder	ED	8.0	7	Sz	chi8	-9.0278479136785e-14	-1.0180653108732285e-9	NaN	0.9999999992488725	0.9999999990523974
cylinder	ED	8.0	7	Sz	chi32	-9.0278479136785e-14	-1.1383177907220432e-9	NaN	0.9999999990614843	0.9999999990523974
cylinder	ED	8.0	7	Sz	chi128	-9.0278479136785e-14	-1.025456108916245e-9	NaN	0.9999999990431537	0.9999999990523974
cylinder	ED	8.0	7	Sz	exact	-9.0278479136785e-14	-1.1338098827862186e-9	NaN	0.9999999990523974	0.9999999990523974
cylinder	ED	8.0	7	Sz	UHF	-9.0278479136785e-14	-0.4466674410521095	NaN	0.03021809228191421	0.9999999990523974
cylinder	ED	8.0	7	Sz	UHFsym	-9.0278479136785e-14	-9.032011250020844e-14	NaN	1.0	0.9999999990523974
cylinder	ED	8.0	7	DoubleOcc	chi4	0.054279464260537647	0.04308260327066005	0.7937182847617389	15.026949395406374	73.24502501201535
cylinder	ED	8.0	7	DoubleOcc	chi8	0.054279464260537647	0.02863911440368691	0.5276233801096701	26.344798815843262	73.24502501201535
cylinder	ED	8.0	7	DoubleOcc	chi32	0.054279464260537647	0.00959801097319865	0.17682582361404428	58.81654146735143	73.24502501201535
cylinder	ED	8.0	7	DoubleOcc	chi128	0.054279464260537647	0.0008505033335361178	0.015668970671002962	72.70439035545344	73.24502501201535
cylinder	ED	8.0	7	DoubleOcc	exact	0.054279464260537647	4.891068960954925e-8	9.010901318918947e-7	73.24502501201535	73.24502501201535
cylinder	ED	8.0	7	DoubleOcc	UHF	0.054279464260537647	0.003791267156496775	0.06984717347796501	1.7469391548419786	73.24502501201535
cylinder	ED	8.0	7	DoubleOcc	UHFsym	0.054279464260537647	0.003791267156497108	0.06984717347797115	69.45415988320707	73.24502501201535
cylinder	ED	8.0	7	ZZ onsite	chi4	-0.7828821429578482	0.17233041312676323	0.2201230602548586	18.59664431983768	161.30865838417256
cylinder	ED	8.0	7	ZZ onsite	chi8	-0.7828821429578482	0.11455645749261956	0.14632656846636938	36.87882554115209	161.30865838417256
cylinder	ED	8.0	7	ZZ onsite	chi32	-0.7828821429578482	0.038392044034353257	0.04903936611621036	117.9500617531744	161.30865838417256
cylinder	ED	8.0	7	ZZ onsite	chi128	-0.7828821429578482	0.003402013775674728	0.004345499263556327	161.06591707144074	161.30865838417256
cylinder	ED	8.0	7	ZZ onsite	exact	-0.7828821429578482	1.958198511120557e-7	2.5012685865105876e-7	161.30865838417256	161.30865838417256
cylinder	ED	8.0	7	ZZ onsite	UHF	-0.7828821429578482	0.015165068625988098	0.01937081942971921	153.14965211149516	161.30865838417256
cylinder	ED	8.0	7	ZZ onsite	UHFsym	-0.7828821429578482	0.015165068625983658	0.019370819429713537	153.14965211150002	161.30865838417256
cylinder	ED	8.0	7	ZZ up-up nb	chi4	-0.39551754590151333	0.13293066629798045	0.3360929690109908	5.4320644074021125	16.519460277584837
cylinder	ED	8.0	7	ZZ up-up nb	chi8	-0.39551754590151333	0.12756154908552642	0.322518053642278	5.720221247768146	16.519460277584837
cylinder	ED	8.0	7	ZZ up-up nb	chi32	-0.39551754590151333	0.03447561404606958	0.08716582716321326	14.014967598679947	16.519460277584837
cylinder	ED	8.0	7	ZZ up-up nb	chi128	-0.39551754590151333	0.0024166436476581454	0.0061100794963465585	16.445095106324604	16.519460277584837
cylinder	ED	8.0	7	ZZ up-up nb	exact	-0.39551754590151333	4.1176858461833277e-7	1.0410880348677781e-6	16.519460277584837	16.519460277584837
cylinder	ED	8.0	7	ZZ up-up nb	UHF	-0.39551754590151333	0.4481714939180689	1.1331267059127301	0.7349466918275095	16.519460277584837
cylinder	ED	8.0	7	ZZ up-up nb	UHFsym	-0.39551754590151333	-0.08411976146450872	0.21268275538262754	10.359661679453433	16.519460277584837
cylinder	ED	8.0	7	SzSz nb	chi4	-0.093096959344451	0.03341666321599879	0.35894473301066593	5.539515661783059	12.885804383971362
cylinder	ED	8.0	7	SzSz nb	chi8	-0.093096959344451	0.031819011486906856	0.34178357393155195	5.8815058628023245	12.885804383971362
cylinder	ED	8.0	7	SzSz nb	chi32	-0.093096959344451	0.00773768839964567	0.08311429776150762	12.344149875659939	12.885804383971362
cylinder	ED	8.0	7	SzSz nb	chi128	-0.093096959344451	0.0005843191931738656	0.006276458407324918	12.914519610755885	12.885804383971362
cylinder	ED	8.0	7	SzSz nb	exact	-0.093096959344451	9.495290721750482e-8	1.019935644366074e-6	12.885804383971362	12.885804383971362
cylinder	ED	8.0	7	SzSz nb	UHF	-0.093096959344451	0.1121200720809761	1.2043365634117131	0.7506402172651709	12.885804383971362
