L	chi_prior	observable	pure	true	Delta	prior_fid	G_emp	G_theo
8	4	ZZ up-up r=4	true	0.08748887399599793	0.08906398322193063	0.7090687033406384	0.9859419436040493	0.9854374777567433
8	8	ZZ up-up r=4	true	0.08748887399599793	0.00838348137963972	0.991106654221891	1.6416704001027502	1.6750849474255807
8	16	ZZ up-up r=4	true	0.08748887399599793	0.008570350207465896	0.9994305686394076	1.6412074393602867	1.6746126908200267
8	32	ZZ up-up r=4	true	0.08748887399599793	3.461405295022979e-5	0.9999952345021925	1.652646032937348	1.685630338270008
8	2	DoubleOcc(i0)	false	0.10006829335763973	0.10006829335763973	0.349233983563559	2.2336885818786847	NaN
8	4	DoubleOcc(i0)	false	0.10006829335763973	0.008497890542016662	0.7090687033406384	23.852055643638742	NaN
8	8	DoubleOcc(i0)	false	0.10006829335763973	-0.0006129284088868814	0.991106654221891	24.999551202888934	NaN
8	16	DoubleOcc(i0)	false	0.10006829335763973	5.699605882442116e-5	0.9994305686394076	25.059309435253173	NaN
8	32	DoubleOcc(i0)	false	0.10006829335763973	-1.9826746985585064e-6	0.9999952345021925	25.055052631462697	NaN
8	2	SzSz r=1	false	-0.06980119874823958	0.006096195873611612	0.349233983563559	6.05060744576165	NaN
8	4	SzSz r=1	false	-0.06980119874823958	-0.06980119867603432	0.7090687033406384	1.008004622546111	NaN
8	8	SzSz r=1	false	-0.06980119874823958	6.087935122151e-5	0.991106654221891	7.1963843879706655	NaN
8	16	SzSz r=1	false	-0.06980119874823958	-8.73779323455337e-5	0.9994305686394076	7.156796397776514	NaN
8	32	SzSz r=1	false	-0.06980119874823958	-8.84396286475464e-6	0.9999952345021925	7.1498361641743715	NaN
8	2	hop bond(i0)	false	0.3909624532679199	0.3909624532679199	0.349233983563559	1.0	NaN
8	4	hop bond(i0)	false	0.3909624532679199	0.133296753963221	0.7090687033406384	6.801421651543979	NaN
8	8	hop bond(i0)	false	0.3909624532679199	0.0027136918860214965	0.991106654221891	23.327216507279545	NaN
8	16	hop bond(i0)	false	0.3909624532679199	0.0001433057836214835	0.9994305686394076	23.23788504445003	NaN
8	32	hop bond(i0)	false	0.3909624532679199	1.038959209498369e-5	0.9999952345021925	23.23202908191852	NaN
16	2	ZZ onsite(i0)	true	-0.5985711760074262	0.40142882399257407	0.09698054629499579	2.190796333390199	2.1709268157984116
16	4	ZZ onsite(i0)	true	-0.5985711760074262	0.1417236797502771	0.4016670142122413	12.92915528368747	13.386137769013791
16	8	ZZ onsite(i0)	true	-0.5985711760074262	-0.0023760692966494634	0.9531865780662307	40.89110324365292	50.58978239319372
16	16	ZZ onsite(i0)	true	-0.5985711760074262	0.0015846767653231453	0.9951082079663102	40.97204769308194	50.611740134415776
16	32	ZZ onsite(i0)	true	-0.5985711760074262	-8.634544131469468e-6	0.9998430857870075	40.95656270789736	50.62934475615758
