config	t_L	t_S	U	nu	nm	observable	true	prior	Delta	sd_std	sd_crm_old	sd_crm_new	G_emp	G_theo	HF_fid	gap
uniform	1.0	1.0	8.0	50	100	ZZ(1u,1d) |A|=2	-0.8700081083698958	-0.8866138611413623	0.016605752771466475	0.3010350741280431	0.030598052554051586	0.022231061163810493	183.36388875430453	252.3358497013187	0.36959338366218447	0.3323165434020581
uniform	1.0	1.0	8.0	50	100	ZZZZ(1,3) |A|=4	0.746769249715314	0.7800484328004686	-0.03327918308515465	0.9186915381100311	0.10593039519956339	0.09009425713777014	103.97889910971192	100.63150343116382	0.36959338366218447	0.3323165434020581
uniform	1.0	1.0	8.0	50	100	DoubleOcc site1	0.032497972907526054	0.028346534714659342	0.0041514381928667125	0.07510422854591735	0.06461935595135439	0.06350889277622655	1.3984910666334276	NaN	0.36959338366218447	0.3323165434020581
uniform	1.0	1.0	8.0	50	100	Sz1*Sz3	0.07264136388448178	0.2212271708776999	-0.14858580699321813	0.018992494105547226	0.03760335649356698	0.03748948245642318	0.256652270447352	NaN	0.36959338366218447	0.3323165434020581
uniform	1.0	1.0	8.0	50	100	Fidelity	0.36959338366218447	1.0	-0.6304066163378155	0.14490610089513312	0.30557272489641524	0.30314606286368356	0.228491199230054	NaN	0.36959338366218447	0.3323165434020581
uniform	1.0	1.0	8.0	50	1000	Z(1u)  |A|=1	-1.3611074073383023e-15	-0.9416017529408927	0.9416017529408913	0.0076955228803512795	0.1834983349463433	0.18394358663924354	0.0017502777292600273	0.0016889726257309796	0.36959338366218447	0.3323165434020581
uniform	1.0	1.0	8.0	50	1000	ZZ(1u,1d) |A|=2	-0.8700081083698958	-0.8866138611413623	0.016605752771466475	0.3416598750910563	0.010605837230354983	0.009501725287671741	1292.953825706264	1378.6532224415673	0.36959338366218447	0.3323165434020581
uniform	1.0	1.0	8.0	50	1000	ZZZZ(1,3) |A|=4	0.746769249715314	0.7800484328004686	-0.03327918308515465	0.9069938677785752	0.05226675986027311	0.046246007714136034	384.6451023655355	358.82945415961063	0.36959338366218447	0.3323165434020581
uniform	1.0	1.0	8.0	50	1000	DoubleOcc site1	0.032497972907526054	0.028346534714659342	0.0041514381928667125	0.08551888637730012	0.0649050571311937	0.06477812104647698	1.7428795747413806	NaN	0.36959338366218447	0.3323165434020581
uniform	1.0	1.0	8.0	50	1000	Sz1*Sz3	0.07264136388448178	0.2212271708776999	-0.14858580699321813	0.019107622323152117	0.03884918839694856	0.03890418857016623	0.24122403285300725	NaN	0.36959338366218447	0.3323165434020581
uniform	1.0	1.0	8.0	50	1000	Fidelity	0.36959338366218447	1.0	-0.6304066163378155	0.23640562720115368	0.44873551521601235	0.44662208557958444	0.28017877320169976	NaN	0.36959338366218447	0.3323165434020581
weak	1.0	0.5	1.0	50	10	Z(1u)  |A|=1	5.113097445441641e-16	-0.1722096309415708	0.1722096309415713	0.07385134872527863	0.10598625112313238	0.0801371793617914	0.8492758169361662	0.8349282457887449	0.8854668941100827	0.37265054227260297
weak	1.0	0.5	1.0	50	10	ZZ(1u,1d) |A|=2	-0.2433427217882285	-0.0296561569890319	-0.2136865647991966	0.1747473190856964	0.20675669773988345	0.16773580662994453	1.0853491745728272	1.0894634707261253	0.8854668941100827	0.37265054227260297
weak	1.0	0.5	1.0	50	10	ZZZZ(1,3) |A|=4	0.06642987378663961	0.0004181538041516987	0.06601171998248792	0.37220514363012724	0.5357717173062858	0.3721261617965089	1.0004245345985767	1.000526631490131	0.8854668941100827	0.37265054227260297
weak	1.0	0.5	1.0	50	10	DoubleOcc site1	0.18916431955294266	0.2425859607527422	-0.05342164119979953	0.051999771936105985	0.0623391397254449	0.05232234967935826	0.9877076099566168	NaN	0.8854668941100827	0.37265054227260297
