U	doping	observable	chi_prior	true	absDelta	discarded_w	sens_s	alpha
4.0	0.125	n	128	0.8728985612191981	1.886924465455131e-6	3.4812756293023384e-5	0.21217967752476896	1.1599267408539955
4.0	0.125	Sz	2	-1.9842469593800427e-7	7.0866555753335e-6	0.40617262357283235	0.0007062551346727312	0.5624437376520119
4.0	0.125	Sz	4	-1.9842469593800427e-7	0.012786452544340413	0.25555025074888094	0.0007062551346727312	0.5624437376520119
4.0	0.125	Sz	8	-1.9842469593800427e-7	0.00020395695685795912	0.05629885972780402	0.0007062551346727312	0.5624437376520119
4.0	0.125	Sz	16	-1.9842469593800427e-7	0.0001696991998527686	0.01666189404718499	0.0007062551346727312	0.5624437376520119
4.0	0.125	Sz	32	-1.9842469593800427e-7	1.928750217666808e-5	0.003579103315949128	0.0007062551346727312	0.5624437376520119
4.0	0.125	Sz	64	-1.9842469593800427e-7	7.260771477682337e-6	0.00040451515679484906	0.0007062551346727312	0.5624437376520119
4.0	0.125	Sz	128	-1.9842469593800427e-7	1.786387849728177e-6	3.4812756293023384e-5	0.0007062551346727312	0.5624437376520119
4.0	0.125	DoubleOcc	2	0.07806149098730747	0.07806149098702866	0.40617262357283235	0.016739930046813036	0.8126951186581145
4.0	0.125	DoubleOcc	4	0.07806149098730747	0.00040938899248328664	0.25555025074888094	0.016739930046813036	0.8126951186581145
4.0	0.125	DoubleOcc	8	0.07806149098730747	0.006782348350397052	0.05629885972780402	0.016739930046813036	0.8126951186581145
4.0	0.125	DoubleOcc	16	0.07806149098730747	9.453432186648514e-5	0.01666189404718499	0.016739930046813036	0.8126951186581145
4.0	0.125	DoubleOcc	32	0.07806149098730747	0.0002736586900445037	0.003579103315949128	0.016739930046813036	0.8126951186581145
4.0	0.125	DoubleOcc	64	0.07806149098730747	3.6549821848100295e-5	0.00040451515679484906	0.016739930046813036	0.8126951186581145
4.0	0.125	DoubleOcc	128	0.07806149098730747	4.223464038263791e-6	3.4812756293023384e-5	0.016739930046813036	0.8126951186581145
4.0	0.125	ZZ onsite	2	-0.43355115848915493	0.5664488415102883	0.40617262357283235	0.4512372633996506	0.9937444539319396
4.0	0.125	ZZ onsite	4	-0.43355115848915493	0.01935837614380559	0.25555025074888094	0.4512372633996506	0.9937444539319396
4.0	0.125	ZZ onsite	8	-0.43355115848915493	0.0568594936892462	0.05629885972780402	0.4512372633996506	0.9937444539319396
4.0	0.125	ZZ onsite	16	-0.43355115848915493	0.008724612131017273	0.01666189404718499	0.4512372633996506	0.9937444539319396
4.0	0.125	ZZ onsite	32	-0.43355115848915493	0.0016516487362499	0.003579103315949128	0.4512372633996506	0.9937444539319396
4.0	0.125	ZZ onsite	64	-0.43355115848915493	0.00012371315508924452	0.00040451515679484906	0.4512372633996506	0.9937444539319396
4.0	0.125	ZZ onsite	128	-0.43355115848915493	2.0667705092736188e-5	3.4812756293023384e-5	0.4512372633996506	0.9937444539319396
4.0	0.125	ZZ up-up r=1	2	-0.395471841892087	0.39547184225635595	0.40617262357283235	0.5900571945496004	0.7884574884407807
4.0	0.125	ZZ up-up r=1	4	-0.395471841892087	0.3198979456032242	0.25555025074888094	0.5900571945496004	0.7884574884407807
4.0	0.125	ZZ up-up r=1	8	-0.395471841892087	0.05795928727003907	0.05629885972780402	0.5900571945496004	0.7884574884407807
4.0	0.125	ZZ up-up r=1	16	-0.395471841892087	0.007278772145317747	0.01666189404718499	0.5900571945496004	0.7884574884407807
4.0	0.125	ZZ up-up r=1	32	-0.395471841892087	0.007523682766356454	0.003579103315949128	0.5900571945496004	0.7884574884407807
4.0	0.125	ZZ up-up r=1	64	-0.395471841892087	0.001345505565612748	0.00040451515679484906	0.5900571945496004	0.7884574884407807
4.0	0.125	ZZ up-up r=1	128	-0.395471841892087	0.00024070479788157462	3.4812756293023384e-5	0.5900571945496004	0.7884574884407807
4.0	0.125	SzSz r=1	2	-0.080638824578304	0.08063882466944094	0.40617262357283235	0.11885655461102389	0.7911239767325182
4.0	0.125	SzSz r=1	4	-0.080638824578304	0.07923860469179436	0.25555025074888094	0.11885655461102389	0.7911239767325182
4.0	0.125	SzSz r=1	8	-0.080638824578304	0.005012347177437121	0.05629885972780402	0.11885655461102389	0.7911239767325182
4.0	0.125	SzSz r=1	16	-0.080638824578304	0.0026664919327904074	0.01666189404718499	0.11885655461102389	0.7911239767325182
4.0	0.125	SzSz r=1	32	-0.080638824578304	0.0015693159011408164	0.003579103315949128	0.11885655461102389	0.7911239767325182
