U	doping	L	chi_prior	observable	prior_fid	S_center	median_absDelta	mean_absDelta	max_absDelta	median_absP	median_relerr	max_relerr	n_relerr
4.0	0.0	32	16	n	0.981189281062275	1.2258671847579556	5.858596940910843e-11	1.1706666538935373e-10	4.311886403485232e-10	0.9999999999953924	5.858596941267951e-11	4.311886403376846e-10	32
4.0	0.0	32	32	SzSz r=1	0.9985421658590912	1.2258671847579556	3.416292149374667e-5	4.313155333400453e-5	9.112058845102411e-5	0.12393321667396846	0.0002894128319486093	0.0010137131847642357	31
4.0	0.0	32	32	hop up r=1	0.9985421658590912	1.2258671847579556	8.949914696515515e-5	0.00013861352592794168	0.00036243946973901764	0.5309640537306005	0.00016932990454398249	0.0008161427093233336	31
4.0	0.0	32	32	DoubleOcc	0.9985421658590912	1.2258671847579556	7.3862930193985266e-6	1.090598065647732e-5	2.5929495437199135e-5	0.10020537774434636	7.370594561927894e-5	0.0002585778637098148	32
4.0	0.0	32	32	ZZ up-up r=1	0.9985421658590912	1.2258671847579556	0.00013719041499526963	0.00019783913972875976	0.0004756160070029658	0.5926890848872224	0.0002535532211927572	0.0010904757938795158	31
4.0	0.0	32	32	Sz	0.9985421658590912	1.2258671847579556	2.024792659927055e-10	3.242355828270149e-10	1.8498773624031628e-9	1.4449886114042965e-9	NaN	NaN	0
4.0	0.0	32	32	ZZ onsite	0.9985421658590912	1.2258671847579556	2.9545275350428835e-5	4.362392017109862e-5	0.00010371831754740768	0.5991784889375897	4.93125360936595e-5	0.00017318404640792796	32
4.0	0.0	32	32	n	0.9985421658590912	1.2258671847579556	5.814515535718101e-11	8.268227769114844e-11	2.50781173605219e-10	0.9999999999953924	5.81451553494994e-11	2.507811735989152e-10	32
4.0	0.0	64	4	SzSz r=1	0.014835760605031442	1.3310193453681403	0.029246871569123145	0.026294337220676617	0.06664567826377572	0.11817385428127361	0.23132054751153103	1.0000000000000002	63
4.0	0.0	64	4	hop up r=1	0.014835760605031442	1.3310193453681403	0.0749877982064876	0.22692799150097673	0.4585063755770663	0.5162699355296668	0.1311077904402199	1.0	63
4.0	0.0	64	4	DoubleOcc	0.014835760605031442	1.3310193453681403	0.042577538897304576	0.038553822043905034	0.04334660249925826	0.10023778660515434	0.42445997349076225	0.4322640167199168	64
4.0	0.0	64	4	ZZ up-up r=1	0.014835760605031442	1.3310193453681403	0.14425150650792395	0.1518740211876913	0.329032387280508	0.5662088202151803	0.26020373595560287	0.8846071143852345	63
4.0	0.0	64	4	Sz	0.014835760605031442	1.3310193453681403	1.1266639614315732e-8	1.3108384505893661e-8	4.194941602420066e-8	2.1483464937577246e-9	NaN	NaN	0
4.0	0.0	64	4	ZZ onsite	0.014835760605031442	1.3310193453681403	0.1703101554776556	0.15421528807112647	0.17338641066762173	0.599048853264008	0.28416882620022277	0.2895269809640983	64
4.0	0.0	64	4	n	0.014835760605031442	1.3310193453681403	5.837489935878182e-10	1.0424653206636547e-9	5.939172598168341e-9	0.999999999999589	5.837489935058837e-10	5.939172594154992e-9	64
4.0	0.0	64	8	SzSz r=1	0.6394472934689871	1.3310193453681403	0.0034655165713784325	0.0031092724235341103	0.004305305307949384	0.11817385428127361	0.031042219740926098	0.04531215811354643	63
4.0	0.0	64	8	hop up r=1	0.6394472934689871	1.3310193453681403	0.009012800788017028	0.009357842239062681	0.01509903481707675	0.5162699355296668	0.017795712629980892	0.03238387822278066	63
4.0	0.0	64	8	DoubleOcc	0.6394472934689871	1.3310193453681403	0.00018315721096696935	0.0003017536506008463	0.0014662391722131407	0.10023778660515434	0.0018213583899964116	0.015103924522999041	64
4.0	0.0	64	8	ZZ up-up r=1	0.6394472934689871	1.3310193453681403	0.011456317481753853	0.011069095466907958	0.017288910333013885	0.5662088202151803	0.021060528437224495	0.03766859923397931	63
4.0	0.0	64	8	Sz	0.6394472934689871	1.3310193453681403	1.9360826639808204e-9	3.085012246909543e-9	1.3036530788906875e-8	2.1483464937577246e-9	NaN	NaN	0
4.0	0.0	64	8	ZZ onsite	0.6394472934689871	1.3310193453681403	0.0007326292256201739	0.0012070146349378221	0.005864956476464789	0.599048853264008	0.0012252476807878155	0.009588068879550162	64
4.0	0.0	64	8	n	0.6394472934689871	1.3310193453681403	5.622802223825829e-10	1.1321611374098817e-9	7.86311171729892e-9	0.999999999999589	5.622802221535035e-10	7.86311171938129e-9	64
4.0	0.0	64	16	SzSz r=1	0.9367595371832758	1.3310193453681403	0.0002418474766791856	0.0005118914839074686	0.0012612367059776086	0.11817385428127361	0.0015582593198008804	0.013205811247711138	63
4.0	0.0	64	16	hop up r=1	0.9367595371832758	1.3310193453681403	0.0021746052048526865	0.0027877131563720926	0.005019819340366771	0.5162699355296668	0.004165958593338466	0.010950101766368002	63
4.0	0.0	64	16	DoubleOcc	0.9367595371832758	1.3310193453681403	0.0004655474381130703	0.00042956002076830055	0.0005722317515483855	0.10023778660515434	0.004644430544168381	0.005712162930857104	64
4.0	0.0	64	16	ZZ up-up r=1	0.9367595371832758	1.3310193453681403	0.0033692337863115984	0.004609587551114158	0.0086523581006	0.5662088202151803	0.005896138642373521	0.01873382909469456	63
4.0	0.0	64	16	Sz	0.9367595371832758	1.3310193453681403	1.5457736930735155e-9	2.689737009997032e-9	1.2615918455749497e-8	2.1483464937577246e-9	NaN	NaN	0
4.0	0.0	64	16	ZZ onsite	0.9367595371832758	1.3310193453681403	0.0018621895170263802	0.0017182401023774704	0.0022889282732506677	0.599048853264008	0.003108577054927431	0.003819406985430813	64
4.0	0.0	64	16	n	0.9367595371832758	1.3310193453681403	3.769983769608132e-10	6.837492880912288e-10	2.9762280417955367e-9	0.999999999999589	3.769983770109706e-10	2.976228045438344e-9	64
4.0	0.0	64	32	SzSz r=1	0.9916726144556538	1.3310193453681403	5.114328876373864e-5	8.659190682475842e-5	0.00020255366712666756	0.11817385428127361	0.0004263488644577033	0.0021208433618597625	63
4.0	0.0	64	32	hop up r=1	0.9916726144556538	1.3310193453681403	0.00022533419316228542	0.0003107136270858272	0.0006707747226819549	0.5162699355296668	0.00044964023723836666	0.001484148664662696	63
4.0	0.0	64	32	DoubleOcc	0.9916726144556538	1.3310193453681403	3.837478033680286e-5	3.0640653109755694e-5	5.143183355546532e-5	0.10023778660515434	0.0003824471542276911	0.0005130381405290946	64
4.0	0.0	64	32	ZZ up-up r=1	0.9916726144556538	1.3310193453681403	0.00025696694167498535	0.0004421175879038308	0.0010682848522323707	0.5662088202151803	0.00045383775695247646	0.0023123517380348305	63
4.0	0.0	64	32	Sz	0.9916726144556538	1.3310193453681403	1.620590162065838e-9	2.480014951971969e-9	1.058016733945788e-8	2.1483464937577246e-9	NaN	NaN	0
4.0	0.0	64	32	ZZ onsite	0.9916726144556538	1.3310193453681403	0.00015349791618002318	0.00012256258376426056	0.00020572821445474787	0.599048853264008	0.0002564112096633928	0.00034345170597757397	64
4.0	0.0	64	32	n	0.9916726144556538	1.3310193453681403	2.2740648253360973e-10	3.6824228041854035e-10	1.4078996857236348e-9	0.999999999999589	2.2740648248312752e-10	1.4078996845559688e-9	64
4.0	0.0	128	4	SzSz r=1	0.00013463598795117806	1.4378321340992708	0.029048006382654257	0.025331034373697624	0.06669378347768361	0.11438894662026988	0.23143819399084417	1.0000000000000149	127
4.0	0.0	128	4	hop up r=1	0.00013463598795117806	1.4378321340992708	0.07522492418253424	0.23813688740072364	0.46810070426300143	0.5066114884980689	0.13157772529749154	1.0	127
4.0	0.0	128	4	DoubleOcc	0.00013463598795117806	1.4378321340992708	0.043699808397331216	0.04132646418753052	0.04411996508956695	0.10024103472932827	0.43594180972297003	0.44007615835196423	128
4.0	0.0	128	4	ZZ up-up r=1	0.00013463598795117806	1.4378321340992708	0.15035545299089048	0.1518161616632046	0.3295298837000904	0.5488074297127792	0.27511481442776825	0.8846841083650233	127
4.0	0.0	128	4	Sz	0.00013463598795117806	1.4378321340992708	3.490575708598939e-6	3.3402314323848718e-6	6.1235333745982e-6	3.2823536135744708e-6	NaN	NaN	0
4.0	0.0	128	4	ZZ onsite	0.00013463598795117806	1.4378321340992708	0.17479923354839821	0.16530586093277058	0.17647995550246987	0.5990358614265936	0.2917748400786978	0.2946371495599568	128
4.0	0.0	128	4	n	0.00013463598795117806	1.4378321340992708	3.449974461666727e-8	4.654139992496531e-8	4.537072234578332e-7	1.0000000000059748	3.449974461475974e-8	4.537072240602105e-7	128
4.0	0.0	128	8	SzSz r=1	0.31837528214811023	1.4378321340992708	0.0037675877439318772	0.003740668508177592	0.005815567433285429	0.11438894662026988	0.03333760420093466	0.05873392914505967	127
4.0	0.0	128	8	hop up r=1	0.31837528214811023	1.4378321340992708	0.010093850850654507	0.011578304030425967	0.01965080367801053	0.5066114884980689	0.019774149382708613	0.042000523765671656	127
4.0	0.0	128	8	DoubleOcc	0.31837528214811023	1.4378321340992708	0.0004121231644590717	0.0003950401666662528	0.0014704350536333954	0.10024103472932827	0.004112177748917751	0.01514900796196264	128
4.0	0.0	128	8	ZZ up-up r=1	0.31837528214811023	1.4378321340992708	0.012066562856116847	0.013176877571902992	0.023765927150051158	0.5488074297127792	0.02246737006274346	0.04973321439878118	127
4.0	0.0	128	8	Sz	0.31837528214811023	1.4378321340992708	2.033745166163392e-6	2.0657426455521384e-6	5.376012802225938e-6	3.2823536135744708e-6	NaN	NaN	0
4.0	0.0	128	8	ZZ onsite	0.31837528214811023	1.4378321340992708	0.001648438404047936	0.0015801622711957963	0.0058817779276064686	0.5990358614265936	0.0027514360980754773	0.009614818851273932	128
4.0	0.0	128	8	n	0.31837528214811023	1.4378321340992708	7.588407252567819e-8	6.951807208707694e-8	1.5571985712004022e-7	1.0000000000059748	7.588407254087388e-8	1.5571985733660277e-7	128
4.0	0.0	128	16	SzSz r=1	0.8160042635072002	1.4378321340992708	0.00029102293973123916	0.0008465916601297397	0.002106605468434955	0.11438894662026988	0.0023297596620261546	0.02123318302918696	127
4.0	0.0	128	16	hop up r=1	0.8160042635072002	1.4378321340992708	0.002130186173663562	0.0034121787813245	0.006709411600286097	0.5066114884980689	0.00410414564762227	0.01435402357529741	127
4.0	0.0	128	16	DoubleOcc	0.8160042635072002	1.4378321340992708	0.0004409609839305939	0.0004291960240978899	0.0005754681896986136	0.10024103472932827	0.004400769926998423	0.005745672918599525	128
4.0	0.0	128	16	ZZ up-up r=1	0.8160042635072002	1.4378321340992708	0.0032836967569748188	0.00570535024990867	0.01173439520460512	0.5488074297127792	0.005845313358965269	0.02453153542662688	127
4.0	0.0	128	16	Sz	0.8160042635072002	1.4378321340992708	1.1433820879449413e-6	1.324379493346581e-6	4.135602123707394e-6	3.2823536135744708e-6	NaN	NaN	0
