dim	W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi128	9.9999991415e-01	SxSx nb	4	1.00000000	7.80671397e-07	-0.0972900645	-0.0972900262	-3.837851e-08	3.944751e-07	1.943783	1.943783
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi256	9.9999999971e-01	SxSx nb	4	1.00000000	7.87937958e-09	-0.0972900645	-0.0972900642	-3.092442e-10	3.178579e-09	1.943783	1.943783
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	UHF	3.9358103464e-01	SxSx nb	4	0.89070149	3.18700017e-01	-0.0972900645	-0.0477471857	-4.954288e-02	5.092286e-01	1.561603	1.943783
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi2	2.2109669652e-02	DoubleOcc	2	0.65264933	3.47350665e-01	0.1736753325	0.0000000000	1.736753e-01	1.000000e+00	1.000000	3.764554
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi4	2.2630989877e-01	DoubleOcc	2	0.99576926	6.05159369e-02	0.1736753325	0.1434173640	3.025797e-02	1.742215e-01	3.473115	3.764554
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi8	9.1915477734e-01	DoubleOcc	2	0.99995063	6.67599767e-03	0.1736753325	0.1703373337	3.337999e-03	1.921976e-02	3.760713	3.764554
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi16	9.8619773686e-01	DoubleOcc	2	0.99999622	1.85141251e-03	0.1736753325	0.1727496263	9.257063e-04	5.330096e-03	3.764258	3.764554
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi32	9.9954952826e-01	DoubleOcc	2	1.00000000	4.33125392e-05	0.1736753325	0.1736536762	2.165627e-05	1.246940e-04	3.764554	3.764554
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi64	9.9998948943e-01	DoubleOcc	2	1.00000000	1.25244480e-06	0.1736753325	0.1736747063	6.262224e-07	3.605707e-06	3.764554	3.764554
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi128	9.9999991415e-01	DoubleOcc	2	1.00000000	1.11397151e-08	0.1736753325	0.1736753269	5.569858e-09	3.207052e-08	3.764554	3.764554
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi256	9.9999999971e-01	DoubleOcc	2	1.00000000	3.89490523e-11	0.1736753325	0.1736753325	1.947492e-11	1.121341e-10	3.764554	3.764554
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	UHF	3.9358103464e-01	DoubleOcc	2	0.92534080	2.20042234e-01	0.1736753325	0.2197274336	-4.605210e-02	2.651620e-01	3.151894	3.764554
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi2	2.2109669652e-02	n	2	0.65264933	3.47350665e-01	1.0000000000	1.0000000000	6.661338e-16	6.661338e-16	33359997239780868.000000	33359997239781360.000000
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi4	2.2630989877e-01	n	2	0.99576926	6.05159369e-02	1.0000000000	1.0000000000	-1.332268e-15	1.332268e-15	33359997239779384.000000	33359997239781360.000000
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi8	9.1915477734e-01	n	2	0.99995063	6.67599767e-03	1.0000000000	1.0000000000	0.000000e+00	0.000000e+00	33359997239781360.000000	33359997239781360.000000
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi16	9.8619773686e-01	n	2	0.99999622	1.85141251e-03	1.0000000000	1.0000000000	-2.220446e-16	2.220446e-16	33359997239781304.000000	33359997239781360.000000
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi32	9.9954952826e-01	n	2	1.00000000	4.33125392e-05	1.0000000000	1.0000000000	1.665335e-15	1.665335e-15	33359997239778276.000000	33359997239781360.000000
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi64	9.9998948943e-01	n	2	1.00000000	1.25244480e-06	1.0000000000	1.0000000000	3.330669e-16	3.330669e-16	33359997239781236.000000	33359997239781360.000000
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi128	9.9999991415e-01	n	2	1.00000000	1.11397151e-08	1.0000000000	1.0000000000	5.551115e-16	5.551115e-16	33359997239781016.000000	33359997239781360.000000
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi256	9.9999999971e-01	n	2	1.00000000	3.89490523e-11	1.0000000000	1.0000000000	2.220446e-16	2.220446e-16	33359997239781304.000000	33359997239781360.000000
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	UHF	3.9358103464e-01	n	2	0.92534080	2.20042234e-01	1.0000000000	1.0000000000	-4.218847e-15	4.218847e-15	33359997239761552.000000	33359997239781360.000000
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi2	2.2109669652e-02	Sz	2	0.65264933	3.47350665e-01	0.0000000000	0.0000000000	-2.977623e-15	NaN	1.000000	1.000000
1D	1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi4	2.2630989877e-01	Sz	2	0.99576926	6.05159369e-02	0.0000000000	0.0000000000	-2.117201e-15	NaN	1.000000	1.000000
