B	n_u	n_m	observable	pure	absA	prior	true	Delta	sd_std	sd_crm	G_emp	G_max	sd_std_theory	sd_crm_theory	nm_star
5000	50	100	DoubleOcc	false	0	exact	0.10027732104750578	0.0	0.0641675082868023	0.011700529149811997	30.07594935886176	30.07594935886176	NaN	NaN	NaN
5000	50	100	ZZ onsite	true	2	chi2	-0.5988907157880141	0.4011092842119831	0.2540592341090758	0.16619706031438247	2.3368094141110847	54.00243754411842	0.24195373142836638	0.16400176553910986	4.484443831299855
5000	50	100	ZZ onsite	true	2	chi4	-0.5988907157880141	0.1667218963897199	0.2540592341090758	0.07396747509230664	11.797456393460761	54.00243754411842	0.24195373142836638	0.07484506902062939	25.95665557985754
5000	50	100	ZZ onsite	true	2	chi8	-0.5988907157880141	0.0006586799742634986	0.2540592341090758	0.034545049071815014	54.08767846204754	54.00243754411842	0.24195373142836638	0.033977393314770565	1.6629726163126242e6
5000	50	100	ZZ onsite	true	2	chi32	-0.5988907157880141	0.000103719113789702	0.2540592341090758	0.03456786944314771	54.016288844577446	54.00243754411842	0.24195373142836638	0.03397639710448986	6.706816481044408e7
5000	50	100	ZZ onsite	true	2	exact	-0.5988907157880141	0.0	0.2540592341090758	0.03457230238422063	54.00243754411842	54.00243754411842	0.24195373142836638	0.03397637177476807	NaN
5000	50	100	ZZ up-up r=1	true	2	chi2	-0.43615457682117426	-0.07171029294962133	0.18413023809372303	0.04603540818373289	15.998019908742563	25.60357406931192	0.17859035504287882	0.047753147661694285	177.15392348562233
5000	50	100	ZZ up-up r=1	true	2	chi4	-0.43615457682117426	-0.13537199962080515	0.18413023809372303	0.06579733522047815	7.831295637197172	25.60357406931192	0.17859035504287882	0.06625463801294171	49.71140988142979
5000	50	100	ZZ up-up r=1	true	2	chi8	-0.43615457682117426	-0.009747202733221605	0.18413023809372303	0.03642582590798805	25.55238334342584	25.60357406931192	0.17859035504287882	0.038376891575424656	9588.568394630294
5000	50	100	ZZ up-up r=1	true	2	chi32	-0.43615457682117426	-0.0004756162267585684	0.18413023809372303	0.03638059553417292	25.615959119244405	25.60357406931192	0.17859035504287882	0.03817879944340211	4.0271744442134714e6
